item                                        mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                   -6714.36 0.183981 7.37433  -6713.89 -6729.53 -6701.16 11210.24 1606.566 NaN     
likelihood                                  -6497.06 0.148256 5.885217 -6496.73 -6507.95 -6485.76 11429.11 1575.800 NaN     
prior                                       -217.294 0.163216 6.23869  -217.281 -229.263 -205.259 12326.85 1461.038 NaN     
treeLikelihood.pano-full                    -6497.06 0.148256 5.885217 -6496.73 -6507.95 -6485.76 11429.11 1575.800 NaN     
Tree.t:tree.height                          1234.534 7.100128 240.4143 1184.838 861.1955 1734.159 15708.16 1146.537 1213.315
Tree.t:tree.treeLength                      12425.90 46.53843 1540.495 12281.06 9625.289 15526.01 16436.76 1095.714 12332.27
mutationRate.s:pano-full                    1        0        0        1        1        1        NaN      NaN      1       
bcov_alpha.s:pano-full                      0.010631 0.000414 0.009515 0.007885 0.000102 0.029744 34071.78 528.5898 0.006575
bcov_s.s:pano-full                          0.281333 0.001148 0.031809 0.280974 0.216313 0.342521 23440.50 768.3281 0.279514
frequencies.s:pano-full.1                   0.947605 0.000279 0.005185 0.947862 0.938094 0.95818  52178.91 345.1585 0.947591
frequencies.s:pano-full.2                   0.052395 0.000279 0.005185 0.052138 0.04182  0.061906 52178.91 345.1585 0.052139
ORCsigma.c:clock                            0.453001 0.003269 0.09647  0.439229 0.291561 0.640754 20678.14 870.9680 0.443586
ORCRatesStat.c:clock.mean                   8.36E-5  5.69E-7  1.34E-5  8.23E-5  5.91E-5  0.00011  32273.90 558.0359 8.25E-5 
ORCRatesStat.c:clock.variance               1.43E-9  3.23E-11 7.85E-10 1.27E-9  4.13E-10 2.84E-9  30530.46 589.9025 1.28E-9 
ORCRatesStat.c:clock.coefficientOfVariation 0.417299 0.001961 0.057733 0.413533 0.313453 0.52656  20779.89 866.7032 0.413424
BirthDeathSkyContemporaryBDSParam.t:tree    -174.914 0.094593 3.167043 -174.914 -180.808 -168.447 16066.67 1120.953 NaN     
birthRateBDS.t:tree                         0.002799 2.23E-5  0.000859 0.002649 0.001313 0.004452 12085.43 1490.224 0.002682
deathRateBDS.t:tree                         0.001073 2.46E-5  0.001    0.000792 2.47E-7  0.003064 10929.80 1647.788 0.000643
rhoBDS.t:tree                               0.855976 0.001573 0.065238 0.865722 0.73001  0.967231 10464.98 1720.976 0.853363
ORCucldMean.c:clock                         9.59E-5  8.21E-7  1.91E-5  9.29E-5  6.36E-5  0.000132 33119.79 543.7835 9.42E-5 
logP(mrca(chacobo))                         -5.51956 0.012105 0.500148 -5.33036 -6.49148 -5.14186 10549.45 1707.197 NaN     
mrca.age(chacobo)                           376.5850 1.517978 60.25517 363.6808 284.1165 494.9707 11430.25 1575.643 372.1674
logP(mrca(kashinawa1))                      -3.13342 0.01985  0.794006 -2.82585 -4.76243 -2.52837 11255.92 1600.045 NaN     
mrca.age(kashinawa1)                        82.67134 0.1189   4.807943 82.90294 73.34752 91.90194 11014.41 1635.129 82.53052
logP(mrca(northern))                        -5.61764 0.01375  0.569414 -5.38576 -6.78585 -5.22555 10502.09 1714.896 NaN     
mrca.age(northern)                          434.6596 0.868218 36.84562 426.9326 379.2463 503.2133 10000    1801     433.1998
logP(mrca(chama))                           -5.59675 0.015039 0.638246 -5.34736 -6.92943 -5.14186 10000    1801     NaN     
mrca.age(chama)                             332.6908 0.889733 34.20886 326.5316 278.1388 399.3462 12183.03 1478.284 331.0339
monophyletic(kakataibo.tip)                 1        0        0        1        1        1        NaN      NaN      1       
logP(mrca(kakataibo.tip))                   -11.3064 0.027181 0.965606 -11.2663 -13.1324 -9.39480 14270.53 1262.041 NaN     
mrca.age(kakataibo.tip.originate)           1044.566 3.653128 130.7019 1033.620 804.5581 1303.588 14069.52 1280.071 1036.544
mrca.age(taxonset.MMK)                      1044.566 3.653128 130.7019 1033.620 804.5581 1303.588 14069.52 1280.071 1036.544
