item                                     mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                -6755.97 0.126547 4.917654 -6755.51 -6765.59 -6747.01 11926.12 1510.130 NaN     
likelihood                               -6553.58 0.121247 4.674158 -6553.17 -6563.03 -6545.08 12118.58 1486.147 NaN     
prior                                    -202.387 0.081059 3.249279 -202.168 -208.739 -196.099 11208.41 1606.828 NaN     
treeLikelihood.pano-full                 -6553.58 0.121247 4.674158 -6553.17 -6563.03 -6545.08 12118.58 1486.147 NaN     
Tree.t:tree.height                       1462.070 3.852858 159.7944 1456.052 1178.650 1794.435 10470.23 1720.114 1453.481
Tree.t:tree.treeLength                   14090.08 25.42467 1063.145 14038.80 12157.37 16231.45 10300.04 1748.536 14050.37
mutationRate.s:pano-full                 1        0        0        1        1        1        NaN      NaN      1       
bcov_alpha.s:pano-full                   0.011084 0.00034  0.009316 0.00864  0.00011  0.029128 24016.81 749.8912 0.007216
bcov_s.s:pano-full                       0.29716  0.001048 0.032894 0.296361 0.233475 0.359808 18291.82 984.5927 0.295336
frequencies.s:pano-full.1                0.948408 0.000248 0.005121 0.948507 0.939284 0.95852  42183.99 426.9392 0.948394
frequencies.s:pano-full.2                0.051592 0.000248 0.005121 0.051493 0.04148  0.060716 42183.99 426.9392 0.051337
clockRate.c:clock                        7.08E-5  3.29E-7  8.76E-6  7.05E-5  5.45E-5  8.8E-5   25379.16 709.6372 7.03E-5 
BirthDeathSkyContemporaryBDSParam.t:tree -178.080 0.059242 2.146645 -177.962 -182.422 -174.208 13716.84 1312.984 NaN     
birthRateBDS.t:tree                      0.002477 1.63E-5  0.000691 0.002371 0.001307 0.003866 10000    1801     0.00239 
deathRateBDS.t:tree                      0.000973 2.06E-5  0.000842 0.000751 1.22E-7  0.002652 10738.19 1677.190 0.000601
rhoBDS.t:tree                            0.854579 0.001735 0.065878 0.863469 0.721145 0.963393 12489.52 1442.008 0.851911
logP(mrca(chacobo))                      -5.41133 0.009341 0.388526 -5.26322 -6.16843 -5.14186 10410.62 1729.962 NaN     
mrca.age(chacobo)                        361.8480 1.053161 44.69426 353.8427 290.0711 453.7173 10000    1801     359.2325
logP(mrca(kashinawa1))                   -4.37357 0.040106 1.70202  -3.90810 -7.90960 -2.52839 10000    1801     NaN     
mrca.age(kashinawa1)                     88.38758 0.1162   4.680612 88.27931 79.64953 97.92968 11099.92 1622.533 88.26328
logP(mrca(northern))                     -5.55494 0.011957 0.507428 -5.35704 -6.60170 -5.22555 10000    1801     NaN     
mrca.age(northern)                       435.7594 0.883012 33.37102 429.5805 384.3643 498.5130 12609.77 1428.256 434.5404
logP(mrca(chama))                        -6.83271 0.028526 1.210601 -6.58232 -9.17306 -5.14186 10000    1801     NaN     
mrca.age(chama)                          294.5052 0.336388 14.27568 292.3071 268.8417 322.3980 10000    1801     294.1685
monophyletic(kakataibo.tip)              1        0        0        1        1        1        NaN      NaN      1       
logP(mrca(kakataibo.tip))                -12.4463 0.01792  0.757505 -12.4110 -13.9924 -11.0350 10078.75 1786.927 NaN     
mrca.age(kakataibo.tip.originate)        1202.869 2.657646 112.7856 1193.895 979.4577 1415.718 10000    1801     1197.637
mrca.age(taxonset.MMK)                   1202.869 2.657646 112.7856 1193.895 979.4577 1415.718 10000    1801     1197.637
