item                                        mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                   -6736.30 0.193961 7.623762 -6735.96 -6750.51 -6721.72 11657.48 1544.929 NaN     
likelihood                                  -6524.35 0.144993 5.789929 -6523.99 -6535.92 -6513.33 11294.42 1594.592 NaN     
prior                                       -211.952 0.197359 6.514576 -211.979 -224.302 -198.752 16529.36 1089.576 NaN     
treeLikelihood.pano-full                    -6524.35 0.144993 5.789929 -6523.99 -6535.92 -6513.33 11294.42 1594.592 NaN     
Tree.t:tree.height                          1203.207 7.440675 245.2268 1151.689 841.7984 1677.883 16580.67 1086.204 1181.887
Tree.t:tree.treeLength                      12584.00 45.74871 1494.499 12487.34 9807.275 15528.70 16876.40 1067.170 12496.67
mutationRate.s:pano-full                    1        0        0        1        1        1        NaN      NaN      1       
gammaShape.s:pano-full                      0.884422 0.002675 0.092925 0.878315 0.719752 1.072571 14923.01 1206.860 0.87958 
frequencies.s:pano-full.1                   0.953403 0.000226 0.004671 0.953373 0.944541 0.962155 42085.48 427.9385 0.953391
frequencies.s:pano-full.2                   0.046597 0.000226 0.004671 0.046627 0.037845 0.055459 42085.48 427.9385 0.046364
ORCsigma.c:clock                            0.427162 0.004229 0.08911  0.414853 0.283421 0.621335 40569.74 443.9268 0.41834 
ORCRatesStat.c:clock.mean                   6.67E-5  4.41E-7  1.1E-5   6.6E-5   4.66E-5  8.79E-5  29008.17 620.8594 6.58E-5 
ORCRatesStat.c:clock.variance               8.34E-10 2.13E-11 4.45E-10 7.46E-10 2.02E-10 1.68E-9  41206.72 437.0645 7.42E-10
ORCRatesStat.c:clock.coefficientOfVariation 0.402066 0.002556 0.055669 0.398515 0.295452 0.509108 37962.82 474.4114 0.398268
BirthDeathSkyContemporaryBDSParam.t:tree    -175.222 0.091765 3.0556   -175.177 -180.819 -168.785 16243.42 1108.756 NaN     
birthRateBDS.t:tree                         0.002726 2.02E-5  0.000786 0.002587 0.001407 0.004304 11936.59 1508.805 0.002622
deathRateBDS.t:tree                         0.000967 2.15E-5  0.000911 0.000701 5.9E-8   0.002893 10000    1801     0.000559
rhoBDS.t:tree                               0.854902 0.001581 0.066585 0.863207 0.732835 0.970306 10153.35 1773.798 0.852183
ORCucldMean.c:clock                         7.51E-5  7.01E-7  1.47E-5  7.29E-5  4.9E-5   0.000102 40650.34 443.0467 7.37E-5 
logP(mrca(chacobo))                         -5.50233 0.011604 0.475404 -5.31537 -6.46911 -5.14186 10730.32 1678.420 NaN     
mrca.age(chacobo)                           369.7813 1.420381 55.80517 359.4645 280.7567 475.5363 11667.40 1543.615 365.8819
logP(mrca(kashinawa1))                      -3.20145 0.022371 0.936457 -2.84839 -5.13905 -2.52837 10277.63 1752.348 NaN     
mrca.age(kashinawa1)                        83.09310 0.11801  4.907806 83.10819 73.41883 92.70429 10412.96 1729.575 82.94730
logP(mrca(northern))                        -5.61718 0.013    0.532703 -5.41128 -6.71165 -5.22555 10726.19 1679.066 NaN     
mrca.age(northern)                          432.3439 0.82506  35.01407 424.6277 379.5366 499.8411 10000    1801     431.0161
logP(mrca(chama))                           -5.6197  0.015285 0.648654 -5.37659 -6.91356 -5.14186 10000    1801     NaN     
mrca.age(chama)                             330.2564 0.788726 33.19207 323.5602 277.0022 397.3534 10169.45 1770.989 328.6917
monophyletic(kakataibo.tip)                 1        0        0        1        1        1        NaN      NaN      1       
logP(mrca(kakataibo.tip))                   -11.0776 0.025856 0.925924 -11.0520 -12.9493 -9.42478 14043.39 1282.453 NaN     
mrca.age(kakataibo.tip.originate)           1013.826 3.453296 124.1473 1005.398 798.4392 1264.222 13934.97 1292.431 1006.526
mrca.age(taxonset.MMK)                      1013.826 3.453296 124.1473 1005.398 798.4392 1264.222 13934.97 1292.431 1006.526
