item                                     mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                -6775.28 0.112145 4.759245 -6774.96 -6785.32 -6767.22 10000    1801     NaN     
likelihood                               -6576.68 0.104717 4.409266 -6576.34 -6585.33 -6568.61 10158.20 1772.950 NaN     
prior                                    -198.596 0.077264 3.278935 -198.352 -205.406 -192.663 10000    1801     NaN     
treeLikelihood.pano-full                 -6576.68 0.104717 4.409266 -6576.34 -6585.33 -6568.61 10158.20 1772.950 NaN     
Tree.t:tree.height                       1458.139 3.955774 167.8758 1441.332 1149.602 1780.541 10000    1801     1448.746
Tree.t:tree.treeLength                   14164.96 24.75332 1050.486 14104.71 12084.05 16130.60 10000    1801     14126.63
mutationRate.s:pano-full                 1        0        0        1        1        1        NaN      NaN      1       
gammaShape.s:pano-full                   0.903142 0.002888 0.09917  0.900101 0.719964 1.097906 15278.25 1178.799 0.897759
frequencies.s:pano-full.1                0.955652 0.000187 0.004518 0.955934 0.94656  0.96405  30916.05 582.5453 0.955642
frequencies.s:pano-full.2                0.044348 0.000187 0.004518 0.044066 0.03595  0.05344  30916.05 582.5453 0.044119
clockRate.c:clock                        5.52E-5  2.37E-7  7.13E-6  5.49E-5  4.18E-5  6.98E-5  19901.99 904.9346 5.47E-5 
BirthDeathSkyContemporaryBDSParam.t:tree -178.210 0.049898 2.117562 -178.093 -182.588 -174.403 10000    1801     NaN     
birthRateBDS.t:tree                      0.002408 1.65E-5  0.000683 0.002305 0.001315 0.003826 10487.61 1717.263 0.00232 
deathRateBDS.t:tree                      0.000915 1.98E-5  0.000827 0.0007   1.12E-7  0.002484 10338.65 1742.006 0.000549
rhoBDS.t:tree                            0.85882  0.001637 0.064393 0.866652 0.73953  0.96902  11636.57 1547.705 0.856303
logP(mrca(chacobo))                      -5.39505 0.009206 0.382623 -5.25379 -6.10118 -5.14186 10425.34 1727.520 NaN     
mrca.age(chacobo)                        359.9528 1.057113 42.20203 354.0515 289.8243 440.8030 11300.29 1593.763 357.5947
logP(mrca(kashinawa1))                   -4.48826 0.040049 1.683889 -4.10635 -7.83431 -2.52837 10187.79 1767.801 NaN     
mrca.age(kashinawa1)                     88.80468 0.106616 4.524579 88.88251 80.05560 97.31598 10000    1801     88.68896
logP(mrca(northern))                     -5.54665 0.011072 0.460861 -5.34924 -6.47619 -5.22555 10395.74 1732.440 NaN     
mrca.age(northern)                       433.7760 0.74392  30.93030 429.5156 385.5149 496.3367 10418.31 1728.685 432.7132
logP(mrca(chama))                        -6.82312 0.027877 1.183051 -6.61243 -9.00236 -5.14275 10000    1801     NaN     
mrca.age(chama)                          294.2586 0.317516 13.47480 291.9458 272.5577 321.5975 10000    1801     293.9564
monophyletic(kakataibo.tip)              1        0        0        1        1        1        NaN      NaN      1       
logP(mrca(kakataibo.tip))                -12.0579 0.016811 0.712148 -12.0429 -13.3819 -10.6265 10036.16 1794.509 NaN     
mrca.age(kakataibo.tip.originate)        1145.924 2.424939 102.5066 1140.558 950.9522 1343.181 10078.86 1786.908 1141.394
mrca.age(taxonset.MMK)                   1145.924 2.424939 102.5066 1140.558 950.9522 1343.181 10078.86 1786.908 1141.394
