item                                        mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                   -6901.89 0.180888 7.106907 -6901.75 -6915.31 -6888.11 11667.39 1543.617 NaN     
likelihood                                  -6694.30 0.130646 5.466078 -6694.09 -6705.76 -6684.86 10288.52 1750.493 NaN     
prior                                       -207.582 0.190411 6.180389 -207.678 -219.608 -195.992 17094.82 1053.535 NaN     
treeLikelihood.pano-full                    -6694.30 0.130646 5.466078 -6694.09 -6705.76 -6684.86 10288.52 1750.493 NaN     
Tree.t:tree.height                          1020.478 5.06744  160.3771 993.5365 768.1482 1341.157 17980.66 1001.631 1008.873
Tree.t:tree.treeLength                      11795.47 45.31186 1242.074 11691.88 9420.474 14144.24 23968.56 751.4009 11731.09
mutationRate.s:pano-full                    1        0        0        1        1        1        NaN      NaN      1       
frequencies.s:pano-full.1                   0.917063 0.000325 0.006613 0.916974 0.904764 0.930049 43470.62 414.3027 0.917039
frequencies.s:pano-full.2                   0.082937 0.000325 0.006613 0.083026 0.069951 0.095236 43470.62 414.3027 0.082672
ORCsigma.c:clock                            0.406973 0.003387 0.081891 0.395415 0.258097 0.558294 30802.10 584.7002 0.399374
ORCRatesStat.c:clock.mean                   9.64E-5  5.1E-7   1.26E-5  9.57E-5  7.21E-5  0.000121 29311.32 614.4383 9.56E-5 
ORCRatesStat.c:clock.variance               1.73E-9  3.43E-11 8.79E-10 1.56E-9  6.21E-10 3.37E-9  27464.44 655.7569 1.58E-9 
ORCRatesStat.c:clock.coefficientOfVariation 0.389128 0.002236 0.053197 0.384317 0.286986 0.489142 31808.35 566.2035 0.385611
BirthDeathSkyContemporaryBDSParam.t:tree    -173.678 0.082266 2.761116 -173.577 -178.841 -168.166 15987.68 1126.491 NaN     
birthRateBDS.t:tree                         0.002846 1.99E-5  0.000792 0.002729 0.001553 0.004447 11390.81 1581.098 0.002746
deathRateBDS.t:tree                         0.000897 2.24E-5  0.00085  0.000666 1.39E-6  0.002595 12539.27 1436.287 0.000529
rhoBDS.t:tree                               0.850482 0.001561 0.06624  0.85629  0.727633 0.971878 10000    1801     0.84781 
ORCucldMean.c:clock                         0.000111 7.12E-7  1.83E-5  0.000109 7.97E-5  0.000147 27414.55 656.9502 0.00011 
logP(mrca(chacobo))                         -5.47435 0.010942 0.464359 -5.29827 -6.39035 -5.14186 10000    1801     NaN     
mrca.age(chacobo)                           367.3673 1.304166 53.22903 356.6564 281.5117 469.6239 10811.40 1665.833 363.8058
logP(mrca(kashinawa1))                      -3.19567 0.021643 0.918502 -2.85070 -4.95727 -2.52837 10000    1801     NaN     
mrca.age(kashinawa1)                        83.36950 0.115501 4.691638 83.35446 74.26843 92.55093 10915.38 1649.964 83.23733
logP(mrca(northern))                        -5.63044 0.012938 0.549081 -5.41665 -6.71210 -5.22555 10000    1801     NaN     
mrca.age(northern)                          430.0749 0.789124 32.73673 423.3022 384.3499 496.9618 10464.85 1720.997 428.8973
logP(mrca(chama))                           -5.63995 0.016751 0.687544 -5.37931 -7.08067 -5.14186 10690.23 1684.715 NaN     
mrca.age(chama)                             329.7754 0.979006 33.78959 323.9851 275.6006 396.4815 15118.84 1191.228 328.1665
monophyletic(kakataibo.tip)                 1        0        0        1        1        1        NaN      NaN      1       
logP(mrca(kakataibo.tip))                   -9.90059 0.020889 0.794058 -9.84402 -11.4066 -8.43306 12464.11 1444.948 NaN     
mrca.age(kakataibo.tip.originate)           866.0709 2.50199  95.19896 856.0886 700.8013 1052.395 12440.00 1447.748 860.9988
mrca.age(taxonset.MMK)                      866.0709 2.50199  95.19896 856.0886 700.8013 1052.395 12440.00 1447.748 860.9988
