item                                     mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                -6941.06 0.12391  4.802365 -6940.53 -6950.18 -6931.89 11989.89 1502.098 NaN     
likelihood                               -6746.10 0.11081  4.531181 -6745.94 -6754.56 -6736.95 10770.89 1672.099 NaN     
prior                                    -194.958 0.073323 3.1117   -194.663 -201.447 -189.524 10000    1801     NaN     
treeLikelihood.pano-full                 -6746.10 0.11081  4.531181 -6745.94 -6754.56 -6736.95 10770.89 1672.099 NaN     
Tree.t:tree.height                       1136.646 2.448018 103.8894 1129.265 944.4188 1347.379 10000    1801     1131.953
Tree.t:tree.treeLength                   12921.40 20.97592 874.3292 12878.01 11274.93 14638.47 10365.87 1737.431 12892.03
mutationRate.s:pano-full                 1        0        0        1        1        1        NaN      NaN      1       
frequencies.s:pano-full.1                0.915709 0.00029  0.00687  0.915682 0.903462 0.930227 32142.33 560.3202 0.915683
frequencies.s:pano-full.2                0.084291 0.00029  0.00687  0.084318 0.069773 0.096538 32142.33 560.3202 0.08401 
clockRate.c:clock                        8.85E-5  3.05E-7  8.92E-6  8.83E-5  7.24E-5  0.000107 21082.13 854.2779 8.8E-5  
BirthDeathSkyContemporaryBDSParam.t:tree -175.904 0.048993 2.000264 -175.802 -179.589 -171.795 10804.53 1666.892 NaN     
birthRateBDS.t:tree                      0.002527 1.68E-5  0.00065  0.002441 0.001393 0.003871 12078.69 1491.054 0.002449
deathRateBDS.t:tree                      0.000775 1.67E-5  0.000711 0.000573 6.12E-8  0.002174 10000    1801     0.000466
rhoBDS.t:tree                            0.850388 0.001654 0.06793  0.858354 0.717898 0.968915 10680.31 1686.280 0.847536
logP(mrca(chacobo))                      -5.40812 0.010595 0.436069 -5.24984 -6.11492 -5.14186 10630.89 1694.119 NaN     
mrca.age(chacobo)                        347.0357 0.834861 35.43000 341.7130 288.3273 421.3573 10000    1801     345.2975
logP(mrca(kashinawa1))                   -4.63704 0.041894 1.777889 -4.23195 -7.91621 -2.52837 10000    1801     NaN     
mrca.age(kashinawa1)                     89.22233 0.106461 4.51464  89.22923 80.52289 97.80572 10014.91 1798.317 89.10782
logP(mrca(northern))                     -5.56686 0.012196 0.517593 -5.37578 -6.56841 -5.22555 10000    1801     NaN     
mrca.age(northern)                       431.2151 0.706812 28.94712 425.7962 383.5769 489.8215 10737.68 1677.271 430.2719
logP(mrca(chama))                        -6.80273 0.027363 1.161222 -6.56527 -8.94677 -5.14225 10000    1801     NaN     
mrca.age(chama)                          294.5607 0.3261   13.83909 292.5151 271.7336 322.9970 10000    1801     294.2435
monophyletic(kakataibo.tip)              1        0        0        1        1        1        NaN      NaN      1       
logP(mrca(kakataibo.tip))                -10.9508 0.014687 0.623285 -10.9345 -12.1540 -9.71868 10000    1801     NaN     
mrca.age(kakataibo.tip.originate)        994.5212 1.910909 81.09553 990.1571 831.9284 1145.397 10000    1801     991.2452
mrca.age(taxonset.MMK)                   994.5212 1.910909 81.09553 990.1571 831.9284 1145.397 10000    1801     991.2452
