item              mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
I                 -6.1166  0.007185 0.227201 -6.11725 -6.57081 -5.70070 0        NaN      NaN     
all               -11.3634 0.00961  0.348466 -11.3750 -11.9701 -10.6475 0        NaN      NaN     
all               -9.11680 0.008475 0.20848  -9.11335 -9.52916 -8.70717 0        NaN      NaN     
all               -7.71085 0.008532 0.173989 -7.70684 -8.04961 -7.38280 0        NaN      NaN     
all               -4.31392 0.00354  0.094831 -4.31375 -4.51228 -4.13727 0        NaN      NaN     
all               -8.27140 0.007943 0.213041 -8.27571 -8.68491 -7.86062 0        NaN      NaN     
all               -5.13579 0.003716 0.132139 -5.13656 -5.38661 -4.87410 0        NaN      NaN     
all               -4.30856 0.003558 0.092914 -4.30342 -4.49393 -4.12668 0        NaN      NaN     
all               -4.19865 0.003876 0.096239 -4.19528 -4.39556 -4.02012 0        NaN      NaN     
all               -4.33546 0.003834 0.09775  -4.33144 -4.52092 -4.14115 0        NaN      NaN     
all               -4.53767 0.003698 0.097549 -4.53411 -4.72411 -4.34539 0        NaN      NaN     
all               -4.94656 0.003911 0.131081 -4.94223 -5.20749 -4.69799 0        NaN      NaN     
all               -5.18406 0.003914 0.140425 -5.17828 -5.43928 -4.88851 0        NaN      NaN     
animal            -5.04756 0.003798 0.137742 -5.04227 -5.32009 -4.79354 0        NaN      NaN     
animal            -3.93705 0.003833 0.090293 -3.93595 -4.11916 -3.77786 0        NaN      NaN     
animal            -5.18532 0.003601 0.131002 -5.1856  -5.43986 -4.93491 0        NaN      NaN     
animal            -4.67504 0.005548 0.132969 -4.66897 -4.92287 -4.41977 0        NaN      NaN     
animal            -4.79892 0.004047 0.135626 -4.79463 -5.06431 -4.53762 0        NaN      NaN     
animal            -5.45761 0.003866 0.14087  -5.45534 -5.73922 -5.18664 0        NaN      NaN     
animal            -17.1895 0.012038 0.42138  -17.1946 -18.0275 -16.3768 0        NaN      NaN     
ashes             -8.35432 0.007255 0.245026 -8.35865 -8.84764 -7.88505 0        NaN      NaN     
ashes             -4.56718 0.003563 0.103009 -4.56820 -4.75388 -4.36164 0        NaN      NaN     
back_of_body      -13.6918 0.022799 0.942156 -13.5042 -15.3660 -12.2983 0        NaN      NaN     
back_of_body      -16.2730 0.017077 0.688387 -16.1926 -17.6661 -15.1056 0        NaN      NaN     
bad               -11.9660 0.010237 0.395899 -11.9420 -12.6745 -11.2025 0        NaN      NaN     
