item              mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
I                 -6.17759 0.006473 0.23753  -6.17748 -6.63714 -5.70617 0        NaN      NaN     
all               -11.3177 0.00844  0.305946 -11.3252 -11.9015 -10.7086 0        NaN      NaN     
all               -9.18775 0.006946 0.190026 -9.17842 -9.57250 -8.83613 0        NaN      NaN     
all               -7.77989 0.006713 0.158851 -7.77389 -8.07451 -7.47085 0        NaN      NaN     
all               -4.25734 0.002897 0.081865 -4.25867 -4.41134 -4.10085 0        NaN      NaN     
all               -8.50684 0.006185 0.179726 -8.50507 -8.85172 -8.16519 0        NaN      NaN     
all               -5.18769 0.002642 0.093467 -5.18107 -5.36886 -5.01152 0        NaN      NaN     
all               -4.31339 0.00284  0.074831 -4.31269 -4.46971 -4.17733 0        NaN      NaN     
all               -4.30273 0.003177 0.087785 -4.30115 -4.48484 -4.15007 0        NaN      NaN     
all               -4.30273 0.003177 0.087785 -4.30115 -4.48484 -4.15007 0        NaN      NaN     
all               -4.51083 0.002724 0.071541 -4.5086  -4.65944 -4.38005 0        NaN      NaN     
all               -5.09589 0.002993 0.095089 -5.09101 -5.27852 -4.91918 0        NaN      NaN     
all               -5.09589 0.002993 0.095089 -5.09101 -5.27852 -4.91918 0        NaN      NaN     
animal            -5.20364 0.003026 0.102549 -5.19966 -5.39890 -5.00928 0        NaN      NaN     
animal            -4.00441 0.003092 0.084184 -4.00160 -4.16639 -3.83706 0        NaN      NaN     
animal            -5.23704 0.002519 0.090819 -5.23073 -5.40337 -5.05592 0        NaN      NaN     
animal            -4.66222 0.004252 0.128216 -4.65925 -4.90495 -4.39924 0        NaN      NaN     
animal            -4.75978 0.00304  0.101224 -4.75402 -4.95098 -4.56847 0        NaN      NaN     
animal            -5.46214 0.002897 0.098643 -5.46018 -5.66026 -5.27496 0        NaN      NaN     
animal            -17.2806 0.008795 0.302412 -17.2769 -17.9201 -16.7518 0        NaN      NaN     
ashes             -8.39631 0.005566 0.168932 -8.38874 -8.71102 -8.05514 0        NaN      NaN     
ashes             -4.58000 0.002667 0.068093 -4.58014 -4.72611 -4.46033 0        NaN      NaN     
back_of_body      -13.1059 0.034183 0.777914 -12.8703 -15.1429 -12.2153 0        NaN      NaN     
back_of_body      -16.0631 0.025912 0.619021 -15.9080 -17.7014 -15.2569 0        NaN      NaN     
bad               -11.9224 0.007699 0.277571 -11.9308 -12.4404 -11.3875 0        NaN      NaN     
bad               -4.00441 0.003092 0.084184 -4.00160 -4.16639 -3.83706 0        NaN      NaN     
bad               -7.89576 0.005712 0.228146 -7.88133 -8.30913 -7.42364 0        NaN      NaN     
bad               -11.5218 0.007931 0.305925 -11.5138 -12.1231 -10.9292 0        NaN      NaN     
bad               -4.30323 0.002756 0.079758 -4.30404 -4.45744 -4.15257 0        NaN      NaN     
bad               -5.55049 0.003891 0.121131 -5.54838 -5.78874 -5.32223 0        NaN      NaN     
bad               -4.36077 0.002689 0.07213  -4.36077 -4.50792 -4.22642 0        NaN      NaN     
bad               -4.52684 0.002505 0.065955 -4.52572 -4.65511 -4.40366 0        NaN      NaN     
bad               -4.66222 0.004252 0.128216 -4.65925 -4.90495 -4.39924 0        NaN      NaN     
bad               -4.83100 0.002919 0.097225 -4.82971 -5.02468 -4.64778 0        NaN      NaN     
bark_of_tree      -14.1813 0.010498 0.370678 -14.2117 -14.9167 -13.4981 0        NaN      NaN     
bark_of_tree      -22.3440 0.010489 0.380014 -22.3575 -23.0865 -21.6325 0        NaN      NaN     
bark_of_tree      -5.41957 0.003019 0.100524 -5.41755 -5.62301 -5.23247 0        NaN      NaN     
bark_of_tree      -5.45131 0.003513 0.121986 -5.43663 -5.70911 -5.23386 0        NaN      NaN     
bark_of_tree      -5.84260 0.003309 0.125949 -5.83973 -6.08623 -5.59282 0        NaN      NaN     
belly             -15.5431 0.008699 0.311333 -15.5441 -16.1597 -14.9408 0        NaN      NaN     
belly             -7.10612 0.009519 0.395706 -7.07062 -7.88333 -6.39624 0        NaN      NaN     
belly             -4.78985 0.002813 0.090479 -4.79037 -4.97803 -4.62929 0        NaN      NaN     
belly             -4.04109 0.00298  0.082685 -4.03809 -4.20107 -3.87803 0        NaN      NaN     
belly             -5.53308 0.003302 0.118774 -5.51954 -5.77771 -5.31731 0        NaN      NaN     
belly             -5.92435 0.003127 0.123419 -5.92192 -6.16467 -5.68215 0        NaN      NaN     
belly             -19.4827 0.010426 0.399134 -19.4662 -20.2531 -18.7503 0        NaN      NaN     
belly             -9.75483 0.006639 0.18659  -9.75095 -10.123  -9.39898 0        NaN      NaN     
big               -8.33188 0.00811  0.295739 -8.32116 -8.91530 -7.77572 0        NaN      NaN     
big               -7.93974 0.010246 0.424816 -7.87593 -8.84166 -7.17283 0        NaN      NaN     
big               -4.67714 0.004215 0.127789 -4.67347 -4.91972 -4.41517 0        NaN      NaN     
big               -8.16138 0.006314 0.152822 -8.15721 -8.44300 -7.85975 0        NaN      NaN     
big               -4.84114 0.002923 0.097974 -4.83871 -5.0324  -4.65234 0        NaN      NaN     
big               -4.01942 0.003044 0.08354  -4.01626 -4.17983 -3.85288 0        NaN      NaN     
big               -4.32105 0.002702 0.079142 -4.32187 -4.46766 -4.16735 0        NaN      NaN     
big               -4.84875 0.002858 0.096285 -4.84738 -5.03657 -4.66393 0        NaN      NaN     
big               -4.77770 0.002979 0.100248 -4.77181 -4.96678 -4.58751 0        NaN      NaN     
bird              -4.54688 0.002445 0.064584 -4.54565 -4.67134 -4.42551 0        NaN      NaN     
bird              -12.9817 0.007969 0.294723 -12.9904 -13.5655 -12.3945 0        NaN      NaN     
bird              -14.3023 0.008526 0.313251 -14.2819 -14.9639 -13.7399 0        NaN      NaN     
bird              -6.46129 0.005528 0.228888 -6.44327 -6.87918 -6.02072 0        NaN      NaN     
bird              -7.00793 0.008414 0.345022 -6.97521 -7.63522 -6.40967 0        NaN      NaN     
bird              -4.76784 0.002872 0.091511 -4.76733 -4.95622 -4.60415 0        NaN      NaN     
bird              -4.77827 0.002989 0.100226 -4.77285 -4.96828 -4.58880 0        NaN      NaN     
bird              -4.35213 0.003012 0.084976 -4.35013 -4.52661 -4.20246 0        NaN      NaN     
bird              -4.35213 0.003012 0.084976 -4.35013 -4.52661 -4.20246 0        NaN      NaN     
bird              -4.02185 0.003044 0.083552 -4.01862 -4.18512 -3.85907 0        NaN      NaN     
bird              -4.84935 0.002868 0.096281 -4.84804 -5.03781 -4.66484 0        NaN      NaN     
bite              -11.9610 0.007317 0.285992 -11.9592 -12.5160 -11.3676 0        NaN      NaN     
bite              -6.43784 0.005546 0.228992 -6.41979 -6.86941 -6.00655 0        NaN      NaN     
bite              -4.66114 0.004255 0.128285 -4.65793 -4.90773 -4.40026 0        NaN      NaN     
bite              -4.00331 0.003094 0.084265 -4.00015 -4.16296 -3.83373 0        NaN      NaN     
bite              -16.7720 0.011927 0.363951 -16.7708 -17.4343 -16.0525 0        NaN      NaN     
black             -19.0039 0.011452 0.379414 -19.0069 -19.7323 -18.2451 0        NaN      NaN     
black             -24.711  0.013546 0.424371 -24.7012 -25.5172 -23.9073 0        NaN      NaN     
black             -4.34452 0.00266  0.079253 -4.34448 -4.49035 -4.19072 0        NaN      NaN     
black             -4.65521 0.00242  0.063149 -4.65454 -4.78884 -4.54030 0        NaN      NaN     
black             -5.17021 0.002648 0.084466 -5.16883 -5.33838 -5.00862 0        NaN      NaN     
black             -5.49325 0.005041 0.174662 -5.48547 -5.83181 -5.15847 0        NaN      NaN     
black             -7.93385 0.005652 0.227263 -7.92020 -8.34892 -7.46794 0        NaN      NaN     
blood             -6.17759 0.006473 0.23753  -6.17748 -6.63714 -5.70617 0        NaN      NaN     
blow_wind         -9.03205 0.006963 0.229911 -9.02892 -9.51392 -8.62593 0        NaN      NaN     
