item                                        mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                   -6729.36 0.203181 7.819479 -6729.30 -6745.22 -6713.99 12159.79 1481.109 NaN     
likelihood                                  -6525.59 0.149036 5.955292 -6525.14 -6536.63 -6514.25 11279.45 1596.708 NaN     
prior                                       -203.777 0.210597 7.539307 -204.343 -217.561 -188.717 14052.50 1281.622 NaN     
treeLikelihood.pano-full                    -6525.59 0.149036 5.955292 -6525.14 -6536.63 -6514.25 11279.45 1596.708 NaN     
Tree.t:tree.height                          1294.670 6.20589  230.4003 1271.686 879.5077 1715.113 13066.38 1378.346 1275.241
Tree.t:tree.treeLength                      11690.84 38.67289 1370.104 11558.08 8940.630 14215.89 14348.93 1255.145 11612.38
mutationRate.s:pano-full                    1        0        0        1        1        1        NaN      NaN      1       
gammaShape.s:pano-full                      0.877601 0.00292  0.098673 0.870739 0.70689  1.080288 15776.16 1141.595 0.872163
frequencies.s:pano-full.1                   0.952952 0.000226 0.004907 0.95304  0.943045 0.962257 38212.67 471.3096 0.952939
frequencies.s:pano-full.2                   0.047048 0.000226 0.004907 0.04696  0.037743 0.056955 38212.67 471.3096 0.04679 
ORCsigma.c:clock                            0.361545 0.002579 0.074324 0.355566 0.227126 0.510315 21682.50 830.6237 0.353958
ORCRatesStat.c:clock.mean                   7.36E-5  4.54E-7  1.19E-5  7.29E-5  4.98E-5  9.6E-5   26229.32 686.6359 7.27E-5 
ORCRatesStat.c:clock.variance               7.31E-10 1.54E-11 3.8E-10  6.5E-10  1.51E-10 1.52E-9  29532.00 609.8468 6.43E-10
ORCRatesStat.c:clock.coefficientOfVariation 0.343495 0.001727 0.052885 0.343534 0.242472 0.447771 19196.34 938.1993 0.339321
BirthDeathSkyContemporaryBDSParam.t:tree    -173.473 0.083839 3.060404 -173.329 -179.970 -168.024 13516.03 1332.491 NaN     
birthRateBDS.t:tree                         0.00296  2.2E-5   0.000862 0.002808 0.001577 0.004738 11752.99 1532.375 0.002844
deathRateBDS.t:tree                         0.001119 2.51E-5  0.001016 0.000836 7.26E-7  0.003055 10983.99 1639.657 0.000665
rhoBDS.t:tree                               0.857449 0.001538 0.065262 0.863812 0.73276  0.968606 10000    1801     0.854849
ORCucldMean.c:clock                         7.83E-5  5.57E-7  1.41E-5  7.72E-5  5.33E-5  0.000108 28287.47 636.6774 7.71E-5 
logP(mrca(chacobo))                         -5.45062 0.010607 0.446363 -5.27912 -6.32880 -5.14186 10170.88 1770.740 NaN     
mrca.age(chacobo)                           356.7478 1.07816  45.75514 348.7296 285.0199 447.9844 10000    1801     354.0059
logP(mrca(kashinawa1))                      -3.17181 0.021699 0.884758 -2.83495 -4.97428 -2.52837 10833.14 1662.490 NaN     
mrca.age(kashinawa1)                        83.06832 0.125679 4.770449 83.01688 73.31156 91.62016 12500.25 1440.770 82.93132
logP(mrca(northern))                        -5.54022 0.010956 0.46493  -5.37438 -6.46036 -5.22555 10000.63 1800.885 NaN     
mrca.age(northern)                          461.0349 1.257809 52.38104 448.3926 381.7652 563.4727 10384.71 1734.279 458.2796
logP(mrca(chama))                           -5.83270 0.021596 0.845095 -5.52877 -7.51217 -5.14186 11761.30 1531.292 NaN     
mrca.age(chama)                             319.1623 0.75031  27.68863 314.4858 274.6666 372.9256 13224.88 1361.826 318.0218
monophyletic(kakataibo.tip)                 1        0        0        1        1        1        NaN      NaN      1       
logP(mrca(kakataibo.tip))                   -9.33399 0.032019 1.195566 -9.31021 -11.6654 -6.97237 12917.95 1394.183 NaN     
mrca.age(kakataibo.tip.originate)           804.7369 3.653805 136.8697 795.0824 556.0807 1085.858 12834.80 1403.216 793.3689
