item                                     mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                -6752.00 0.111608 4.73644  -6751.73 -6760.76 -6742.89 10000    1801     NaN     
likelihood                               -6556.13 0.107038 4.409753 -6555.64 -6564.79 -6548.43 10611.04 1697.287 NaN     
prior                                    -195.873 0.083534 3.381221 -195.613 -202.534 -189.033 10992.37 1638.409 NaN     
treeLikelihood.pano-full                 -6556.13 0.107038 4.409753 -6555.64 -6564.79 -6548.43 10611.04 1697.287 NaN     
Tree.t:tree.height                       1564.620 4.006755 170.0394 1547.697 1248.175 1906.372 10000    1801     1555.614
Tree.t:tree.treeLength                   13709.09 27.00559 1076.642 13646.80 11690.34 15897.48 11331.25 1589.409 13667.36
mutationRate.s:pano-full                 1        0        0        1        1        1        NaN      NaN      1       
gammaShape.s:pano-full                   0.881658 0.002372 0.094794 0.877689 0.712754 1.077751 11274.09 1597.467 0.8766  
frequencies.s:pano-full.1                0.954075 0.000217 0.004746 0.954297 0.94483  0.963274 37584.60 479.1855 0.954063
frequencies.s:pano-full.2                0.045925 0.000217 0.004746 0.045703 0.036726 0.05517  37584.60 479.1855 0.04568 
clockRate.c:clock                        5.99E-5  2.85E-7  7.99E-6  5.96E-5  4.44E-5  7.49E-5  22844.24 788.3822 5.94E-5 
BirthDeathSkyContemporaryBDSParam.t:tree -177.401 0.053696 2.218976 -177.261 -181.587 -173.093 10546.14 1707.732 NaN     
birthRateBDS.t:tree                      0.002539 1.82E-5  0.000731 0.002424 0.001237 0.003956 11155.93 1614.387 0.002443
deathRateBDS.t:tree                      0.001026 2.12E-5  0.000899 0.000806 9.81E-7  0.002757 10000    1801     0.000611
rhoBDS.t:tree                            0.85563  0.00154  0.065373 0.862603 0.72624  0.965253 10000    1801     0.85302 
logP(mrca(chacobo))                      -5.42249 0.011318 0.4495   -5.25718 -6.26288 -5.14186 11418.76 1577.228 NaN     
mrca.age(chacobo)                        350.0954 0.931209 38.64250 344.9481 284.5457 422.6818 10458.68 1722.013 348.0642
logP(mrca(kashinawa1))                   -4.31664 0.039285 1.6077   -3.94273 -7.48355 -2.52838 10753.62 1674.783 NaN     
mrca.age(kashinawa1)                     88.33054 0.107852 4.47387  88.40938 79.21545 96.94329 10466.57 1720.716 88.21692
logP(mrca(northern))                     -5.48551 0.007728 0.327958 -5.37208 -6.15076 -5.22555 10000    1801     NaN     
mrca.age(northern)                       475.4913 1.124931 47.74004 470.3261 390.9292 568.6752 10000    1801     473.1761
logP(mrca(chama))                        -7.07674 0.032102 1.291404 -6.82512 -9.50904 -5.15676 11128.66 1618.343 NaN     
mrca.age(chama)                          291.4222 0.33642  12.63367 289.5907 270.2696 317.2081 12770.78 1410.250 291.1544
monophyletic(kakataibo.tip)              1        0        0        1        1        1        NaN      NaN      1       
logP(mrca(kakataibo.tip))                -10.0044 0.017509 0.722351 -9.97944 -11.3091 -8.48044 10580.97 1702.111 NaN     
mrca.age(kakataibo.tip.originate)        877.7772 2.099395 86.61246 872.0311 705.7176 1039.326 10581.35 1702.050 873.5628
