item              mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
I                 -9.13858 0.00837  0.27829  -9.12679 -9.73083 -8.65452 0        NaN      NaN     
all               -11.7713 0.014153 0.563459 -11.9520 -12.6614 -10.6979 0        NaN      NaN     
all               -8.79334 0.005587 0.171573 -8.77964 -9.13153 -8.46870 0        NaN      NaN     
all               -7.28639 0.004525 0.131505 -7.28737 -7.56033 -7.04257 0        NaN      NaN     
all               -3.94254 0.001821 0.053262 -3.94109 -4.05289 -3.84474 0        NaN      NaN     
all               -8.23288 0.004867 0.154933 -8.22434 -8.53718 -7.93317 0        NaN      NaN     
all               -4.85726 0.002752 0.102649 -4.84320 -5.12016 -4.69793 0        NaN      NaN     
all               -3.94043 0.001767 0.05394  -3.94140 -4.04043 -3.83187 0        NaN      NaN     
all               -4.13206 0.001956 0.073637 -4.13205 -4.28576 -3.99766 0        NaN      NaN     
all               -4.13206 0.001956 0.073637 -4.13205 -4.28576 -3.99766 0        NaN      NaN     
all               -4.1287  0.001671 0.052732 -4.12767 -4.22610 -4.01898 0        NaN      NaN     
all               -4.82759 0.002239 0.085682 -4.82911 -4.99743 -4.66499 0        NaN      NaN     
all               -4.82759 0.002239 0.085682 -4.82911 -4.99743 -4.66499 0        NaN      NaN     
animal            -4.91405 0.002333 0.090506 -4.91432 -5.10323 -4.74852 0        NaN      NaN     
animal            -3.74521 0.00176  0.067283 -3.74519 -3.88762 -3.62168 0        NaN      NaN     
animal            -4.90624 0.002599 0.101522 -4.89141 -5.16344 -4.74129 0        NaN      NaN     
animal            -4.24993 0.002729 0.107952 -4.24654 -4.46263 -4.04372 0        NaN      NaN     
animal            -4.49381 0.002712 0.105813 -4.48519 -4.70533 -4.29805 0        NaN      NaN     
animal            -5.15836 0.002476 0.093509 -5.15532 -5.34782 -4.99260 0        NaN      NaN     
animal            -15.5291 0.006604 0.259113 -15.5186 -16.0149 -15.0071 0        NaN      NaN     
ashes             -9.40114 0.006747 0.222956 -9.40071 -9.85922 -9.00083 0        NaN      NaN     
ashes             -4.22950 0.001369 0.049303 -4.22925 -4.32925 -4.13679 0        NaN      NaN     
back_of_body      -12.1909 0.054147 1.027139 -11.7753 -14.4853 -11.1694 0        NaN      NaN     
back_of_body      -15.8976 0.027351 0.587792 -15.7663 -17.2366 -14.9479 0        NaN      NaN     
bad               -12.1867 0.00718  0.2913   -12.2001 -12.7870 -11.6744 0        NaN      NaN     
bad               -3.74521 0.00176  0.067283 -3.74519 -3.88762 -3.62168 0        NaN      NaN     
bad               -7.98948 0.004865 0.206458 -7.98706 -8.37330 -7.59803 0        NaN      NaN     
bad               -11.1506 0.00791  0.272361 -11.1449 -11.6462 -10.6056 0        NaN      NaN     
bad               -3.99167 0.001533 0.051227 -3.99065 -4.09426 -3.89681 0        NaN      NaN     
bad               -5.01008 0.002723 0.104781 -5.00527 -5.21470 -4.81281 0        NaN      NaN     
bad               -3.98955 0.001576 0.051926 -3.99053 -4.09186 -3.89109 0        NaN      NaN     
bad               -4.20813 0.001638 0.052673 -4.20695 -4.31872 -4.11553 0        NaN      NaN     
bad               -4.24993 0.002729 0.107952 -4.24654 -4.46263 -4.04372 0        NaN      NaN     
bad               -4.60074 0.002393 0.096017 -4.59985 -4.78613 -4.41379 0        NaN      NaN     
bark_of_tree      -14.2020 0.009166 0.311849 -14.1989 -14.8341 -13.6114 0        NaN      NaN     
bark_of_tree      -23.6293 0.013053 0.386318 -23.6164 -24.4055 -22.9147 0        NaN      NaN     
bark_of_tree      -5.10714 0.002532 0.094485 -5.10350 -5.29927 -4.93946 0        NaN      NaN     
bark_of_tree      -5.13505 0.003804 0.130741 -5.11366 -5.40260 -4.89680 0        NaN      NaN     
bark_of_tree      -5.59429 0.00313  0.1208   -5.59080 -5.82473 -5.35879 0        NaN      NaN     
belly             -14.8183 0.007903 0.324578 -14.8280 -15.4070 -14.2212 0        NaN      NaN     
belly             -5.95370 0.006515 0.269401 -5.93614 -6.49028 -5.47333 0        NaN      NaN     
belly             -4.61467 0.002054 0.083844 -4.61836 -4.78292 -4.45546 0        NaN      NaN     
belly             -3.78848 0.0017   0.066111 -3.78897 -3.93127 -3.67026 0        NaN      NaN     
belly             -5.22805 0.003726 0.129374 -5.20811 -5.48742 -4.99304 0        NaN      NaN     
belly             -5.68765 0.003019 0.118691 -5.68522 -5.89984 -5.44549 0        NaN      NaN     
belly             -21.9826 0.013195 0.547793 -21.9865 -22.9871 -20.8533 0        NaN      NaN     
belly             -9.51008 0.00479  0.156579 -9.50431 -9.82381 -9.21538 0        NaN      NaN     
big               -7.09714 0.005675 0.228712 -7.08608 -7.53391 -6.64163 0        NaN      NaN     
big               -6.82596 0.009583 0.387393 -6.78641 -7.48656 -6.17801 0        NaN      NaN     
big               -4.26757 0.002706 0.107534 -4.26391 -4.47991 -4.06115 0        NaN      NaN     
big               -7.66203 0.004009 0.117447 -7.65783 -7.90322 -7.44647 0        NaN      NaN     
big               -4.60325 0.002408 0.101708 -4.60065 -4.80132 -4.41258 0        NaN      NaN     
big               -3.76284 0.001735 0.066743 -3.76350 -3.90295 -3.64101 0        NaN      NaN     
big               -4.0094  0.001678 0.05049  -4.00801 -4.11224 -3.91763 0        NaN      NaN     
big               -4.61833 0.002376 0.095605 -4.61648 -4.80347 -4.43185 0        NaN      NaN     
big               -4.51141 0.002693 0.105414 -4.50320 -4.72333 -4.31625 0        NaN      NaN     
bird              -4.22713 0.001602 0.051796 -4.22561 -4.33574 -4.13668 0        NaN      NaN     
bird              -13.2880 0.00862  0.329778 -13.3038 -13.9149 -12.6400 0        NaN      NaN     
bird              -15.1031 0.008498 0.346133 -15.1007 -15.7471 -14.4094 0        NaN      NaN     
bird              -5.86563 0.005311 0.219883 -5.84910 -6.29740 -5.44924 0        NaN      NaN     
bird              -6.67548 0.007711 0.32726  -6.64994 -7.23664 -6.07201 0        NaN      NaN     
bird              -4.59166 0.002083 0.084423 -4.59550 -4.75382 -4.42623 0        NaN      NaN     
bird              -4.51265 0.002689 0.105405 -4.50443 -4.72462 -4.31891 0        NaN      NaN     
bird              -4.20024 0.001867 0.071388 -4.19971 -4.34090 -4.06258 0        NaN      NaN     
bird              -4.20024 0.001867 0.071388 -4.19971 -4.34090 -4.06258 0        NaN      NaN     
bird              -3.76548 0.001735 0.06684  -3.76584 -3.91187 -3.64729 0        NaN      NaN     
bird              -4.61957 0.002376 0.095624 -4.61823 -4.80162 -4.42942 0        NaN      NaN     
bite              -12.1632 0.008087 0.319823 -12.1767 -12.7917 -11.4840 0        NaN      NaN     
bite              -5.84391 0.005322 0.220264 -5.82597 -6.27579 -5.42695 0        NaN      NaN     
bite              -4.24716 0.002736 0.108163 -4.24361 -4.46754 -4.04648 0        NaN      NaN     
bite              -3.74243 0.001767 0.067424 -3.74280 -3.88530 -3.61874 0        NaN      NaN     
bite              -15.6393 0.008654 0.330032 -15.6283 -16.264  -14.9735 0        NaN      NaN     
black             -19.4188 0.01228  0.466307 -19.4278 -20.3155 -18.5096 0        NaN      NaN     
black             -24.9841 0.013187 0.459844 -24.9743 -25.9083 -24.1419 0        NaN      NaN     
black             -4.03334 0.001507 0.05139  -4.03158 -4.14204 -3.94235 0        NaN      NaN     
black             -4.29769 0.001252 0.046272 -4.29824 -4.38714 -4.20942 0        NaN      NaN     
black             -4.79803 0.002215 0.091252 -4.79010 -4.97597 -4.62431 0        NaN      NaN     
black             -4.81013 0.003189 0.127598 -4.79820 -5.06890 -4.58423 0        NaN      NaN     
black             -8.02589 0.004852 0.205921 -8.02315 -8.40592 -7.63436 0        NaN      NaN     
blood             -9.13858 0.00837  0.27829  -9.12679 -9.73083 -8.65452 0        NaN      NaN     
blow_wind         -9.22376 0.005729 0.206708 -9.21948 -9.6247  -8.83921 0        NaN      NaN     
blow_wind         -4.18763 0.001683 0.053605 -4.18625 -4.30011 -4.09358 0        NaN      NaN     
blow_wind         -4.50207 0.002431 0.09931  -4.49932 -4.69990 -4.32276 0        NaN      NaN     
blow_wind         -3.72480 0.001794 0.067988 -3.72518 -3.86854 -3.59881 0        NaN      NaN     
blow_wind         -4.22952 0.002759 0.108596 -4.22609 -4.45214 -4.03105 0        NaN      NaN     
bone              -4.21783 0.001849 0.070921 -4.21757 -4.35364 -4.07810 0        NaN      NaN     
bone              -4.21783 0.001849 0.070921 -4.21757 -4.35364 -4.07810 0        NaN      NaN     
bone              -9.02866 0.007548 0.260402 -9.01891 -9.57077 -8.55663 0        NaN      NaN     
breathe           -14.1874 0.005975 0.237844 -14.1814 -14.6513 -13.7568 0        NaN      NaN     
breathe           -11.4742 0.008778 0.359829 -11.4528 -12.2269 -10.7962 0        NaN      NaN     
breathe           -5.83477 0.002115 0.085561 -5.83426 -5.99491 -5.66042 0        NaN      NaN     
breathe           -5.83477 0.002115 0.085561 -5.83426 -5.99491 -5.66042 0        NaN      NaN     
breathe           -4.61103 0.002392 0.093513 -4.61081 -4.79923 -4.43299 0        NaN      NaN     
breathe           -4.61103 0.002392 0.093513 -4.61081 -4.79923 -4.43299 0        NaN      NaN     
breathe           -4.14966 0.001935 0.073094 -4.14917 -4.30105 -4.01536 0        NaN      NaN     
breathe           -3.95818 0.001735 0.053161 -3.95902 -4.05407 -3.84777 0        NaN      NaN     
breathe           -4.72596 0.002027 0.068032 -4.72599 -4.86159 -4.59513 0        NaN      NaN     
burn_tr_v         -5.34946 0.003683 0.137964 -5.34857 -5.59989 -5.06248 0        NaN      NaN     
burn_tr_v         -4.75455 0.001989 0.067189 -4.75489 -4.88661 -4.62283 0        NaN      NaN     
burn_tr_v         -6.92008 0.005407 0.152054 -6.92653 -7.19798 -6.59677 0        NaN      NaN     
burn_tr_v         -14.2426 0.007196 0.275549 -14.2285 -14.7212 -13.6680 0        NaN      NaN     
burn_tr_v         -8.91232 0.004024 0.138166 -8.90871 -9.19355 -8.65971 0        NaN      NaN     
burn_tr_v         -3.98684 0.001681 0.05202  -3.98815 -4.08300 -3.88124 0        NaN      NaN     
