item                                        mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                   -6693.94 0.20882  7.943363 -6693.87 -6709.12 -6678.18 12446.51 1446.991 NaN     
likelihood                                  -6497.95 0.155388 5.65125  -6497.69 -6509.50 -6487.23 13616.24 1322.684 NaN     
prior                                       -195.984 0.193255 7.602463 -196.545 -210.756 -181.153 11637.65 1547.563 NaN     
treeLikelihood.pano-full                    -6497.95 0.155388 5.65125  -6497.69 -6509.50 -6487.23 13616.24 1322.684 NaN     
Tree.t:tree.height                          1484.890 7.320832 279.326  1457.356 1004.710 2027.696 12371.20 1455.800 1460.104
Tree.t:tree.treeLength                      13030.17 47.28694 1674.917 12909.64 9875.664 16183.24 14355.20 1254.597 12924.87
mutationRate.s:pano-full                    1        0        0        1        1        1        NaN      NaN      1       
bcov_alpha.s:pano-full                      0.010231 0.000381 0.008856 0.007775 0.000126 0.029049 33275.98 541.2311 0.006529
bcov_s.s:pano-full                          0.276329 0.001012 0.031707 0.276351 0.21756  0.339837 18343.83 981.8012 0.274489
frequencies.s:pano-full.1                   0.947515 0.000268 0.005025 0.947421 0.936995 0.9561   51378.19 350.5377 0.947501
frequencies.s:pano-full.2                   0.052485 0.000268 0.005025 0.052579 0.0439   0.063005 51378.19 350.5377 0.052243
ORCsigma.c:clock                            0.368728 0.002108 0.076886 0.361484 0.222307 0.515173 13544.43 1329.697 0.360934
ORCRatesStat.c:clock.mean                   8.15E-5  4.67E-7  1.33E-5  8.05E-5  5.74E-5  0.00011  22084.38 815.5082 8.04E-5 
ORCRatesStat.c:clock.variance               9.37E-10 1.42E-11 4.56E-10 8.44E-10 2.36E-10 1.84E-9  17524.43 1027.707 8.39E-10
ORCRatesStat.c:clock.coefficientOfVariation 0.350856 0.001502 0.053827 0.349231 0.246508 0.458121 14024.25 1284.203 0.346695
BirthDeathSkyContemporaryBDSParam.t:tree    -175.769 0.089976 3.20718  -175.644 -182.137 -169.784 14174.91 1270.554 NaN     
birthRateBDS.t:tree                         0.002534 1.9E-5   0.000706 0.002437 0.001323 0.003953 13007.14 1384.623 0.002442
deathRateBDS.t:tree                         0.00078  1.68E-5  0.000712 0.000568 5.05E-7  0.002244 10000    1801     0.000476
rhoBDS.t:tree                               0.858511 0.001522 0.064612 0.866854 0.731504 0.970618 10000    1801     0.855972
ORCucldMean.c:clock                         8.77E-5  5.4E-7   1.57E-5  8.61E-5  6.11E-5  0.000122 21261.40 847.0748 8.64E-5 
logP(mrca(chacobo))                         -5.48048 0.010934 0.464007 -5.30618 -6.40167 -5.14186 10000    1801     NaN     
mrca.age(chacobo)                           373.2460 1.322761 56.13557 363.2156 284.6076 483.1997 10000    1801     369.3797
logP(mrca(kashinawa1))                      -3.23856 0.02266  0.961633 -2.87181 -5.07897 -2.52837 10000    1801     NaN     
mrca.age(kashinawa1)                        83.40805 0.115184 4.888207 83.46143 74.20839 92.77122 10000    1801     83.26428
logP(mrca(northern))                        -5.58185 0.011634 0.49372  -5.39568 -6.53518 -5.22555 10000    1801     NaN     
mrca.age(northern)                          476.6359 1.68211  64.68354 464.1893 383.1131 598.7066 12179.65 1478.695 472.7004
logP(mrca(chama))                           -5.71734 0.017883 0.758916 -5.42240 -7.24321 -5.14186 10000    1801     NaN     
mrca.age(chama)                             325.8678 0.746169 31.66606 320.1225 277.0787 391.0712 10000    1801     324.4122
