item                                        mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                   -6623.55 0.248126 8.933205 -6623.28 -6640.40 -6605.63 27781.29 1296.195 NaN     
likelihood                                  -6417.00 0.107252 6.009692 -6416.56 -6428.86 -6405.82 11469.03 3139.757 NaN     
prior                                       -206.550 0.270695 7.99961  -206.708 -221.970 -190.933 41233.02 873.3290 NaN     
treeLikelihood.p1                           -1543.35 0.125181 6.417286 -1543.19 -1555.54 -1530.58 13702.32 2628.021 NaN     
treeLikelihood.p2                           -1359.49 0.068729 3.722207 -1359.39 -1367.06 -1352.80 12277.45 2933.017 NaN     
treeLikelihood.p3                           -1339.57 0.073022 4.381911 -1339.54 -1348.16 -1331.26 10000    3601     NaN     
treeLikelihood.p4                           -1061.86 0.053527 3.21204  -1061.72 -1067.94 -1055.53 10000    3601     NaN     
treeLikelihood.p5                           -1112.71 0.073449 4.407538 -1112.62 -1121.58 -1104.14 10000    3601     NaN     
Tree.t:tree.height                          1555.341 6.509744 290.4784 1525.569 1060.562 2147.568 18085.18 1991.132 1529.429
Tree.t:tree.treeLength                      13616.43 44.06717 1799.657 13510.14 10326.50 17204.54 21591.04 1667.820 13498.54
mutationRate.s:p1                           0.424696 0.023494 0.408257 0.300437 0.013512 1.191396 119249.1 301.9729 0.294192
mutationRate.s:p2                           1.010764 0.055926 0.984222 0.711809 0.031585 2.874767 116269.6 309.7109 0.698703
mutationRate.s:p3                           1.739291 0.096141 1.681065 1.221309 0.045295 4.905985 117780.4 305.7382 1.203173
mutationRate.s:p4                           2.059314 0.113379 1.999234 1.451775 0.073986 5.690465 115814.9 310.9270 1.423987
mutationRate.s:p5                           3.055705 0.170926 2.999572 2.163066 0.069355 8.522268 116928.7 307.9651 2.103938
bcov_alpha.s:combined                       0.012417 0.000201 0.012049 0.008712 0.000102 0.036888 10000    3601     0.00725 
bcov_s.s:combined                           0.628772 0.001219 0.073062 0.624722 0.498595 0.77964  10027.52 3591.116 0.624563
frequencies.s:combined.1                    0.955403 7.23E-5  0.004301 0.955547 0.946766 0.963302 10167.45 3541.693 0.955393
frequencies.s:combined.2                    0.044597 7.23E-5  0.004301 0.044453 0.036698 0.053234 10167.45 3541.693 0.04439 
ORCsigma.c:clock                            0.371187 0.001601 0.076332 0.362544 0.239422 0.528404 15839.65 2273.408 0.363652
ORCRatesStat.c:clock.mean                   0.000148 1.18E-5  0.000177 9.81E-5  8.53E-6  0.000435 159612.3 225.6090 9.84E-5 
ORCRatesStat.c:clock.variance               7E-9     1.67E-9  2.94E-8  1.24E-9  5.54E-12 2.46E-8  116632.5 308.7474 1.23E-9 
ORCRatesStat.c:clock.coefficientOfVariation 0.351446 0.001145 0.05287  0.349608 0.243309 0.45197  16887.04 2132.403 0.347473
BirthDeathSkyContemporaryBDSParam.t:tree    -176.804 0.077565 3.305636 -176.799 -183.137 -170.567 19826.50 1816.255 NaN     
birthRateBDS.t:tree                         0.002439 1.26E-5  0.000684 0.002337 0.001256 0.003776 12142.79 2965.544 0.00235 
deathRateBDS.t:tree                         0.000772 1.26E-5  0.000716 0.00056  7.98E-8  0.002225 11071.67 3252.444 0.000448
rhoBDS.t:tree                               0.858789 0.001053 0.063166 0.867612 0.736844 0.969249 10000    3601     0.856361
ORCucldMean.c:clock                         0.000158 1.25E-5  0.000188 0.000104 6.92E-6  0.000459 159497.1 225.7720 0.000105
logP(mrca(chacobo))                         -5.51041 0.008961 0.491853 -5.32622 -6.52273 -5.14186 11952.77 3012.689 NaN     
mrca.age(chacobo)                           378.5355 0.990053 59.41144 367.4400 283.2828 495.6027 10000    3601     374.2277
logP(mrca(kashinawa1))                      -3.21182 0.01549  0.921099 -2.85150 -5.04682 -2.52837 10184.00 3535.935 NaN     
mrca.age(kashinawa1)                        83.22641 0.081594 4.874702 83.25331 74.07817 92.95726 10088.94 3569.252 83.08297
logP(mrca(northern))                        -5.57585 0.007831 0.463121 -5.39158 -6.56773 -5.22555 10295.83 3497.530 NaN     
mrca.age(northern)                          478.1911 1.116578 64.91711 463.1663 385.8163 610.0259 10653.26 3380.184 474.2016
logP(mrca(chama))                           -5.69966 0.012213 0.718161 -5.42909 -7.14306 -5.14186 10413.78 3457.915 NaN     
mrca.age(chama)                             327.0649 0.571923 32.91864 320.3649 278.2129 396.6639 10869.63 3312.897 325.5091
