item                                     mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                -6714.67 0.147572 5.064929 -6714.43 -6724.75 -6705.42 15288.81 1177.985 NaN     
likelihood                               -6529.46 0.10792  4.498481 -6529.11 -6538.63 -6520.96 10365.34 1737.520 NaN     
prior                                    -185.217 0.080661 3.322074 -184.939 -191.803 -179.278 10617.59 1696.240 NaN     
treeLikelihood.pano-full                 -6529.46 0.10792  4.498481 -6529.11 -6538.63 -6520.96 10365.34 1737.520 NaN     
Tree.t:tree.height                       1719.793 4.806619 199.9288 1705.961 1363.629 2105.387 10409.79 1730.101 1708.393
Tree.t:tree.treeLength                   14458.44 31.94888 1296.393 14364.75 11870.67 16939.26 10938.33 1646.502 14401.17
mutationRate.s:pano-full                 1        0        0        1        1        1        NaN      NaN      1       
bcov_alpha.s:pano-full                   0.01009  0.000326 0.009132 0.007635 0.000103 0.028735 22998.74 783.0861 0.006116
bcov_s.s:pano-full                       0.28868  0.000917 0.031609 0.288086 0.226841 0.351424 15165.29 1187.580 0.286937
frequencies.s:pano-full.1                0.948171 0.000207 0.00506  0.948279 0.937995 0.957619 30208.53 596.1890 0.948157
frequencies.s:pano-full.2                0.051829 0.000207 0.00506  0.051721 0.042381 0.062005 30208.53 596.1890 0.051582
clockRate.c:clock                        7.16E-5  2.92E-7  9.01E-6  7.11E-5  5.53E-5  8.99E-5  18878.72 953.9837 7.1E-5  
BirthDeathSkyContemporaryBDSParam.t:tree -178.405 0.05804  2.345911 -178.277 -183.069 -173.872 11024.32 1633.660 NaN     
birthRateBDS.t:tree                      0.002308 1.44E-5  0.00061  0.002223 0.001251 0.003524 10000    1801     0.002234
deathRateBDS.t:tree                      0.000781 1.63E-5  0.000693 0.000582 1.48E-7  0.002176 10000    1801     0.000477
rhoBDS.t:tree                            0.860175 0.00183  0.065107 0.869694 0.741074 0.978321 14228.44 1265.773 0.857585
logP(mrca(chacobo))                      -5.41323 0.009818 0.383516 -5.25844 -6.20582 -5.14186 11802.83 1525.904 NaN     
mrca.age(chacobo)                        362.1666 1.119205 46.18648 354.3628 285.0181 450.3912 10575.56 1702.982 359.4238
logP(mrca(kashinawa1))                   -4.39590 0.040226 1.707131 -3.96534 -7.75904 -2.52837 10000    1801     NaN     
mrca.age(kashinawa1)                     88.48524 0.108947 4.623511 88.47634 79.83157 97.54367 10000    1801     88.36437
logP(mrca(northern))                     -5.65588 0.01087  0.457695 -5.50433 -6.55143 -5.22555 10158.61 1772.880 NaN     
mrca.age(northern)                       508.9891 1.495955 63.48562 500.1763 397.5781 626.7804 10000    1801     505.2040
logP(mrca(chama))                        -6.86880 0.028025 1.189351 -6.59689 -9.23565 -5.14188 10000    1801     NaN     
mrca.age(chama)                          293.8299 0.338616 13.66823 292.1313 271.0511 321.4148 11053.57 1629.337 293.5195
