item                                     mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                -6645.42 0.223463 6.359989 -6645.14 -6658.61 -6634.31 44455.01 810.0323 NaN     
likelihood                               -6449.80 0.080786 4.730924 -6449.52 -6459.02 -6440.91 10500.22 3429.450 NaN     
prior                                    -195.619 0.215126 4.865272 -195.240 -204.946 -186.119 70403.72 511.4786 NaN     
treeLikelihood.p1                        -1554.09 0.101155 5.800138 -1553.75 -1565.92 -1543.36 10952.69 3287.774 NaN     
treeLikelihood.p2                        -1367.52 0.050621 3.037659 -1367.43 -1373.47 -1361.58 10000    3601     NaN     
treeLikelihood.p3                        -1348.21 0.066807 3.990613 -1348.30 -1356.23 -1340.33 10092.28 3568.071 NaN     
treeLikelihood.p4                        -1063.40 0.040262 2.416051 -1063.32 -1068.34 -1058.93 10000    3601     NaN     
treeLikelihood.p5                        -1116.57 0.067228 4.034259 -1116.41 -1124.70 -1108.87 10000    3601     NaN     
Tree.t:tree.height                       1792.524 3.535761 203.9102 1781.089 1407.480 2193.085 10827.06 3325.923 1781.133
Tree.t:tree.treeLength                   15157.86 25.14635 1400.796 15060.35 12380.34 17828.81 11604.41 3103.129 15094.21
mutationRate.s:p1                        0.455011 0.023937 0.460607 0.323312 0.019528 1.288962 97249.30 370.2854 0.314731
mutationRate.s:p2                        1.087409 0.057343 1.090372 0.778407 0.035354 3.087269 99596.02 361.5606 0.750201
mutationRate.s:p3                        1.823527 0.096191 1.849021 1.301506 0.062981 5.199649 97455.66 369.5013 1.255279
mutationRate.s:p4                        2.121996 0.11355  2.15735  1.507697 0.073517 6.083413 99760.78 360.9634 1.466166
mutationRate.s:p5                        3.231451 0.169382 3.26389  2.300269 0.120705 9.210549 96981.32 371.3086 2.227767
bcov_alpha.s:combined                    0.01148  0.000181 0.010651 0.008261 0.000102 0.032062 10386.21 3467.094 0.006854
bcov_s.s:combined                        0.626394 0.001219 0.072121 0.620221 0.49433  0.773406 10294.87 3497.858 0.622307
frequencies.s:combined.1                 0.95636  7.29E-5  0.004101 0.956432 0.948379 0.964443 11386.47 3162.523 0.956351
frequencies.s:combined.2                 0.04364  7.29E-5  0.004101 0.043568 0.035557 0.051621 11386.47 3162.523 0.043446
clockRate.c:clock                        0.000121 7.84E-6  0.00014  7.89E-5  4.43E-6  0.000341 113378.9 317.6073 8.08E-5 
BirthDeathSkyContemporaryBDSParam.t:tree -179.517 0.043022 2.415752 -179.425 -183.966 -174.482 11420.77 3153.025 NaN     
birthRateBDS.t:tree                      0.002181 1.04E-5  0.00059  0.0021   0.001114 0.003323 11112.77 3240.415 0.002108
deathRateBDS.t:tree                      0.000758 1.16E-5  0.000671 0.000572 1.09E-6  0.002129 10826.20 3326.189 0.000463
rhoBDS.t:tree                            0.859682 0.001174 0.064046 0.868753 0.735862 0.973528 12106.42 2974.453 0.857181
logP(mrca(chacobo))                      -5.42003 0.006723 0.38131  -5.27665 -6.17550 -5.14186 11192.67 3217.282 NaN     
mrca.age(chacobo)                        371.9538 0.811891 48.72021 365.2148 290.8911 465.8944 10000    3601     368.9519
logP(mrca(kashinawa1))                   -4.12851 0.026517 1.557604 -3.69762 -7.19246 -2.52837 10436.49 3450.392 NaN     
mrca.age(kashinawa1)                     87.64546 0.081278 4.642593 87.64466 79.17880 97.15958 11036.93 3262.681 87.52217
logP(mrca(northern))                     -5.63967 0.00762  0.43799  -5.49558 -6.52213 -5.22555 10899.56 3303.801 NaN     
mrca.age(northern)                       508.9622 1.070989 60.97781 500.5949 401.0374 626.3370 11108.34 3241.707 505.4711
logP(mrca(chama))                        -6.79177 0.020252 1.215274 -6.53783 -9.09081 -5.14186 10000    3601     NaN     
mrca.age(chama)                          295.0815 0.264688 14.47647 292.8553 270.2406 323.7738 12038.32 2991.280 294.7358
