Filename                           	Marginal Lh	H/N	SD	Information	MaxESS
pano_covarion_relaxed_words        	-6244.5493	1.0092	1.0018	101.8521	533.8843
pano_covarion_strict_words         	-6284.1237	0.9807	0.9549	96.1861	189.8015
pano_covarion_relaxed_p5           	-6424.3302	0.5904	0.6095	34.8560	1031.8973
pano_covarion_strict_p5            	-6457.9462	0.5328	0.5275	28.3825	1162.4665
pano_covarion_relaxed_constrained  	-6500.5109	0.5506	0.5362	30.3129	1081.9266
pano_covarion_relaxed              	-6503.9559	0.5788	0.5659	33.4966	1103.1197
pano_ctmc_gamma8_relaxed           	-6530.3433	0.5718	0.5847	32.6991	1028.8656
pano_ctmc_gamma4_relaxed           	-6531.2253	0.5812	0.5903	33.7742	1033.6965
pano_covarion_strict               	-6537.3198	0.5250	0.4967	27.5666	1230.9519
pano_ctmc_gamma4_strict            	-6562.6980	0.5136	0.5055	26.3746	1165.0890
pano_ctmc_gamma8_strict            	-6563.0216	0.5167	0.5195	26.6966	1184.8291
pano_ctmc_relaxed                  	-6700.7446	0.5654	0.5808	31.9733	1095.5994
pano_ctmc_strict                   	-6735.7255	0.5166	0.5124	26.6896	1205.3098
