item                                        mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                   -6707.00 0.199417 7.876806 -6706.65 -6722.47 -6691.89 11543.51 1560.183 NaN     
likelihood                                  -6498.38 0.150338 5.887049 -6498.06 -6510.87 -6488.14 11745.05 1533.411 NaN     
prior                                       -208.624 0.178586 7.06852  -208.859 -222.054 -194.504 11496.18 1566.606 NaN     
treeLikelihood.pano-full                    -6498.38 0.150338 5.887049 -6498.06 -6510.87 -6488.14 11745.05 1533.411 NaN     
Tree.t:tree.height                          1331.452 7.162887 256.1819 1295.226 902.5202 1843.532 14079.67 1279.148 1308.388
Tree.t:tree.treeLength                      11517.09 44.47698 1460.569 11355.56 9032.948 14817.23 16700.90 1078.384 11426.94
mutationRate.s:pano-full                    1        0        0        1        1        1        NaN      NaN      1       
bcov_alpha.s:pano-full                      0.009469 0.00035  0.008118 0.007327 0.0001   0.024991 33570.90 536.4765 0.006087
bcov_s.s:pano-full                          0.280725 0.00121  0.032617 0.279896 0.219122 0.344433 24781.86 726.7410 0.278825
frequencies.s:pano-full.1                   0.947121 0.000279 0.005319 0.947167 0.937863 0.958492 49397.11 364.5961 0.947106
frequencies.s:pano-full.2                   0.052879 0.000279 0.005319 0.052833 0.041508 0.062137 49397.11 364.5961 0.052609
ORCsigma.c:clock                            0.374605 0.002074 0.075186 0.365384 0.248572 0.531187 13708.91 1313.744 0.367339
ORCRatesStat.c:clock.mean                   9.26E-5  6.14E-7  1.51E-5  9.14E-5  6.44E-5  0.000122 29938.79 601.5605 9.14E-5 
ORCRatesStat.c:clock.variance               1.23E-9  2.52E-11 6.49E-10 1.09E-9  2.9E-10  2.48E-9  27053.97 665.7061 1.08E-9 
ORCRatesStat.c:clock.coefficientOfVariation 0.349544 0.001474 0.051358 0.348164 0.241965 0.445531 14838.20 1213.758 0.345732
BirthDeathSkyContemporaryBDSParam.t:tree    -173.090 0.09841  3.195834 -172.953 -179.553 -167.037 17077.53 1054.601 NaN     
birthRateBDS.t:tree                         0.003088 2.32E-5  0.000942 0.002931 0.001561 0.004957 10966.23 1642.313 0.00296 
deathRateBDS.t:tree                         0.001278 2.69E-5  0.001117 0.000981 8.53E-7  0.003512 10413.91 1729.416 0.000788
rhoBDS.t:tree                               0.855819 0.001554 0.065933 0.864683 0.724719 0.963901 10000    1801     0.853158
ORCucldMean.c:clock                         9.98E-5  7.65E-7  1.84E-5  9.77E-5  6.5E-5   0.000135 31104.15 579.0222 9.81E-5 
logP(mrca(chacobo))                         -5.45792 0.010823 0.457734 -5.28590 -6.33337 -5.14186 10068.61 1788.727 NaN     
mrca.age(chacobo)                           360.0276 1.117378 47.23347 352.6446 285.8999 453.3560 10078.91 1786.897 357.1229
logP(mrca(kashinawa1))                      -3.12504 0.019948 0.846551 -2.80761 -4.73898 -2.52837 10000    1801     NaN     
mrca.age(kashinawa1)                        82.57818 0.113464 4.815204 82.56888 72.33786 91.30592 10000    1801     82.43765
logP(mrca(northern))                        -5.55783 0.011445 0.485693 -5.37821 -6.44186 -5.22555 10000    1801     NaN     
mrca.age(northern)                          464.8810 1.383453 55.54030 453.2963 383.5598 572.9916 11174.44 1611.712 461.8275
logP(mrca(chama))                           -5.80395 0.019153 0.812839 -5.52408 -7.39393 -5.14186 10000    1801     NaN     
mrca.age(chama)                             319.0839 0.636237 27.00076 314.3023 276.0617 372.3952 10000    1801     318.0063
monophyletic(kakataibo.tip)                 1        0        0        1        1        1        NaN      NaN      1       
logP(mrca(kakataibo.tip))                   -9.27956 0.036229 1.225372 -9.23618 -11.8398 -7.07359 15743.23 1143.983 NaN     
mrca.age(kakataibo.tip.originate)           798.9384 4.114793 139.6071 786.8463 539.5210 1084.408 15645.67 1151.117 786.9906
