item                                        mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                   -6695.68 0.214163 8.454633 -6695.22 -6711.96 -6679.51 11556.17 1558.473 NaN     
likelihood                                  -6496.67 0.135733 5.539735 -6496.39 -6507.81 -6486.62 10811.95 1665.748 NaN     
prior                                       -199.017 0.205913 7.956815 -199.214 -215.351 -183.366 12061.52 1493.177 NaN     
treeLikelihood.pano-full                    -6496.67 0.135733 5.539735 -6496.39 -6507.81 -6486.62 10811.95 1665.748 NaN     
Tree.t:tree.height                          1334.895 7.785899 285.0914 1295.119 848.2726 1904.243 13432.68 1340.759 1306.326
Tree.t:tree.treeLength                      11397.08 49.83389 1777.187 11237.83 8262.630 15089.80 14161.09 1271.794 11262.05
mutationRate.s:pano-full                    1        0        0        1        1        1        NaN      NaN      1       
bcov_alpha.s:pano-full                      0.010728 0.000388 0.00915  0.008404 0.000106 0.028942 32447.99 555.0419 0.006654
bcov_s.s:pano-full                          0.27599  0.001111 0.030867 0.274842 0.217649 0.336041 23324.62 772.1453 0.274264
frequencies.s:pano-full.1                   0.947649 0.00029  0.004868 0.947848 0.93835  0.956408 64050.21 281.1856 0.947636
frequencies.s:pano-full.2                   0.052351 0.00029  0.004868 0.052152 0.043592 0.06165  64050.21 281.1856 0.052125
ORCsigma.c:clock                            0.349403 0.001958 0.072082 0.342567 0.221595 0.489558 13289.99 1355.154 0.34221 
ORCRatesStat.c:clock.mean                   9.37E-5  6.33E-7  1.7E-5   9.25E-5  6.5E-5   0.000129 25014.37 719.9860 9.22E-5 
ORCRatesStat.c:clock.variance               1.13E-9  1.81E-11 5.71E-10 1.01E-9  2.89E-10 2.21E-9  18162.08 991.6260 1E-9    
ORCRatesStat.c:clock.coefficientOfVariation 0.336402 0.00137  0.050693 0.335814 0.240196 0.43811  13154.15 1369.149 0.332533
BirthDeathSkyContemporaryBDSParam.t:tree    -172.735 0.104994 3.844296 -172.595 -180.132 -165.087 13434.17 1340.610 NaN     
birthRateBDS.t:tree                         0.003147 2.5E-5   0.001007 0.002979 0.00158  0.005228 11123.34 1619.116 0.003002
deathRateBDS.t:tree                         0.00133  2.95E-5  0.001194 0.000993 3.17E-8  0.003673 11009.74 1635.824 0.0008  
rhoBDS.t:tree                               0.857424 0.001537 0.065242 0.865876 0.732133 0.970118 10000    1801     0.854831
ORCucldMean.c:clock                         9.93E-5  6.34E-7  1.87E-5  9.73E-5  6.85E-5  0.000139 20615.41 873.6180 9.76E-5 
logP(mrca(chacobo))                         -5.99550 0.007599 0.322481 -5.87992 -6.59919 -5.78749 10000    1801     NaN     
mrca.age(chacobo)                           316.0398 1.627853 69.08313 304.6047 203.0450 439.8544 10000    1801     309.0929
logP(mrca(kashinawa1))                      -3.12873 0.019741 0.837791 -2.79908 -4.88916 -2.52837 10000    1801     NaN     
mrca.age(kashinawa1)                        82.45009 0.120279 4.900513 82.35675 72.61220 91.92278 10849.49 1659.984 82.30391
logP(mrca(northern))                        -7.01960 0.011463 0.450096 -6.87103 -7.91710 -6.60517 11680.75 1541.852 NaN     
mrca.age(northern)                          443.5528 2.784765 109.1609 427.8430 254.7799 667.2171 11720.76 1536.589 431.1440
logP(mrca(chama))                           -6.41781 0.014367 0.604733 -6.25020 -7.60063 -5.78750 10165.73 1771.637 NaN     
mrca.age(chama)                             245.5014 0.768205 32.46955 238.2153 200.7592 307.5517 10081.26 1786.482 243.5403
