item                                        mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                   -6707.35 0.18019  7.498315 -6707.15 -6721.10 -6692.55 10400.39 1731.664 NaN     
likelihood                                  -6496.44 0.149084 5.635275 -6496.19 -6506.87 -6485.34 12605.09 1428.787 NaN     
prior                                       -210.910 0.16417  6.696259 -210.952 -224.078 -198.476 10825.18 1663.712 NaN     
treeLikelihood.pano-full                    -6496.44 0.149084 5.635275 -6496.19 -6506.87 -6485.34 12605.09 1428.787 NaN     
Tree.t:tree.height                          1302.465 6.792552 241.0054 1272.999 884.1086 1785.228 14306.25 1258.890 1281.197
Tree.t:tree.treeLength                      11366.80 42.93262 1443.763 11283.55 8925.283 14414.90 15925.63 1130.881 11276.57
mutationRate.s:pano-full                    1        0        0        1        1        1        NaN      NaN      1       
bcov_alpha.s:pano-full                      0.010161 0.00039  0.008443 0.007994 0.0001   0.026958 38372.35 469.3483 0.006445
bcov_s.s:pano-full                          0.278263 0.00107  0.03093  0.277058 0.223046 0.340894 21567.81 835.0403 0.276551
frequencies.s:pano-full.1                   0.947513 0.00028  0.005424 0.947716 0.936814 0.9574   48039.17 374.9023 0.947497
frequencies.s:pano-full.2                   0.052487 0.00028  0.005424 0.052284 0.0426   0.063186 48039.17 374.9023 0.052204
ORCsigma.c:clock                            0.393382 0.002335 0.077842 0.38423  0.23987  0.533049 16200.54 1111.691 0.386008
ORCRatesStat.c:clock.mean                   9.3E-5   6.7E-7   1.51E-5  9.18E-5  6.56E-5  0.000122 35423.87 508.4141 9.18E-5 
ORCRatesStat.c:clock.variance               1.36E-9  2.94E-11 8.12E-10 1.18E-9  3.42E-10 2.67E-9  23593.09 763.3588 1.2E-9  
ORCRatesStat.c:clock.coefficientOfVariation 0.365667 0.001464 0.049902 0.363945 0.266067 0.46042  15496.90 1162.167 0.362257
BirthDeathSkyContemporaryBDSParam.t:tree    -172.735 0.094212 3.215639 -172.779 -178.971 -166.652 15459.32 1164.992 NaN     
birthRateBDS.t:tree                         0.003049 2.24E-5  0.000914 0.002891 0.001481 0.00481  10798.62 1667.805 0.002925
deathRateBDS.t:tree                         0.001193 2.52E-5  0.00107  0.000895 9.11E-7  0.003364 10000    1801     0.000711
rhoBDS.t:tree                               0.856801 0.001503 0.063766 0.865548 0.730801 0.96552  10000    1801     0.854332
ORCucldMean.c:clock                         0.000101 7.74E-7  1.98E-5  9.86E-5  6.84E-5  0.000142 27482.91 655.3162 9.92E-5 
logP(mrca(chacobo))                         -5.48036 0.012207 0.494608 -5.29148 -6.4478  -5.14186 10969.98 1641.753 NaN     
mrca.age(chacobo)                           360.5894 1.204648 51.12306 351.0907 280.5876 458.1091 10000    1801     357.2844
logP(mrca(kashinawa1))                      -3.08600 0.018885 0.774049 -2.79349 -4.57143 -2.52837 10720.25 1679.996 NaN     
mrca.age(kashinawa1)                        82.33816 0.112659 4.734397 82.36653 72.65244 91.19406 10198.02 1766.027 82.20121
logP(mrca(northern))                        -5.54762 0.010918 0.463339 -5.37733 -6.46327 -5.22555 10000    1801     NaN     
mrca.age(northern)                          468.4983 1.4015   59.47713 455.3683 380.7287 582.8153 10000    1801     465.1276
logP(mrca(chama))                           -5.77191 0.01766  0.748291 -5.51149 -7.2746  -5.14186 10031.41 1795.360 NaN     
mrca.age(chama)                             320.2344 0.647775 27.49042 315.0018 275.7346 372.2755 10000    1801     319.1182
monophyletic(kakataibo.tip)                 1        0        0        1        1        1        NaN      NaN      1       
logP(mrca(kakataibo.tip))                   -9.95930 0.033613 1.163843 -9.90818 -12.2728 -7.87635 15022.67 1198.854 NaN     
mrca.age(kakataibo.tip.originate)           876.7887 4.005131 139.6000 863.6178 619.2140 1146.406 14824.36 1214.892 865.7916
