item              mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
I                 -6.11144 0.007342 0.228279 -6.11318 -6.60399 -5.69584 0        NaN      NaN     
all               -11.3660 0.009281 0.349892 -11.3870 -12.0002 -10.6273 0        NaN      NaN     
all               -9.14041 0.008612 0.219407 -9.13209 -9.56022 -8.72324 0        NaN      NaN     
all               -7.70935 0.008118 0.17328  -7.70378 -8.04843 -7.39101 0        NaN      NaN     
all               -4.31858 0.003615 0.096723 -4.31684 -4.50494 -4.13480 0        NaN      NaN     
all               -8.26767 0.007543 0.209432 -8.26828 -8.6643  -7.86643 0        NaN      NaN     
all               -5.13761 0.003546 0.13197  -5.13678 -5.39536 -4.88859 0        NaN      NaN     
all               -4.31636 0.003999 0.095166 -4.31024 -4.49150 -4.12197 0        NaN      NaN     
all               -4.20001 0.003871 0.099053 -4.19787 -4.38416 -4.00749 0        NaN      NaN     
all               -4.34239 0.004429 0.097243 -4.34036 -4.53419 -4.15735 0        NaN      NaN     
all               -4.54578 0.003859 0.098269 -4.54600 -4.74615 -4.36370 0        NaN      NaN     
all               -4.95586 0.00414  0.127593 -4.95255 -5.18951 -4.69442 0        NaN      NaN     
all               -5.20172 0.003998 0.143072 -5.19647 -5.48383 -4.92135 0        NaN      NaN     
animal            -5.05652 0.004127 0.133555 -5.05183 -5.31983 -4.79623 0        NaN      NaN     
animal            -3.95198 0.003582 0.087343 -3.95192 -4.11342 -3.78152 0        NaN      NaN     
animal            -5.18689 0.003436 0.130812 -5.18620 -5.44041 -4.93815 0        NaN      NaN     
animal            -4.68058 0.00462  0.134257 -4.67401 -4.94902 -4.43227 0        NaN      NaN     
animal            -4.80161 0.004477 0.139048 -4.79949 -5.07364 -4.53840 0        NaN      NaN     
animal            -5.46363 0.003636 0.142898 -5.46631 -5.73852 -5.18597 0        NaN      NaN     
animal            -17.3351 0.011416 0.408314 -17.3371 -18.1402 -16.5238 0        NaN      NaN     
ashes             -8.35797 0.007836 0.253121 -8.35071 -8.84804 -7.84975 0        NaN      NaN     
ashes             -4.57392 0.003693 0.106356 -4.57156 -4.79228 -4.37168 0        NaN      NaN     
back_of_body      -13.7126 0.022051 0.935796 -13.5059 -15.3975 -12.3192 0        NaN      NaN     
back_of_body      -16.2397 0.015912 0.634675 -16.1723 -17.5467 -15.1450 0        NaN      NaN     
bad               -11.9539 0.010096 0.370238 -11.9397 -12.5978 -11.2467 0        NaN      NaN     
bad               -3.95198 0.003582 0.087343 -3.95192 -4.11342 -3.78152 0        NaN      NaN     
bad               -7.95020 0.00944  0.374    -7.99575 -8.65923 -7.1465  0        NaN      NaN     
bad               -11.3439 0.01039  0.386032 -11.3426 -12.1791 -10.6162 0        NaN      NaN     
bad               -4.36476 0.003443 0.094804 -4.36304 -4.54618 -4.18582 0        NaN      NaN     
bad               -5.48441 0.00423  0.149925 -5.47945 -5.79128 -5.21764 0        NaN      NaN     
bad               -4.36411 0.003826 0.092911 -4.35842 -4.53127 -4.16936 0        NaN      NaN     
bad               -4.52882 0.003146 0.091972 -4.52694 -4.70881 -4.34941 0        NaN      NaN     
bad               -4.68058 0.00462  0.134257 -4.67401 -4.94902 -4.43227 0        NaN      NaN     
bad               -4.9141  0.004691 0.133157 -4.90779 -5.16959 -4.65388 0        NaN      NaN     
bark_of_tree      -13.7545 0.014616 0.598494 -13.8128 -14.8862 -12.6417 0        NaN      NaN     
bark_of_tree      -22.883  0.014455 0.478644 -22.9007 -23.7500 -21.9012 0        NaN      NaN     
bark_of_tree      -5.42007 0.003711 0.143858 -5.42102 -5.69910 -5.14294 0        NaN      NaN     
bark_of_tree      -5.40283 0.00438  0.153177 -5.39596 -5.70294 -5.10004 0        NaN      NaN     
bark_of_tree      -5.72681 0.004826 0.168209 -5.72794 -6.04348 -5.37647 0        NaN      NaN     
belly             -14.4400 0.01226  0.460559 -14.4385 -15.3130 -13.5028 0        NaN      NaN     
belly             -7.10512 0.009973 0.42322  -7.06232 -7.94434 -6.36096 0        NaN      NaN     
belly             -4.73136 0.004079 0.133502 -4.72874 -5.00015 -4.48199 0        NaN      NaN     
belly             -3.98960 0.003444 0.085749 -3.98966 -4.15270 -3.82768 0        NaN      NaN     
belly             -5.48495 0.004141 0.151    -5.47850 -5.80116 -5.20553 0        NaN      NaN     
belly             -5.93091 0.004793 0.178236 -5.92843 -6.26926 -5.57469 0        NaN      NaN     
belly             -19.5269 0.012248 0.519772 -19.5206 -20.5958 -18.5861 0        NaN      NaN     
belly             -9.62173 0.007931 0.217013 -9.62300 -10.0716 -9.22041 0        NaN      NaN     
big               -8.35216 0.009491 0.34061  -8.32315 -8.98827 -7.74168 0        NaN      NaN     
big               -7.86723 0.012108 0.459505 -7.79735 -8.86006 -7.13323 0        NaN      NaN     
big               -4.69642 0.004565 0.133704 -4.68968 -4.96271 -4.44790 0        NaN      NaN     
big               -8.15074 0.007519 0.17398  -8.14489 -8.48872 -7.83372 0        NaN      NaN     
big               -4.71019 0.003824 0.123847 -4.70713 -4.97050 -4.47614 0        NaN      NaN     
big               -3.96776 0.003522 0.0866   -3.96763 -4.13052 -3.80217 0        NaN      NaN     
big               -4.38324 0.003381 0.094217 -4.38226 -4.56498 -4.20739 0        NaN      NaN     
big               -4.93274 0.004645 0.13266  -4.92622 -5.19051 -4.67660 0        NaN      NaN     
big               -4.82044 0.004419 0.138487 -4.81782 -5.09193 -4.55732 0        NaN      NaN     
bird              -4.54888 0.003084 0.091446 -4.54661 -4.72719 -4.37007 0        NaN      NaN     
bird              -13.1772 0.011023 0.348912 -13.1861 -13.8342 -12.5267 0        NaN      NaN     
bird              -14.3112 0.010354 0.393188 -14.3161 -15.0448 -13.5659 0        NaN      NaN     
bird              -6.47634 0.006672 0.24123  -6.46198 -6.95129 -6.02396 0        NaN      NaN     
bird              -6.90629 0.008154 0.327647 -6.88320 -7.50845 -6.30747 0        NaN      NaN     
bird              -4.87043 0.003957 0.13115  -4.86837 -5.11490 -4.59995 0        NaN      NaN     
bird              -4.81948 0.004429 0.138575 -4.81743 -5.08433 -4.55264 0        NaN      NaN     
bird              -4.24819 0.003671 0.096567 -4.24574 -4.43037 -4.06507 0        NaN      NaN     
bird              -4.39356 0.004184 0.09471  -4.39121 -4.57982 -4.21240 0        NaN      NaN     
bird              -3.96927 0.00352  0.086705 -3.96848 -4.13454 -3.80527 0        NaN      NaN     
bird              -4.93179 0.00465  0.132709 -4.92539 -5.19134 -4.67857 0        NaN      NaN     
bite              -12.0089 0.009053 0.339903 -11.9933 -12.6950 -11.3388 0        NaN      NaN     
bite              -6.45372 0.006701 0.241067 -6.43811 -6.92344 -5.99519 0        NaN      NaN     
bite              -4.68058 0.004625 0.134254 -4.67324 -4.94209 -4.42494 0        NaN      NaN     
bite              -3.95197 0.003587 0.087353 -3.95125 -4.13272 -3.80219 0        NaN      NaN     
bite              -17.0794 0.014809 0.436826 -17.0675 -17.8844 -16.2219 0        NaN      NaN     
black             -18.6112 0.012937 0.461674 -18.6038 -19.5176 -17.7069 0        NaN      NaN     
black             -25.4070 0.019811 0.537107 -25.4024 -26.5861 -24.4659 0        NaN      NaN     
black             -4.40698 0.003317 0.094139 -4.40665 -4.59119 -4.23420 0        NaN      NaN     
black             -4.65126 0.003507 0.105155 -4.64824 -4.86653 -4.45132 0        NaN      NaN     
black             -5.39616 0.004169 0.14577  -5.39080 -5.68343 -5.12663 0        NaN      NaN     
black             -5.65908 0.00659  0.25009  -5.64853 -6.14920 -5.17776 0        NaN      NaN     
black             -7.98806 0.009388 0.373559 -8.03783 -8.69517 -7.18540 0        NaN      NaN     
blood             -6.11144 0.007342 0.228279 -6.11318 -6.60399 -5.69584 0        NaN      NaN     
blow_wind         -9.31569 0.007438 0.251118 -9.31024 -9.83454 -8.86607 0        NaN      NaN     
blow_wind         -4.50849 0.003224 0.092797 -4.50577 -4.68291 -4.32051 0        NaN      NaN     
blow_wind         -4.81579 0.004572 0.123553 -4.81534 -5.06042 -4.58661 0        NaN      NaN     
blow_wind         -3.93609 0.003648 0.088127 -3.93503 -4.11809 -3.78385 0        NaN      NaN     
blow_wind         -4.66463 0.004681 0.134829 -4.65783 -4.92951 -4.40986 0        NaN      NaN     
bone              -4.26164 0.003617 0.095941 -4.25932 -4.44418 -4.08030 0        NaN      NaN     
bone              -4.40776 0.004123 0.094105 -4.4048  -4.58631 -4.22035 0        NaN      NaN     
bone              -6.57199 0.006285 0.207509 -6.56370 -7.00631 -6.20063 0        NaN      NaN     
breathe           -15.1008 0.010514 0.348088 -15.0954 -15.7721 -14.4414 0        NaN      NaN     
breathe           -11.7605 0.010546 0.371131 -11.7658 -12.5144 -11.0931 0        NaN      NaN     
breathe           -5.38655 0.004576 0.140009 -5.38445 -5.66497 -5.12615 0        NaN      NaN     
breathe           -5.49043 0.004515 0.150375 -5.49215 -5.78793 -5.20581 0        NaN      NaN     
breathe           -4.77203 0.003702 0.121297 -4.76715 -5.03555 -4.55991 0        NaN      NaN     
breathe           -4.83195 0.003599 0.121447 -4.82718 -5.068   -4.59572 0        NaN      NaN     
breathe           -4.21376 0.003814 0.09835  -4.21167 -4.39384 -4.01900 0        NaN      NaN     
breathe           -4.33613 0.003928 0.094389 -4.33059 -4.51483 -4.14642 0        NaN      NaN     
breathe           -5.34190 0.004128 0.14247  -5.33950 -5.61858 -5.07137 0        NaN      NaN     
burn_tr_v         -5.63725 0.004491 0.179763 -5.62941 -5.98780 -5.29098 0        NaN      NaN     
burn_tr_v         -5.37208 0.00405  0.141966 -5.36910 -5.63616 -5.09057 0        NaN      NaN     
burn_tr_v         -7.13758 0.007611 0.199348 -7.13081 -7.52712 -6.75186 0        NaN      NaN     
burn_tr_v         -15.8841 0.010496 0.384191 -15.8716 -16.6504 -15.1402 0        NaN      NaN     
burn_tr_v         -9.72074 0.00785  0.221638 -9.71954 -10.1732 -9.31150 0        NaN      NaN     
burn_tr_v         -4.36456 0.003825 0.093018 -4.35922 -4.53275 -4.16981 0        NaN      NaN     
burn_tr_v         -4.23485 0.003726 0.097247 -4.23196 -4.41972 -4.04929 0        NaN      NaN     
burn_tr_v         -4.37908 0.00426  0.095474 -4.37600 -4.56220 -4.19117 0        NaN      NaN     
burn_tr_v         -4.36456 0.003825 0.093018 -4.35922 -4.53275 -4.16981 0        NaN      NaN     
child             -4.59440 0.003671 0.107084 -4.59267 -4.81711 -4.39376 0        NaN      NaN     
child             -10.2501 0.008594 0.303761 -10.2441 -10.8278 -9.66552 0        NaN      NaN     
child             -4.32972 0.003559 0.095443 -4.32864 -4.51467 -4.14743 0        NaN      NaN     
