item                                        mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                   -6796.29 1.215876 29.93273 -6795.87 -6852.30 -6736.98 59416.70 606.0585 NaN     
likelihood                                  -6262.95 0.311081 11.25    -6262.66 -6285.07 -6241.34 27533.66 1307.853 NaN     
prior                                       -533.341 1.149922 28.24225 -532.946 -590.664 -480.184 59698.17 603.2010 NaN     
treeLikelihood.I                            -1.02156 0.016939 0.841522 -0.81020 -2.60257 -0.00669 14590.58 2468.029 NaN     
treeLikelihood.all                          -57.3972 0.013541 0.794151 -57.2933 -58.8931 -56.0287 10469.38 3439.551 NaN     
treeLikelihood.animal                       -36.9725 0.014669 0.797479 -36.9228 -38.4908 -35.4259 12183.89 2955.541 NaN     
treeLikelihood.ashes                        -9.61946 0.010367 0.575611 -9.51334 -10.8057 -8.74312 11681.86 3082.555 NaN     
treeLikelihood.back_of                      -27.2735 0.020278 1.197166 -27.2216 -29.5638 -25.0378 10331.26 3485.534 NaN     
treeLikelihood.bad                          -51.6243 0.017484 1.011726 -51.5869 -53.6061 -49.4941 10754.09 3348.492 NaN     
treeLikelihood.bark_of                      -48.2900 0.022682 1.09082  -48.2044 -50.5345 -46.3097 15570.23 2312.746 NaN     
treeLikelihood.belly                        -64.3105 0.021291 1.203547 -64.2260 -66.8183 -62.2128 11268.94 3195.509 NaN     
treeLikelihood.big                          -40.1877 0.020233 0.955767 -40.0647 -42.0867 -38.5765 16138.04 2231.372 NaN     
treeLikelihood.bird                         -59.1727 0.016362 0.981848 -59.0980 -61.1524 -57.3977 10000    3601     NaN     
treeLikelihood.bite                         -38.0959 0.016872 0.872986 -38.0328 -39.8224 -36.4515 13451.25 2677.074 NaN     
treeLikelihood.black                        -64.4943 0.022908 1.106942 -64.4593 -66.5806 -62.2711 15422.40 2334.914 NaN     
treeLikelihood.blood                        -1.01697 0.017975 0.846913 -0.80460 -2.66083 -0.00633 16221.27 2219.924 NaN     
treeLikelihood.blow                         -20.3925 0.010945 0.584368 -20.3112 -21.5073 -19.3697 12633.01 2850.467 NaN     
treeLikelihood.bone                         -11.9357 0.0103   0.588591 -11.8287 -13.0883 -10.9597 11028.08 3265.300 NaN     
treeLikelihood.breathe                      -49.6510 0.019607 0.895871 -49.5648 -51.3938 -48.0566 17248.68 2087.695 NaN     
treeLikelihood.burn_tr                      -50.5314 0.016023 0.888747 -50.4824 -52.2034 -48.8305 11703.88 3076.756 NaN     
treeLikelihood.child                        -19.0822 0.011408 0.623109 -18.9973 -20.2602 -18.0267 12071.10 2983.156 NaN     
treeLikelihood.cloud                        -35.4111 0.02533  1.343126 -35.2430 -38.2396 -33.0152 12806.92 2811.759 NaN     
treeLikelihood.cold                         -28.1436 0.016807 0.897225 -28.0637 -29.9451 -26.5882 12635.93 2849.808 NaN     
treeLikelihood.come                         -11.7282 0.010236 0.59276  -11.6252 -12.8757 -10.7385 10737.98 3353.515 NaN     
treeLikelihood.count                        -35.8198 0.013474 0.785661 -35.7204 -37.3859 -34.4341 10591.58 3399.870 NaN     
treeLikelihood.cut                          -45.6904 0.014922 0.886347 -45.6489 -47.4091 -43.9977 10206.17 3528.257 NaN     
treeLikelihood.day                          -66.8448 0.019809 1.051421 -66.8286 -69.0817 -64.7929 12781.63 2817.323 NaN     
treeLikelihood.die                          -50.8571 0.01502  0.75333  -50.7980 -52.4417 -49.5309 14315.12 2515.521 NaN     
treeLikelihood.dig                          -71.5297 0.022253 1.254936 -71.4117 -74.0567 -69.0762 11322.46 3180.403 NaN     
treeLikelihood.dirty                        -63.2774 0.019077 0.981079 -63.1494 -65.2050 -61.5490 13615.84 2644.713 NaN     
treeLikelihood.dog                          -60.3596 0.016748 0.870142 -60.2803 -62.1306 -58.6561 13341.10 2699.176 NaN     
treeLikelihood.drink                        -42.3643 0.020598 1.123675 -42.2628 -44.6565 -40.2529 12100.31 2975.956 NaN     
treeLikelihood.dry                          -62.8822 0.015522 0.89519  -62.7483 -64.6241 -61.3828 10826.57 3326.075 NaN     
treeLikelihood.dull                         -18.4126 0.012224 0.667696 -18.3307 -19.6466 -17.2041 12070.46 2983.315 NaN     
treeLikelihood.dust                         -41.9477 0.016164 0.951997 -41.8272 -43.8776 -40.2463 10381.25 3468.751 NaN     
treeLikelihood.ear                          -21.7202 0.029508 1.610377 -22.1356 -24.1944 -18.5832 12090.24 2978.435 NaN     
treeLikelihood.earth                        -15.4167 0.0118   0.649278 -15.2994 -16.7411 -14.4295 11893.85 3027.613 NaN     
treeLikelihood.eat                          -1.03159 0.017479 0.858108 -0.81685 -2.72910 -0.00699 14941.12 2410.126 NaN     
treeLikelihood.egg                          -21.4127 0.01396  0.776441 -21.3429 -22.9035 -20.0104 11640.94 3093.390 NaN     
treeLikelihood.eye                          -9.01656 0.009466 0.549407 -8.91335 -10.0982 -8.16331 10689.39 3368.760 NaN     
treeLikelihood.fall                         -26.8851 0.013116 0.723451 -26.8036 -28.2139 -25.5440 11836.01 3042.409 NaN     
treeLikelihood.far                          -53.2245 0.015363 0.816653 -53.1198 -54.8701 -51.8201 12743.21 2825.816 NaN     
treeLikelihood.fat                          -8.31786 0.010065 0.558615 -8.20469 -9.41316 -7.45273 11691.38 3080.046 NaN     
treeLikelihood.father                       -31.9811 0.017775 0.929839 -31.9090 -33.9098 -30.3111 13159.15 2736.496 NaN     
treeLikelihood.fear                         -40.6181 0.026044 1.182962 -40.5670 -43.0620 -38.2623 17453.61 2063.183 NaN     
treeLikelihood.feather                      -46.3646 0.027307 1.537048 -46.3410 -49.2583 -43.2102 11366.01 3168.217 NaN     
treeLikelihood.few                          -53.1408 0.01482  0.78557  -53.0905 -54.6365 -51.6735 12815.43 2809.892 NaN     
treeLikelihood.fight                        -42.2621 0.012939 0.768565 -42.1189 -43.8083 -41.0056 10205.88 3528.357 NaN     
treeLikelihood.fire                         -26.8494 0.01325  0.770955 -26.7794 -28.3745 -25.5032 10635.80 3385.732 NaN     
treeLikelihood.fish                         -73.6704 0.01677  1.006363 -73.6048 -75.7721 -71.8894 10000    3601     NaN     
treeLikelihood.float                        -25.2460 0.012907 0.710044 -25.1758 -26.5057 -23.9762 11899.32 3026.221 NaN     
treeLikelihood.flow                         -50.4148 0.018187 1.020386 -50.2800 -52.4911 -48.5751 11439.97 3147.733 NaN     
treeLikelihood.flower                       -41.8094 0.017338 0.962971 -41.7293 -43.7213 -40.1058 11673.39 3084.793 NaN     
treeLikelihood.fly                          -32.8204 0.017196 0.949283 -32.7295 -34.6578 -31.1274 11816.94 3047.318 NaN     
treeLikelihood.fog                          -66.5303 0.018905 1.020652 -66.5425 -68.4874 -64.2034 12354.57 2914.708 NaN     
treeLikelihood.foot                         -13.2769 0.013474 0.661573 -13.2063 -14.5967 -12.1425 14937.00 2410.791 NaN     
treeLikelihood.fruit                        -18.1661 0.010945 0.656133 -18.0994 -19.4365 -17.0425 10019.68 3593.923 NaN     
treeLikelihood.give                         -30.1940 0.015739 0.803725 -30.0996 -31.7202 -28.7201 13808.83 2607.750 NaN     
treeLikelihood.good                         -44.3705 0.016781 0.946711 -44.2746 -46.1793 -42.5596 11313.70 3182.866 NaN     
treeLikelihood.grass                        -24.2430 0.016022 0.76287  -24.1872 -25.5871 -22.7139 15883.20 2267.174 NaN     
treeLikelihood.green                        -63.1760 0.01672  0.901304 -63.1261 -64.8219 -61.3456 12392.41 2905.808 NaN     
treeLikelihood.guts                         -9.11103 0.011362 0.588669 -9.01848 -10.1265 -8.05027 13414.31 2684.445 NaN     
treeLikelihood.hair                         -15.5446 0.011688 0.64697  -15.4438 -16.7838 -14.4214 11751.94 3064.172 NaN     
treeLikelihood.hand                         -0.98704 0.017197 0.839809 -0.76710 -2.64197 -0.00539 15100.28 2384.723 NaN     
treeLikelihood.he                           -35.9659 0.027473 1.512345 -36.0811 -38.6709 -33.1811 11882.83 3030.421 NaN     
treeLikelihood.head                         -33.7370 0.018863 1.059424 -33.6136 -35.7435 -31.6986 11415.34 3154.525 NaN     
treeLikelihood.hear                         -23.4680 0.01765  0.972031 -23.3887 -25.4106 -21.7445 11873.29 3032.856 NaN     
treeLikelihood.heart                        -13.8419 0.011753 0.635137 -13.7717 -14.9693 -12.6435 12330.06 2920.502 NaN     
treeLikelihood.heavy                        -29.5795 0.017971 0.99387  -29.5291 -31.6154 -27.4621 11774.17 3058.389 NaN     
treeLikelihood.here                         -0.93512 0.01955  0.861783 -0.69359 -2.58731 -0.00386 18532.47 1943.075 NaN     
treeLikelihood.hit                          -54.3387 0.018917 1.072934 -54.2699 -56.4234 -52.1811 11194.41 3216.783 NaN     
treeLikelihood.hold_in                      -46.7545 0.019854 0.976994 -46.7304 -48.4061 -44.7001 14870.36 2421.594 NaN     
treeLikelihood.how                          -36.6609 0.012747 0.764929 -36.5389 -38.1388 -35.4112 10000    3601     NaN     
treeLikelihood.hunt                         -66.9312 0.019415 1.054777 -66.8226 -69.0084 -65.0648 12200.11 2951.611 NaN     
treeLikelihood.husband                      -1.01611 0.017642 0.873926 -0.77851 -2.69797 -0.00620 14674.02 2453.995 NaN     
treeLikelihood.kill                         -42.3912 0.017582 1.018252 -42.3013 -44.4136 -40.4930 10735.80 3354.195 NaN     
treeLikelihood.know                         -33.9787 0.016555 0.898999 -33.8829 -35.6430 -32.3777 12211.05 2948.967 NaN     
treeLikelihood.lake                         -16.7555 0.012325 0.69079  -16.6788 -17.9709 -15.5074 11462.78 3141.471 NaN     
treeLikelihood.laugh                        -59.1916 0.021988 1.053543 -59.1367 -61.2246 -57.0698 15684.61 2295.879 NaN     
treeLikelihood.leaf                         -41.2091 0.015035 0.832319 -41.1536 -42.7940 -39.6355 11749.99 3064.682 NaN     
treeLikelihood.leg                          -46.6006 0.018988 1.083917 -46.5141 -48.7736 -44.6040 11050.58 3258.651 NaN     
treeLikelihood.lie_be_lying                 -15.2016 0.01181  0.670155 -15.0972 -16.4503 -14.0901 11183.69 3219.865 NaN     
treeLikelihood.live                         -53.8611 0.016856 0.866344 -53.7726 -55.5519 -52.3360 13631.63 2641.649 NaN     
treeLikelihood.liver                        -16.0247 0.010662 0.604232 -15.9562 -17.0679 -14.9383 11212.92 3211.472 NaN     
treeLikelihood.long                         -50.2013 0.015336 0.840426 -50.1560 -51.6380 -48.5057 11990.58 3003.190 NaN     
