item                                     mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                -6729.01 0.134303 4.761139 -6728.67 -6738.45 -6720.02 14330.47 1256.762 NaN     
likelihood                               -6529.67 0.118938 4.520706 -6529.42 -6538.11 -6521.16 12466.49 1444.672 NaN     
prior                                    -199.339 0.089048 3.582814 -198.957 -206.382 -192.924 11125.37 1618.822 NaN     
treeLikelihood.pano-full                 -6529.67 0.118938 4.520706 -6529.42 -6538.11 -6521.16 12466.49 1444.672 NaN     
Tree.t:tree.height                       1619.339 4.743405 177.2650 1607.092 1300.293 1962.074 12895.78 1396.580 1609.799
Tree.t:tree.treeLength                   13628.39 30.45204 1099.610 13572.55 11412.33 15647.49 13812.39 1303.900 13584.67
mutationRate.s:pano-full                 1        0        0        1        1        1        NaN      NaN      1       
bcov_alpha.s:pano-full                   0.009515 0.000309 0.008242 0.007178 0.000108 0.025487 25372.40 709.8263 0.005964
bcov_s.s:pano-full                       0.290687 0.000896 0.031133 0.289771 0.230202 0.352662 14909.26 1207.973 0.289003
frequencies.s:pano-full.1                0.948352 0.000225 0.005074 0.948505 0.9388   0.958389 35555.28 506.5351 0.948339
frequencies.s:pano-full.2                0.051648 0.000225 0.005074 0.051495 0.041611 0.0612   35555.28 506.5351 0.051397
clockRate.c:clock                        7.55E-5  3.49E-7  9.43E-6  7.5E-5   5.84E-5  9.47E-5  24732.09 728.2036 7.49E-5 
BirthDeathSkyContemporaryBDSParam.t:tree -177.243 0.068148 2.206713 -177.188 -181.900 -173.275 17176.09 1048.550 NaN     
birthRateBDS.t:tree                      0.002576 1.8E-5   0.000765 0.002422 0.00138  0.004144 10000    1801     0.002474
deathRateBDS.t:tree                      0.001094 2.22E-5  0.000943 0.000834 7.56E-7  0.003003 10000    1801     0.000688
rhoBDS.t:tree                            0.85648  0.001788 0.066423 0.866709 0.729314 0.971215 13044.79 1380.627 0.85377 
logP(mrca(chacobo))                      -5.41232 0.010338 0.438726 -5.25481 -6.20325 -5.14186 10000    1801     NaN     
mrca.age(chacobo)                        353.6340 1.006121 39.57506 348.8174 285.9909 431.7572 11640.48 1547.186 351.5132
logP(mrca(kashinawa1))                   -4.27217 0.041792 1.677983 -3.80062 -7.49481 -2.52843 11171.60 1612.122 NaN     
mrca.age(kashinawa1)                     88.04921 0.119347 4.732875 87.97573 78.66177 97.11142 11452.05 1572.643 87.92188
logP(mrca(northern))                     -5.56428 0.009159 0.373145 -5.4375  -6.34354 -5.22555 10851.05 1659.747 NaN     
mrca.age(northern)                       493.4791 1.378225 56.37763 486.5840 399.0748 603.7888 10763.16 1673.299 490.3779
logP(mrca(chama))                        -7.14487 0.033355 1.319156 -6.89444 -9.66181 -5.19615 11514.38 1564.129 NaN     
mrca.age(chama)                          290.8718 0.298819 12.68132 288.8898 269.5595 317.3821 10000    1801     290.6012
monophyletic(kakataibo.tip)              1        0        0        1        1        1        NaN      NaN      1       
logP(mrca(kakataibo.tip))                -9.96847 0.023303 0.781762 -9.96702 -11.3653 -8.29680 16002.82 1125.426 NaN     
mrca.age(kakataibo.tip.originate)        873.9642 2.776459 93.04998 870.5605 686.7696 1046.842 16034.80 1123.181 869.0311
