item                                     mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                -6825.36 1.147373 29.28913 -6824.44 -6886.15 -6772.03 55261.06 651.6342 NaN     
likelihood                               -6303.88 0.392411 10.87290 -6303.82 -6325.90 -6283.00 46904.53 767.7296 NaN     
prior                                    -521.478 1.067824 27.82929 -520.755 -574.803 -466.428 53017.29 679.2123 NaN     
treeLikelihood.I                         -1.01122 0.016927 0.849792 -0.79004 -2.63296 -0.00811 14287.56 2520.373 NaN     
treeLikelihood.all                       -57.7899 0.01277  0.723162 -57.6764 -59.2373 -56.5239 11228.17 3207.111 NaN     
treeLikelihood.animal                    -37.8752 0.012073 0.670416 -37.8152 -39.1074 -36.6796 11678.53 3083.434 NaN     
treeLikelihood.ashes                     -9.56848 0.00969  0.539485 -9.45642 -10.6062 -8.85429 11616.41 3099.924 NaN     
treeLikelihood.back_of                   -27.0865 0.019795 1.183635 -27.0124 -29.2708 -24.8989 10071.89 3575.296 NaN     
treeLikelihood.bad                       -51.3884 0.01423  0.853928 -51.2819 -53.0058 -49.8576 10000    3601     NaN     
treeLikelihood.bark_of                   -48.0868 0.019875 1.000761 -47.9606 -50.1872 -46.4352 14202.36 2535.492 NaN     
treeLikelihood.belly                     -65.3053 0.019824 1.033963 -65.2286 -67.2448 -63.3573 13236.70 2720.465 NaN     
treeLikelihood.big                       -40.1665 0.018963 0.966257 -40.0203 -42.2715 -38.6544 13868.49 2596.532 NaN     
treeLikelihood.bird                      -59.6129 0.015367 0.866771 -59.5405 -61.3894 -58.0887 11318.00 3181.656 NaN     
treeLikelihood.bite                      -38.0379 0.014953 0.819361 -37.9634 -39.6981 -36.5712 11992.83 3002.625 NaN     
treeLikelihood.black                     -63.6070 0.016926 0.898564 -63.5491 -65.3532 -61.9239 12776.47 2818.460 NaN     
treeLikelihood.blood                     -1.00006 0.016445 0.841991 -0.77674 -2.64998 -0.01127 13736.30 2621.519 NaN     
treeLikelihood.blow                      -20.2932 0.009451 0.55112  -20.1973 -21.2797 -19.4006 10590.35 3400.264 NaN     
treeLikelihood.bone                      -12.0067 0.010509 0.618831 -11.8934 -13.2828 -11.0350 10384.34 3467.719 NaN     
treeLikelihood.breathe                   -50.5335 0.015564 0.809826 -50.4303 -51.9824 -49.0454 13301.00 2707.313 NaN     
treeLikelihood.burn_tr                   -49.3457 0.01348  0.78109  -49.2515 -50.8229 -48.0110 10724.45 3357.746 NaN     
treeLikelihood.child                     -18.7975 0.009227 0.500055 -18.7123 -19.7222 -17.9838 12261.70 2936.785 NaN     
treeLikelihood.cloud                     -34.7290 0.018427 1.074493 -34.6666 -36.8179 -32.6608 10590.19 3400.315 NaN     
