item              mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
I                 -5.45449 0.006527 0.240075 -5.43986 -5.95939 -5.02792 0        NaN      NaN     
all               -11.6598 0.008407 0.29022  -11.6703 -12.2418 -11.0942 0        NaN      NaN     
all               -9.39427 0.008878 0.224844 -9.38805 -9.84367 -8.97279 0        NaN      NaN     
all               -7.88308 0.008605 0.189174 -7.87834 -8.23403 -7.50628 0        NaN      NaN     
all               -4.43917 0.003759 0.103878 -4.43285 -4.64744 -4.25348 0        NaN      NaN     
all               -8.62502 0.006974 0.190585 -8.62107 -8.97238 -8.24541 0        NaN      NaN     
all               -5.28980 0.003582 0.133384 -5.28483 -5.56744 -5.04793 0        NaN      NaN     
all               -4.38344 0.00377  0.096766 -4.37798 -4.58207 -4.20856 0        NaN      NaN     
all               -4.43190 0.004056 0.109006 -4.42878 -4.63100 -4.21323 0        NaN      NaN     
all               -4.54716 0.003789 0.108668 -4.54361 -4.74464 -4.33143 0        NaN      NaN     
all               -4.63531 0.00377  0.107283 -4.63142 -4.84584 -4.42856 0        NaN      NaN     
all               -5.08174 0.00408  0.136071 -5.07800 -5.34986 -4.82127 0        NaN      NaN     
all               -5.32743 0.004182 0.149779 -5.32015 -5.62716 -5.03191 0        NaN      NaN     
animal            -5.17145 0.00409  0.141567 -5.16640 -5.44113 -4.89610 0        NaN      NaN     
animal            -4.09175 0.004106 0.097095 -4.08931 -4.28110 -3.90590 0        NaN      NaN     
animal            -5.33681 0.003464 0.132074 -5.3336  -5.62221 -5.10442 0        NaN      NaN     
animal            -4.77853 0.004959 0.136939 -4.77176 -5.03167 -4.50133 0        NaN      NaN     
animal            -4.92971 0.004279 0.143844 -4.92958 -5.19181 -4.63811 0        NaN      NaN     
animal            -5.62668 0.003822 0.150004 -5.62496 -5.92859 -5.35672 0        NaN      NaN     
animal            -16.8739 0.009603 0.368324 -16.8790 -17.5931 -16.1860 0        NaN      NaN     
ashes             -8.22816 0.005753 0.168964 -8.22753 -8.53646 -7.86861 0        NaN      NaN     
ashes             -4.68501 0.003838 0.109128 -4.68229 -4.89186 -4.46754 0        NaN      NaN     
back_of_body      -13.9973 0.030212 1.282145 -13.4597 -16.1367 -12.2380 0        NaN      NaN     
back_of_body      -17.8902 0.017002 0.659629 -17.8128 -19.1719 -16.6320 0        NaN      NaN     
bad               -12.3159 0.009732 0.33846  -12.3076 -12.9537 -11.6427 0        NaN      NaN     
bad               -4.09175 0.004106 0.097095 -4.08931 -4.28110 -3.90590 0        NaN      NaN     
bad               -8.19431 0.011605 0.481518 -8.28750 -8.89858 -6.89091 0        NaN      NaN     
bad               -11.5865 0.012172 0.432549 -11.6134 -12.4403 -10.6949 0        NaN      NaN     
bad               -4.48450 0.003612 0.101923 -4.47886 -4.67943 -4.2905  0        NaN      NaN     
bad               -5.49538 0.004823 0.149145 -5.49399 -5.80551 -5.23044 0        NaN      NaN     
bad               -4.42778 0.003615 0.094415 -4.42367 -4.61774 -4.25348 0        NaN      NaN     
bad               -4.60625 0.003878 0.101675 -4.60305 -4.79561 -4.40376 0        NaN      NaN     
bad               -4.77853 0.004959 0.136939 -4.77176 -5.03167 -4.50133 0        NaN      NaN     
bad               -5.05825 0.00402  0.138312 -5.05371 -5.32071 -4.78372 0        NaN      NaN     
bark_of_tree      -15.4191 0.023949 0.930649 -15.6941 -16.7699 -13.6703 0        NaN      NaN     
bark_of_tree      -23.8409 0.016226 0.53105  -23.8423 -24.8790 -22.7899 0        NaN      NaN     
bark_of_tree      -5.58372 0.003922 0.151253 -5.58218 -5.86746 -5.28943 0        NaN      NaN     
bark_of_tree      -5.57981 0.004997 0.156717 -5.57641 -5.88232 -5.27080 0        NaN      NaN     
bark_of_tree      -5.91852 0.005035 0.175503 -5.91345 -6.23905 -5.56300 0        NaN      NaN     
belly             -15.4788 0.017319 0.583989 -15.5365 -16.5590 -14.2971 0        NaN      NaN     
belly             -6.88682 0.009835 0.386219 -6.84704 -7.64474 -6.18158 0        NaN      NaN     
belly             -4.906   0.00435  0.139323 -4.90411 -5.18199 -4.63764 0        NaN      NaN     
belly             -4.12812 0.003988 0.095499 -4.12612 -4.31230 -3.93965 0        NaN      NaN     
belly             -5.66380 0.004754 0.154464 -5.66268 -5.95814 -5.35395 0        NaN      NaN     
belly             -6.10410 0.005536 0.184183 -6.09572 -6.46346 -5.74386 0        NaN      NaN     
belly             -19.6204 0.013429 0.493815 -19.6040 -20.6143 -18.6921 0        NaN      NaN     
belly             -9.92989 0.007401 0.227444 -9.9286  -10.3487 -9.47016 0        NaN      NaN     
big               -7.82990 0.007748 0.288767 -7.81360 -8.41558 -7.29328 0        NaN      NaN     
big               -7.48425 0.01008  0.399042 -7.43383 -8.25217 -6.79921 0        NaN      NaN     
big               -4.79009 0.004919 0.136282 -4.78342 -5.06184 -4.53279 0        NaN      NaN     
big               -8.3113  0.007951 0.182039 -8.30805 -8.65036 -7.94135 0        NaN      NaN     
big               -4.83810 0.004068 0.130104 -4.83378 -5.09966 -4.59303 0        NaN      NaN     
big               -4.10736 0.004053 0.096235 -4.10580 -4.29598 -3.92100 0        NaN      NaN     
big               -4.50255 0.00356  0.101297 -4.49743 -4.69659 -4.31152 0        NaN      NaN     
big               -5.07707 0.003979 0.137853 -5.07244 -5.34501 -4.80922 0        NaN      NaN     
big               -4.94815 0.00423  0.143355 -4.94903 -5.21177 -4.65935 0        NaN      NaN     
bird              -4.62428 0.003834 0.101079 -4.61998 -4.81551 -4.42376 0        NaN      NaN     
bird              -13.6619 0.009281 0.329542 -13.6591 -14.2518 -12.9810 0        NaN      NaN     
bird              -14.6968 0.010822 0.40559  -14.6948 -15.4985 -13.9399 0        NaN      NaN     
bird              -6.41979 0.006773 0.244973 -6.40045 -6.90290 -5.98813 0        NaN      NaN     
bird              -7.06755 0.012177 0.484977 -7.01308 -7.70519 -6.36774 0        NaN      NaN     
bird              -5.01566 0.003956 0.134316 -5.01311 -5.29170 -4.77475 0        NaN      NaN     
bird              -4.94762 0.00424  0.143501 -4.94780 -5.21299 -4.65946 0        NaN      NaN     
bird              -4.49265 0.003845 0.106067 -4.49065 -4.68876 -4.28503 0        NaN      NaN     
bird              -4.61199 0.003574 0.105584 -4.60807 -4.80439 -4.40396 0        NaN      NaN     
bird              -4.10809 0.004059 0.096574 -4.10619 -4.29764 -3.92205 0        NaN      NaN     
bird              -5.07654 0.003986 0.138027 -5.07232 -5.33897 -4.80448 0        NaN      NaN     
bite              -12.3269 0.009656 0.35323  -12.3282 -13.0047 -11.6369 0        NaN      NaN     
bite              -6.40278 0.006781 0.244561 -6.38416 -6.88717 -5.97124 0        NaN      NaN     
bite              -4.77847 0.004962 0.136934 -4.77176 -5.05134 -4.52020 0        NaN      NaN     
bite              -4.09187 0.004106 0.097074 -4.09050 -4.28276 -3.90703 0        NaN      NaN     
bite              -17.4304 0.013621 0.442184 -17.4263 -18.2773 -16.5609 0        NaN      NaN     
black             -18.4246 0.013947 0.468318 -18.4143 -19.3040 -17.4885 0        NaN      NaN     
black             -25.7982 0.019321 0.551955 -25.7958 -26.8687 -24.6991 0        NaN      NaN     
