item                                     mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                -6732.89 0.118831 4.909212 -6732.68 -6742.38 -6723.27 10552.32 1706.732 NaN     
likelihood                               -6548.68 0.110905 4.267658 -6548.45 -6557.27 -6540.88 12162.93 1480.728 NaN     
prior                                    -184.213 0.068541 2.901843 -183.985 -189.995 -179.140 10047.72 1792.446 NaN     
treeLikelihood.pano-full                 -6548.68 0.110905 4.267658 -6548.45 -6557.27 -6540.88 12162.93 1480.728 NaN     
Tree.t:tree.height                       1353.930 4.174344 174.8790 1338.034 1050.729 1714.658 10261.58 1755.089 1342.941
Tree.t:tree.treeLength                   11800.49 28.26931 1169.525 11736.28 9576.233 14086.13 10522.63 1711.548 11743.80
mutationRate.s:pano-full                 1        0        0        1        1        1        NaN      NaN      1       
gammaShape.s:pano-full                   0.879097 0.00233  0.094077 0.875329 0.68924  1.050774 11043.56 1630.814 0.87408 
frequencies.s:pano-full.1                0.954465 0.000202 0.004648 0.954369 0.945981 0.963675 34088.74 528.3268 0.954454
frequencies.s:pano-full.2                0.045535 0.000202 0.004648 0.045631 0.036325 0.054019 34088.74 528.3268 0.045295
clockRate.c:clock                        6.96E-5  3.29E-7  9.83E-6  6.92E-5  5.01E-5  8.82E-5  20190.19 892.0169 6.89E-5 
BirthDeathSkyContemporaryBDSParam.t:tree -173.762 0.062515 2.641106 -173.675 -179.043 -168.640 10090.55 1784.836 NaN     
birthRateBDS.t:tree                      0.002986 2.02E-5  0.000856 0.002844 0.001626 0.004814 10000    1801     0.002874
deathRateBDS.t:tree                      0.001215 2.51E-5  0.001064 0.000951 2.65E-7  0.003239 10000    1801     0.000741
rhoBDS.t:tree                            0.855701 0.001509 0.06406  0.864053 0.73019  0.964119 10000    1801     0.853205
logP(mrca(chacobo))                      -5.97597 0.006729 0.283288 -5.86248 -6.50772 -5.78749 10161.67 1772.346 NaN     
mrca.age(chacobo)                        289.9203 1.083051 45.96273 284.5639 211.9543 375.3715 10000    1801     286.4576
logP(mrca(kashinawa1))                   -4.00855 0.03607  1.484408 -3.58265 -6.89584 -2.52837 10633.92 1693.636 NaN     
mrca.age(kashinawa1)                     87.19600 0.11421  4.714508 87.25299 78.06792 95.86831 10569.34 1703.984 87.06810
logP(mrca(northern))                     -6.97644 0.006543 0.27092  -6.92546 -7.49614 -6.60517 10505.69 1714.308 NaN     
mrca.age(northern)                       419.9690 1.431577 59.79056 414.1569 314.1556 542.2175 10324.71 1744.358 415.8058
logP(mrca(chama))                        -7.15746 0.016878 0.716293 -7.04598 -8.45433 -5.91772 10000    1801     NaN     
mrca.age(chama)                          216.9260 0.284274 12.06406 214.1051 200.5011 241.0988 10000    1801     216.6062
