item              mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
I                 -5.46992 0.006034 0.230768 -5.46433 -5.92473 -5.02164 0        NaN      NaN     
all               -11.6013 0.007399 0.287409 -11.6201 -12.1282 -11.0420 0        NaN      NaN     
all               -9.46114 0.007511 0.208363 -9.45549 -9.84178 -9.06086 0        NaN      NaN     
all               -7.97984 0.00695  0.174501 -7.97831 -8.32155 -7.64822 0        NaN      NaN     
all               -4.39616 0.002871 0.083155 -4.39458 -4.56001 -4.23477 0        NaN      NaN     
all               -8.83487 0.006111 0.179214 -8.82681 -9.18310 -8.49712 0        NaN      NaN     
all               -5.29662 0.00312  0.093957 -5.29469 -5.46980 -5.10574 0        NaN      NaN     
all               -4.41377 0.003003 0.081994 -4.41240 -4.57575 -4.25761 0        NaN      NaN     
all               -4.53490 0.003332 0.097469 -4.53495 -4.73799 -4.35642 0        NaN      NaN     
all               -4.53490 0.003332 0.097469 -4.53495 -4.73799 -4.35642 0        NaN      NaN     
all               -4.61345 0.002973 0.082785 -4.61176 -4.77398 -4.45814 0        NaN      NaN     
all               -5.23879 0.003169 0.107716 -5.23732 -5.45088 -5.03570 0        NaN      NaN     
all               -5.23879 0.003169 0.107716 -5.23732 -5.45088 -5.03570 0        NaN      NaN     
animal            -5.33466 0.00318  0.113196 -5.33263 -5.55168 -5.11471 0        NaN      NaN     
animal            -4.18044 0.003237 0.092692 -4.17894 -4.37132 -4.00575 0        NaN      NaN     
animal            -5.34228 0.00297  0.091134 -5.34123 -5.50698 -5.15426 0        NaN      NaN     
animal            -4.79703 0.00529  0.139417 -4.79296 -5.05300 -4.52457 0        NaN      NaN     
animal            -4.87658 0.003387 0.111203 -4.87137 -5.10150 -4.67169 0        NaN      NaN     
animal            -5.62915 0.003419 0.113492 -5.62709 -5.85412 -5.41882 0        NaN      NaN     
animal            -16.9601 0.008342 0.289377 -16.9710 -17.5656 -16.4320 0        NaN      NaN     
ashes             -8.19767 0.004954 0.124552 -8.19722 -8.41953 -7.93692 0        NaN      NaN     
ashes             -4.67383 0.002921 0.08036  -4.67036 -4.82631 -4.51749 0        NaN      NaN     
back_of_body      -13.1928 0.048144 0.95144  -12.8711 -15.5947 -12.1786 0        NaN      NaN     
back_of_body      -17.6772 0.025253 0.606459 -17.5677 -19.0836 -16.7001 0        NaN      NaN     
bad               -12.2898 0.00666  0.260736 -12.2945 -12.8110 -11.7903 0        NaN      NaN     
bad               -4.18044 0.003237 0.092692 -4.17894 -4.37132 -4.00575 0        NaN      NaN     
bad               -8.19233 0.005712 0.220186 -8.18248 -8.62895 -7.79899 0        NaN      NaN     
bad               -11.8144 0.00789  0.298044 -11.8020 -12.3853 -11.2373 0        NaN      NaN     
bad               -4.43980 0.002727 0.080459 -4.43895 -4.60027 -4.28376 0        NaN      NaN     
bad               -5.55868 0.003688 0.126914 -5.55316 -5.79682 -5.31154 0        NaN      NaN     
bad               -4.45767 0.002855 0.078959 -4.45585 -4.62188 -4.31561 0        NaN      NaN     
bad               -4.65415 0.002752 0.078375 -4.65269 -4.80137 -4.49761 0        NaN      NaN     
bad               -4.79703 0.00529  0.139417 -4.79296 -5.05300 -4.52457 0        NaN      NaN     
bad               -4.97617 0.003308 0.106694 -4.97347 -5.19618 -4.78186 0        NaN      NaN     
bark_of_tree      -15.9289 0.013935 0.477229 -15.9833 -16.8154 -14.9003 0        NaN      NaN     
bark_of_tree      -23.5777 0.011904 0.44088  -23.5901 -24.4298 -22.7547 0        NaN      NaN     
bark_of_tree      -5.58765 0.003548 0.115612 -5.58647 -5.82027 -5.37543 0        NaN      NaN     
bark_of_tree      -5.64913 0.004224 0.144903 -5.64648 -5.92652 -5.38917 0        NaN      NaN     
bark_of_tree      -5.99089 0.003675 0.137942 -5.99119 -6.25803 -5.71694 0        NaN      NaN     
belly             -16.2463 0.011977 0.435155 -16.2771 -17.0994 -15.3919 0        NaN      NaN     
belly             -6.90398 0.008608 0.365324 -6.86812 -7.60384 -6.2142  0        NaN      NaN     
belly             -4.98434 0.003018 0.096802 -4.98440 -5.16027 -4.78693 0        NaN      NaN     
belly             -4.21685 0.003126 0.0908   -4.21546 -4.40257 -4.04716 0        NaN      NaN     
belly             -5.73056 0.00402  0.142071 -5.72736 -6.00270 -5.47467 0        NaN      NaN     
belly             -6.07590 0.003515 0.133588 -6.07441 -6.33701 -5.81777 0        NaN      NaN     
belly             -19.5976 0.008907 0.363158 -19.5994 -20.2652 -18.8564 0        NaN      NaN     
belly             -10.0848 0.006801 0.201753 -10.0789 -10.4623 -9.69492 0        NaN      NaN     
big               -7.83204 0.007123 0.266395 -7.81399 -8.34556 -7.31307 0        NaN      NaN     
big               -7.58100 0.009222 0.391355 -7.53609 -8.31208 -6.87342 0        NaN      NaN     
big               -4.80796 0.005252 0.138914 -4.80441 -5.07364 -4.54841 0        NaN      NaN     
big               -8.34057 0.006479 0.164614 -8.33598 -8.67112 -8.03274 0        NaN      NaN     
big               -4.98372 0.00335  0.109576 -4.98150 -5.19400 -4.76603 0        NaN      NaN     
big               -4.19537 0.003191 0.091879 -4.19423 -4.38594 -4.02459 0        NaN      NaN     
big               -4.45632 0.002677 0.079594 -4.45560 -4.61857 -4.30356 0        NaN      NaN     
big               -4.99330 0.00326  0.105851 -4.99065 -5.20979 -4.80125 0        NaN      NaN     
big               -4.89352 0.003344 0.110419 -4.88804 -5.09592 -4.67006 0        NaN      NaN     
bird              -4.67267 0.002691 0.077167 -4.67131 -4.82262 -4.52373 0        NaN      NaN     
