item                                        mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                   -6719.05 0.232922 7.981882 -6718.84 -6735.05 -6704.01 15336.46 1174.325 NaN     
likelihood                                  -6525.57 0.149699 5.831909 -6525.26 -6536.93 -6514.06 11866.77 1517.682 NaN     
prior                                       -193.479 0.204961 7.534541 -193.316 -208.284 -179.335 13327.36 1351.354 NaN     
treeLikelihood.pano-full                    -6525.57 0.149699 5.831909 -6525.26 -6536.93 -6514.06 11866.77 1517.682 NaN     
Tree.t:tree.height                          1439.261 7.071476 264.7940 1410.265 986.6223 1960.031 12844.50 1402.155 1416.302
Tree.t:tree.treeLength                      13108.61 48.26181 1648.656 12971.40 10003.90 16391.26 15433.36 1166.951 13006.30
mutationRate.s:pano-full                    1        0        0        1        1        1        NaN      NaN      1       
gammaShape.s:pano-full                      0.986852 0.003627 0.113935 0.979806 0.759158 1.198761 18254.16 986.6240 0.980328
frequencies.s:pano-full.1                   0.952096 0.000222 0.004833 0.95217  0.942451 0.961964 38091.52 472.8085 0.952084
frequencies.s:pano-full.2                   0.047904 0.000222 0.004833 0.04783  0.038036 0.057549 38091.52 472.8085 0.047658
ORCsigma.c:clock                            0.360158 0.002219 0.07608  0.350331 0.238865 0.537937 15326.50 1175.088 0.352399
ORCRatesStat.c:clock.mean                   6.74E-5  4.01E-7  1.11E-5  6.65E-5  4.61E-5  8.92E-5  23313.90 772.5002 6.65E-5 
ORCRatesStat.c:clock.variance               6.1E-10  1.04E-11 3.1E-10  5.41E-10 1.07E-10 1.21E-9  20215.04 890.9206 5.44E-10
ORCRatesStat.c:clock.coefficientOfVariation 0.345457 0.001546 0.053515 0.343555 0.243066 0.454753 15039.62 1197.503 0.341287
BirthDeathSkyContemporaryBDSParam.t:tree    -175.908 0.091615 3.170749 -175.765 -182.853 -170.452 15035.53 1197.829 NaN     
birthRateBDS.t:tree                         0.002496 1.66E-5  0.000658 0.002421 0.00131  0.003762 11478.62 1569.003 0.002414
deathRateBDS.t:tree                         0.000731 1.72E-5  0.00069  0.000516 8.85E-7  0.002068 11143.90 1616.129 0.000437
rhoBDS.t:tree                               0.85719  0.001552 0.063704 0.864855 0.742175 0.973327 10686.60 1685.288 0.854729
ORCucldMean.c:clock                         7.18E-5  4.69E-7  1.27E-5  7.08E-5  4.87E-5  9.7E-5   24418.41 737.5580 7.08E-5 
logP(mrca(chacobo))                         -5.47402 0.011082 0.43794  -5.29733 -6.39927 -5.14186 11531.75 1561.774 NaN     
mrca.age(chacobo)                           369.3485 1.679137 54.21004 359.1473 284.5184 474.5391 17279.31 1042.286 365.6676
logP(mrca(kashinawa1))                      -3.21439 0.021622 0.898273 -2.87603 -4.99158 -2.52837 10434.81 1725.953 NaN     
mrca.age(kashinawa1)                        83.41645 0.113448 4.756967 83.40484 74.03077 92.72817 10243.41 1758.203 83.28004
logP(mrca(northern))                        -5.56001 0.01102  0.439556 -5.40073 -6.47374 -5.22555 11319.12 1591.111 NaN     
mrca.age(northern)                          473.9518 1.572835 60.94826 461.2240 382.5293 591.7088 11993.81 1501.607 470.3653
logP(mrca(chama))                           -5.69094 0.016975 0.72039  -5.42206 -7.15239 -5.14186 10000    1801     NaN     
mrca.age(chama)                             325.5815 0.778096 30.59811 320.3735 276.6620 385.0549 11646.35 1546.406 324.2230
