item                                        mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                   -6886.58 0.19085  7.571691 -6886.39 -6900.86 -6871.96 11442.28 1573.986 NaN     
likelihood                                  -6695.74 0.138606 5.583821 -6695.48 -6706.86 -6685.10 11097.17 1622.936 NaN     
prior                                       -190.846 0.187977 7.151009 -191.171 -205.212 -176.927 12444.75 1447.196 NaN     
treeLikelihood.pano-full                    -6695.74 0.138606 5.583821 -6695.48 -6706.86 -6685.10 11097.17 1622.936 NaN     
Tree.t:tree.height                          1148.787 4.785337 175.2226 1128.079 828.4123 1497.478 13432.53 1340.774 1135.945
Tree.t:tree.treeLength                      12075.61 43.40734 1374.868 12001.61 9417.544 14715.28 17952.19 1003.219 11998.21
mutationRate.s:pano-full                    1        0        0        1        1        1        NaN      NaN      1       
frequencies.s:pano-full.1                   0.915685 0.000312 0.006465 0.916053 0.902042 0.927005 41950.59 429.3145 0.915662
frequencies.s:pano-full.2                   0.084315 0.000312 0.006465 0.083947 0.072995 0.097958 41950.59 429.3145 0.084068
ORCsigma.c:clock                            0.35513  0.001894 0.068628 0.347559 0.238114 0.497734 13719.54 1312.725 0.348648
ORCRatesStat.c:clock.mean                   9.62E-5  5.05E-7  1.33E-5  9.53E-5  7.23E-5  0.000124 25777.04 698.6836 9.53E-5 
ORCRatesStat.c:clock.variance               1.32E-9  2.24E-11 5.75E-10 1.2E-9   4.52E-10 2.5E-9   27237.67 661.2165 1.21E-9 
ORCRatesStat.c:clock.coefficientOfVariation 0.343727 0.001334 0.049178 0.343473 0.251739 0.44638  13255.32 1358.699 0.340172
BirthDeathSkyContemporaryBDSParam.t:tree    -173.934 0.088541 2.905334 -173.879 -179.568 -168.358 16726.82 1076.713 NaN     
birthRateBDS.t:tree                         0.002599 1.59E-5  0.000641 0.002514 0.001359 0.003811 11029.28 1632.924 0.002524
deathRateBDS.t:tree                         0.000648 1.44E-5  0.000611 0.000462 2.6E-6   0.001842 10000    1801     0.000383
rhoBDS.t:tree                               0.853048 0.001572 0.065945 0.861445 0.722678 0.963953 10231.15 1760.310 0.850391
ORCucldMean.c:clock                         0.000106 6.46E-7  1.6E-5   0.000105 7.83E-5  0.000139 29361.44 613.3893 0.000105
logP(mrca(chacobo))                         -5.45842 0.010683 0.438267 -5.28494 -6.40932 -5.14186 10701.47 1682.945 NaN     
mrca.age(chacobo)                           364.3340 1.216968 51.64590 352.7307 287.5596 470.5258 10000    1801     360.9721
logP(mrca(kashinawa1))                      -3.32910 0.023754 1.008089 -2.92425 -5.45989 -2.52837 10000    1801     NaN     
mrca.age(kashinawa1)                        84.09246 0.119666 4.825787 84.10013 75.18057 93.95242 11074.45 1626.264 83.95346
logP(mrca(northern))                        -5.54299 0.010532 0.446954 -5.37002 -6.41169 -5.22555 10000    1801     NaN     
mrca.age(northern)                          462.4016 1.303517 52.72093 453.9479 382.9965 565.4282 11009.84 1635.809 459.6190
logP(mrca(chama))                           -5.69122 0.01733  0.703165 -5.44023 -7.03934 -5.14186 10939.16 1646.378 NaN     
mrca.age(chama)                             325.7197 0.731628 31.04896 319.3063 275.7164 389.1632 10000    1801     324.3248
