item                                        mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                   -6897.27 0.190518 7.486932 -6896.90 -6912.21 -6882.88 11662.08 1544.320 NaN     
likelihood                                  -6695.53 0.139169 5.577775 -6695.14 -6707.42 -6685.78 11211.88 1606.331 NaN     
prior                                       -201.736 0.189686 7.091513 -201.640 -214.963 -187.607 12885.61 1397.682 NaN     
treeLikelihood.pano-full                    -6695.53 0.139169 5.577775 -6695.14 -6707.42 -6685.78 11211.88 1606.331 NaN     
Tree.t:tree.height                          1049.023 4.157033 154.8170 1033.271 772.8459 1364.635 12985.03 1386.981 1038.018
Tree.t:tree.treeLength                      10947.07 33.36600 1193.265 10854.65 8783.806 13363.63 14081.47 1278.985 10882.85
mutationRate.s:pano-full                    1        0        0        1        1        1        NaN      NaN      1       
frequencies.s:pano-full.1                   0.915533 0.000363 0.00656  0.915395 0.902751 0.927333 55213.60 326.1877 0.915509
frequencies.s:pano-full.2                   0.084467 0.000363 0.00656  0.084605 0.072667 0.097249 55213.60 326.1877 0.084212
ORCsigma.c:clock                            0.367755 0.002331 0.077104 0.35923  0.222304 0.51497  16466.27 1093.750 0.36004 
ORCRatesStat.c:clock.mean                   0.000106 5.04E-7  1.39E-5  0.000106 7.96E-5  0.000133 23683.01 760.4607 0.000105
ORCRatesStat.c:clock.variance               1.68E-9  3.52E-11 8.19E-10 1.5E-9   5.37E-10 3.26E-9  33199.00 542.4861 1.52E-9 
ORCRatesStat.c:clock.coefficientOfVariation 0.348545 0.001794 0.052897 0.345601 0.245567 0.449537 20718.56 869.2685 0.344555
BirthDeathSkyContemporaryBDSParam.t:tree    -171.875 0.08207  2.908811 -171.744 -177.406 -166.249 14336.65 1256.220 NaN     
birthRateBDS.t:tree                         0.003065 1.97E-5  0.000837 0.002944 0.00158  0.004582 10000    1801     0.00296 
deathRateBDS.t:tree                         0.000972 2.14E-5  0.00091  0.000709 8.11E-8  0.002732 10000    1801     0.000575
rhoBDS.t:tree                               0.850194 0.001644 0.067143 0.85789  0.724766 0.969456 10798.87 1667.766 0.84741 
ORCucldMean.c:clock                         0.000119 6.85E-7  1.88E-5  0.000117 8.37E-5  0.000156 23812.95 756.3110 0.000117
logP(mrca(chacobo))                         -5.47370 0.011258 0.47777  -5.28804 -6.40047 -5.14186 10000    1801     NaN     
mrca.age(chacobo)                           354.7888 1.110824 47.14134 345.7170 280.0295 450.2650 10000    1801     351.9059
logP(mrca(kashinawa1))                      -3.23837 0.023932 0.993067 -2.84557 -5.32402 -2.52837 10459.90 1721.813 NaN     
mrca.age(kashinawa1)                        83.29805 0.12082  4.962135 83.17258 74.39707 93.74154 10677.15 1686.778 83.15041
logP(mrca(northern))                        -5.53304 0.010357 0.43954  -5.36079 -6.39361 -5.22555 10000    1801     NaN     
mrca.age(northern)                          456.9092 1.193028 50.16398 446.6968 383.0539 552.7281 10186.63 1768.002 454.3789
logP(mrca(chama))                           -5.81110 0.018992 0.806002 -5.51479 -7.40044 -5.14186 10000    1801     NaN     
mrca.age(chama)                             319.1888 0.652936 27.40174 314.8954 277.3304 374.5952 10225.82 1761.226 318.0790
monophyletic(kakataibo.tip)                 1        0        0        1        1        1        NaN      NaN      1       
logP(mrca(kakataibo.tip))                   -8.77263 0.033765 1.126801 -8.76700 -11.2486 -6.74834 16172.05 1113.649 NaN     
mrca.age(kakataibo.tip.originate)           741.8668 3.598172 121.2504 735.8660 495.9241 979.8680 15860.26 1135.542 731.6978
