item              mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
I                 -9.14295 0.011372 0.283937 -9.14036 -9.70550 -8.58695 0        NaN      NaN     
all               -11.7040 0.016764 0.544237 -11.8151 -12.6248 -10.6229 0        NaN      NaN     
all               -8.75440 0.007251 0.198198 -8.75018 -9.15083 -8.37315 0        NaN      NaN     
all               -7.21791 0.006496 0.155182 -7.21564 -7.52866 -6.94373 0        NaN      NaN     
all               -4.09556 0.00314  0.09883  -4.09613 -4.29500 -3.91832 0        NaN      NaN     
all               -8.21649 0.005958 0.177539 -8.21879 -8.58528 -7.89834 0        NaN      NaN     
all               -4.88456 0.003716 0.139109 -4.88068 -5.15691 -4.61754 0        NaN      NaN     
all               -3.94428 0.002505 0.082907 -3.94341 -4.11287 -3.78883 0        NaN      NaN     
all               -4.02364 0.00296  0.088747 -4.02237 -4.20052 -3.85649 0        NaN      NaN     
all               -4.23298 0.002819 0.097706 -4.22982 -4.42456 -4.03388 0        NaN      NaN     
all               -4.17621 0.002893 0.094845 -4.17468 -4.35940 -3.98775 0        NaN      NaN     
all               -4.68694 0.002987 0.126777 -4.68461 -4.93139 -4.43502 0        NaN      NaN     
all               -5.00376 0.004504 0.171436 -4.99286 -5.33818 -4.68163 0        NaN      NaN     
animal            -4.76439 0.003082 0.13079  -4.76117 -5.02211 -4.51555 0        NaN      NaN     
animal            -3.69031 0.002354 0.075524 -3.68679 -3.83932 -3.54876 0        NaN      NaN     
animal            -4.93231 0.003648 0.1384   -4.92904 -5.21392 -4.67806 0        NaN      NaN     
animal            -4.25292 0.003854 0.109633 -4.25147 -4.46901 -4.04207 0        NaN      NaN     
animal            -4.61723 0.003378 0.140446 -4.61477 -4.90935 -4.36161 0        NaN      NaN     
animal            -5.17545 0.003674 0.149763 -5.17206 -5.47282 -4.89405 0        NaN      NaN     
animal            -15.6550 0.008752 0.347411 -15.6539 -16.3166 -14.9991 0        NaN      NaN     
ashes             -9.42457 0.009292 0.251861 -9.42003 -9.91191 -8.93035 0        NaN      NaN     
ashes             -4.24933 0.002762 0.096364 -4.24695 -4.43347 -4.06587 0        NaN      NaN     
back_of_body      -13.1435 0.029087 1.188294 -13.2387 -14.8861 -11.2918 0        NaN      NaN     
back_of_body      -15.8859 0.014171 0.562628 -15.8534 -17.0195 -14.8771 0        NaN      NaN     
bad               -12.2776 0.008313 0.343772 -12.2879 -12.9712 -11.6170 0        NaN      NaN     
bad               -3.69031 0.002354 0.075524 -3.68679 -3.83932 -3.54876 0        NaN      NaN     
bad               -7.96813 0.013549 0.575004 -8.11135 -8.74015 -6.46143 0        NaN      NaN     
bad               -10.8775 0.01111  0.471482 -10.9343 -11.6903 -9.77043 0        NaN      NaN     
bad               -4.14351 0.003024 0.097677 -4.14402 -4.33804 -3.96586 0        NaN      NaN     
bad               -5.00544 0.003853 0.143163 -5.00294 -5.27862 -4.73780 0        NaN      NaN     
bad               -3.99219 0.002286 0.081472 -3.99055 -4.14547 -3.8292  0        NaN      NaN     
bad               -4.18816 0.002471 0.089919 -4.18540 -4.36521 -4.01917 0        NaN      NaN     
bad               -4.25292 0.003854 0.109633 -4.25147 -4.46901 -4.04207 0        NaN      NaN     
bad               -4.71926 0.004076 0.147617 -4.70971 -5.00607 -4.44171 0        NaN      NaN     
bark_of_tree      -13.9771 0.018941 0.518291 -14.0563 -14.9249 -12.9623 0        NaN      NaN     
bark_of_tree      -23.9869 0.016711 0.461376 -23.9739 -24.9412 -23.1352 0        NaN      NaN     
bark_of_tree      -5.12323 0.003731 0.15052  -5.12105 -5.42718 -4.84514 0        NaN      NaN     
bark_of_tree      -5.06860 0.004185 0.149642 -5.06087 -5.39795 -4.80266 0        NaN      NaN     
bark_of_tree      -5.46859 0.004508 0.177624 -5.45917 -5.84568 -5.16229 0        NaN      NaN     
belly             -14.2219 0.011678 0.445547 -14.2214 -15.1489 -13.3979 0        NaN      NaN     
belly             -6.02585 0.007911 0.322906 -5.99044 -6.60372 -5.39780 0        NaN      NaN     
belly             -4.52697 0.003709 0.143906 -4.52442 -4.82316 -4.26734 0        NaN      NaN     
belly             -3.73151 0.002241 0.074685 -3.72856 -3.87876 -3.59147 0        NaN      NaN     
belly             -5.15996 0.003834 0.148174 -5.15320 -5.47207 -4.88123 0        NaN      NaN     
belly             -5.64684 0.00467  0.18369  -5.64289 -5.98191 -5.28784 0        NaN      NaN     
belly             -21.6365 0.014332 0.597025 -21.6361 -22.8161 -20.5510 0        NaN      NaN     
belly             -9.37825 0.006866 0.218718 -9.37834 -9.78113 -8.94438 0        NaN      NaN     
big               -7.06753 0.006235 0.249417 -7.04951 -7.54328 -6.56891 0        NaN      NaN     
big               -6.82909 0.010556 0.447989 -6.76209 -7.49806 -6.10270 0        NaN      NaN     
big               -4.27158 0.003796 0.109092 -4.27001 -4.48695 -4.06080 0        NaN      NaN     
big               -7.69069 0.006112 0.155959 -7.68745 -7.99884 -7.39928 0        NaN      NaN     
big               -4.47327 0.002984 0.126642 -4.47548 -4.70640 -4.22614 0        NaN      NaN     
big               -3.70896 0.002295 0.074931 -3.70571 -3.86047 -3.57143 0        NaN      NaN     
big               -4.16227 0.002984 0.097278 -4.16268 -4.35788 -3.98531 0        NaN      NaN     
big               -4.73789 0.004037 0.147237 -4.72876 -5.02393 -4.45856 0        NaN      NaN     
big               -4.63587 0.003339 0.140114 -4.63279 -4.92856 -4.38079 0        NaN      NaN     
bird              -4.2041  0.002436 0.089568 -4.20159 -4.37864 -4.03463 0        NaN      NaN     
bird              -13.1818 0.010858 0.340648 -13.1974 -13.8084 -12.5529 0        NaN      NaN     
bird              -15.3242 0.010436 0.394054 -15.3211 -16.0975 -14.5795 0        NaN      NaN     
bird              -5.92724 0.006501 0.259684 -5.90989 -6.41026 -5.41851 0        NaN      NaN     
bird              -6.48478 0.008307 0.315034 -6.46267 -7.07570 -5.88552 0        NaN      NaN     
bird              -4.77303 0.004476 0.139964 -4.77002 -5.04174 -4.50535 0        NaN      NaN     
bird              -4.63298 0.003355 0.140138 -4.63027 -4.92629 -4.37786 0        NaN      NaN     
bird              -4.08749 0.002758 0.087148 -4.08478 -4.26090 -3.92253 0        NaN      NaN     
bird              -4.29748 0.002675 0.096302 -4.29456 -4.49594 -4.11249 0        NaN      NaN     
bird              -3.70805 0.002314 0.075368 -3.70512 -3.85900 -3.56869 0        NaN      NaN     
bird              -4.73500 0.004032 0.147406 -4.72479 -5.02389 -4.45977 0        NaN      NaN     
bite              -12.2437 0.010107 0.422246 -12.2537 -13.1159 -11.4323 0        NaN      NaN     
bite              -5.91190 0.006498 0.259565 -5.89567 -6.39144 -5.40062 0        NaN      NaN     
bite              -4.25348 0.003852 0.10963  -4.25184 -4.47012 -4.04015 0        NaN      NaN     
bite              -3.69086 0.002346 0.075367 -3.68668 -3.83697 -3.54749 0        NaN      NaN     
bite              -15.7084 0.011978 0.385937 -15.6987 -16.4700 -15.0159 0        NaN      NaN     
black             -19.0834 0.013618 0.539188 -19.109  -20.0112 -17.9179 0        NaN      NaN     
black             -25.6062 0.017777 0.53354  -25.5996 -26.7078 -24.6824 0        NaN      NaN     
black             -4.18351 0.002976 0.09744  -4.1834  -4.38143 -4.01054 0        NaN      NaN     
black             -4.31782 0.002636 0.095274 -4.31596 -4.49798 -4.13235 0        NaN      NaN     
black             -4.90228 0.003563 0.139625 -4.89435 -5.18412 -4.63812 0        NaN      NaN     
black             -4.95243 0.004762 0.193638 -4.94143 -5.36165 -4.61085 0        NaN      NaN     
black             -8.00246 0.013546 0.574856 -8.14392 -8.76897 -6.49514 0        NaN      NaN     
blood             -9.14295 0.011372 0.283937 -9.14036 -9.70550 -8.58695 0        NaN      NaN     
blow_wind         -9.34203 0.007943 0.225873 -9.34449 -9.76215 -8.90515 0        NaN      NaN     
blow_wind         -4.16995 0.002511 0.090289 -4.16774 -4.34940 -4.00072 0        NaN      NaN     
blow_wind         -4.62039 0.003754 0.136081 -4.61531 -4.88555 -4.35916 0        NaN      NaN     
blow_wind         -3.67221 0.002406 0.075984 -3.66897 -3.82076 -3.53023 0        NaN      NaN     
blow_wind         -4.23482 0.003911 0.110187 -4.23239 -4.45284 -4.02130 0        NaN      NaN     
bone              -4.10609 0.002709 0.086734 -4.10312 -4.27624 -3.94110 0        NaN      NaN     
bone              -4.31610 0.002627 0.095916 -4.31314 -4.51398 -4.13132 0        NaN      NaN     
bone              -8.9541  0.010572 0.258396 -8.94892 -9.47958 -8.46353 0        NaN      NaN     
breathe           -14.1336 0.007895 0.318259 -14.1241 -14.7664 -13.5482 0        NaN      NaN     
