item                                     mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                -6910.43 0.111832 4.745956 -6910.16 -6919.17 -6900.93 10000    1801     NaN     
likelihood                               -6729.39 0.106665 4.526689 -6729.06 -6738.51 -6721.29 10000    1801     NaN     
prior                                    -181.037 0.072636 3.023285 -180.782 -187.004 -175.655 10395.85 1732.421 NaN     
treeLikelihood.pano-full                 -6729.39 0.106665 4.526689 -6729.06 -6738.51 -6721.29 10000    1801     NaN     
Tree.t:tree.height                       1276.684 2.811053 115.0458 1272.083 1062.236 1498.260 10752.51 1674.956 1271.535
Tree.t:tree.treeLength                   13033.50 23.05036 969.8160 12984.87 11235.95 14871.68 10173.97 1770.202 12997.71
mutationRate.s:pano-full                 1        0        0        1        1        1        NaN      NaN      1       
frequencies.s:pano-full.1                0.91443  0.000276 0.00668  0.914622 0.901502 0.927112 30829.21 584.1860 0.914405
frequencies.s:pano-full.2                0.08557  0.000276 0.00668  0.085378 0.072888 0.098498 30829.21 584.1860 0.085311
clockRate.c:clock                        8.98E-5  3.08E-7  9.26E-6  8.91E-5  7.33E-5  0.000109 19912.68 904.4487 8.93E-5 
BirthDeathSkyContemporaryBDSParam.t:tree -175.881 0.047614 2.020647 -175.800 -179.629 -171.975 10000    1801     NaN     
birthRateBDS.t:tree                      0.002417 1.39E-5  0.000591 0.002326 0.001396 0.003599 10000    1801     0.002348
deathRateBDS.t:tree                      0.000603 1.36E-5  0.000576 0.00043  4.88E-7  0.001748 10000    1801     0.000347
rhoBDS.t:tree                            0.852709 0.001533 0.065068 0.861313 0.731294 0.969431 10000    1801     0.850123
logP(mrca(chacobo))                      -5.40609 0.009975 0.423333 -5.24790 -6.21222 -5.14186 10000    1801     NaN     
mrca.age(chacobo)                        346.7014 0.841687 35.02472 341.8299 286.8901 414.1753 10400.76 1731.603 345.0007
logP(mrca(kashinawa1))                   -4.72707 0.044699 1.81978  -4.31238 -8.21157 -2.52838 10866.12 1657.445 NaN     
mrca.age(kashinawa1)                     89.44295 0.109573 4.556929 89.44459 80.56347 98.41986 10412.93 1729.580 89.32642
logP(mrca(northern))                     -5.46409 0.006718 0.285107 -5.35931 -6.05696 -5.22555 10000    1801     NaN     
mrca.age(northern)                       475.6906 1.088197 46.1811  470.1953 398.8537 567.8528 10000    1801     473.5209
logP(mrca(chama))                        -6.85392 0.02861  1.214156 -6.59418 -9.26875 -5.14197 10000    1801     NaN     
mrca.age(chama)                          294.0820 0.324088 13.75371 292.1639 271.4257 321.8156 10000    1801     293.7678
