item                                     mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                -6921.97 0.12001  4.638159 -6921.50 -6930.71 -6913.12 12057.48 1493.677 NaN     
likelihood                               -6729.21 0.114047 4.447642 -6728.93 -6737.83 -6720.74 11841.87 1520.873 NaN     
prior                                    -192.760 0.080976 3.296759 -192.542 -199.488 -186.865 10865.48 1657.541 NaN     
treeLikelihood.pano-full                 -6729.21 0.114047 4.447642 -6728.93 -6737.83 -6720.74 11841.87 1520.873 NaN     
Tree.t:tree.height                       1221.528 2.519515 106.9236 1213.885 1023.531 1432.061 10000    1801     1216.905
Tree.t:tree.treeLength                   12487.14 21.03856 892.8385 12431.91 10811.60 14241.13 10000    1801     12455.59
mutationRate.s:pano-full                 1        0        0        1        1        1        NaN      NaN      1       
frequencies.s:pano-full.1                0.914982 0.000241 0.006461 0.91493  0.903085 0.92892  25041.10 719.2175 0.914959
frequencies.s:pano-full.2                0.085018 0.000241 0.006461 0.08507  0.07108  0.096915 25041.10 719.2175 0.084773
clockRate.c:clock                        9.31E-5  2.75E-7  9.26E-6  9.29E-5  7.51E-5  0.000111 15910.07 1131.987 9.27E-5 
BirthDeathSkyContemporaryBDSParam.t:tree -175.145 0.052087 2.091372 -175.073 -179.092 -171.103 11171.41 1612.149 NaN     
birthRateBDS.t:tree                      0.002651 1.65E-5  0.000702 0.002553 0.001482 0.004088 10000    1801     0.002565
deathRateBDS.t:tree                      0.000868 1.94E-5  0.000804 0.000629 1.64E-7  0.002459 10453.48 1722.871 0.000511
rhoBDS.t:tree                            0.8508   0.001568 0.06655  0.858164 0.725978 0.970455 10000    1801     0.848081
logP(mrca(chacobo))                      -5.44575 0.011235 0.4768   -5.27061 -6.37449 -5.14186 10000    1801     NaN     
mrca.age(chacobo)                        341.2187 0.795525 33.72137 335.6382 285.2500 412.5146 10023.30 1796.812 339.6231
logP(mrca(kashinawa1))                   -4.57515 0.041704 1.769832 -4.08421 -8.14985 -2.52847 10000    1801     NaN     
mrca.age(kashinawa1)                     88.99150 0.109239 4.635896 88.81997 80.25756 97.75466 10000    1801     88.87041
logP(mrca(northern))                     -5.44162 0.007189 0.302748 -5.32497 -6.05437 -5.22555 10154.75 1773.553 NaN     
mrca.age(northern)                       460.7827 1.071598 40.86927 455.7199 388.0706 538.1324 12381.78 1454.555 459.0308
logP(mrca(chama))                        -7.08999 0.03065  1.300727 -6.78164 -9.69933 -5.24982 10000    1801     NaN     
mrca.age(chama)                          291.3015 0.29562  12.41225 290.0461 270.7393 317.1274 10215.94 1762.929 291.0414
monophyletic(kakataibo.tip)              1        0        0        1        1        1        NaN      NaN      1       
logP(mrca(kakataibo.tip))                -9.32469 0.015714 0.654107 -9.30848 -10.6195 -8.02454 10394.65 1732.621 NaN     
mrca.age(kakataibo.tip.originate)        798.7982 1.76995  73.56563 794.8888 656.7903 947.1214 10425.22 1727.540 795.4322
