item                                        mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                   -6694.29 0.243049 8.931925 -6694.38 -6711.36 -6676.14 13335.53 1350.527 NaN     
likelihood                                  -6497.83 0.149749 5.692205 -6497.36 -6508.99 -6487.60 12464.62 1444.888 NaN     
prior                                       -196.456 0.240862 8.907601 -196.986 -212.973 -178.300 13168.25 1367.682 NaN     
treeLikelihood.pano-full                    -6497.83 0.149749 5.692205 -6497.36 -6508.99 -6487.60 12464.62 1444.888 NaN     
Tree.t:tree.height                          1317.382 7.492685 276.9385 1288.336 855.3193 1868.256 13183.23 1366.129 1289.885
Tree.t:tree.treeLength                      11366.77 50.57383 1742.529 11159.41 8322.310 14795.70 15170.67 1187.158 11236.84
mutationRate.s:pano-full                    1        0        0        1        1        1        NaN      NaN      1       
bcov_alpha.s:pano-full                      0.010076 0.00037  0.008601 0.007647 0.000101 0.026503 33298.73 540.8614 0.006475
bcov_s.s:pano-full                          0.276842 0.000906 0.030637 0.275411 0.218943 0.337916 15736.85 1144.447 0.275136
frequencies.s:pano-full.1                   0.947429 0.000273 0.005046 0.947508 0.937745 0.956944 52827.56 340.9205 0.947415
frequencies.s:pano-full.2                   0.052571 0.000273 0.005046 0.052492 0.043056 0.062255 52827.56 340.9205 0.052329
ORCsigma.c:clock                            0.330719 0.002023 0.073713 0.326342 0.195518 0.472097 13558.97 1328.271 0.3226  
ORCRatesStat.c:clock.mean                   9.41E-5  6.45E-7  1.69E-5  9.28E-5  6.33E-5  0.000128 26268.51 685.6117 9.26E-5 
ORCRatesStat.c:clock.variance               1.03E-9  1.95E-11 5.83E-10 9.29E-10 1.9E-10  2.07E-9  20249.31 889.4130 9.04E-10
ORCRatesStat.c:clock.coefficientOfVariation 0.319735 0.00147  0.054763 0.319787 0.202318 0.421154 12969.69 1388.621 0.314852
BirthDeathSkyContemporaryBDSParam.t:tree    -172.652 0.103176 3.780025 -172.426 -180.353 -165.587 13417.87 1342.239 NaN     
birthRateBDS.t:tree                         0.003173 2.58E-5  0.001025 0.002992 0.001354 0.005117 11390.52 1581.139 0.003025
deathRateBDS.t:tree                         0.001334 2.83E-5  0.001201 0.001    8.97E-7  0.003729 10000    1801     0.000808
rhoBDS.t:tree                               0.856291 0.001495 0.063454 0.862743 0.736082 0.963921 10000    1801     0.853835
ORCucldMean.c:clock                         9.89E-5  7.21E-7  1.85E-5  9.75E-5  6.1E-5   0.000132 27238.23 661.2030 9.73E-5 
logP(mrca(chacobo))                         -5.98596 0.007551 0.299374 -5.87716 -6.57741 -5.78749 11457.79 1571.856 NaN     
mrca.age(chacobo)                           317.8220 1.660447 70.46638 303.9610 204.6583 448.3528 10000    1801     310.7357
logP(mrca(kashinawa1))                      -3.14173 0.020366 0.864303 -2.80997 -4.89065 -2.52837 10000    1801     NaN     
mrca.age(kashinawa1)                        82.67615 0.116604 4.848328 82.51250 72.68446 91.36863 10417.30 1728.853 82.53367
logP(mrca(northern))                        -7.05485 0.011979 0.485554 -6.89822 -8.01313 -6.60517 10962.02 1642.943 NaN     
mrca.age(northern)                          435.5568 2.726344 107.4721 421.3657 262.8147 646.5948 11589.99 1553.925 423.3683
logP(mrca(chama))                           -6.44571 0.013987 0.5936   -6.28001 -7.63493 -5.78749 10000    1801     NaN     
mrca.age(chama)                             243.1400 0.752719 31.11746 236.5957 201.0453 301.0752 10538.32 1709.000 241.3363
