item                                        mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                   -6716.67 0.237981 9.004012 -6716.53 -6734.82 -6699.83 12581.32 1431.486 NaN     
likelihood                                  -6525.21 0.148616 5.857148 -6524.83 -6536.50 -6514.03 11595.06 1553.246 NaN     
prior                                       -191.465 0.238991 9.186896 -191.913 -208.573 -173.176 12188.15 1477.664 NaN     
treeLikelihood.pano-full                    -6525.21 0.148616 5.857148 -6524.83 -6536.50 -6514.03 11595.06 1553.246 NaN     
Tree.t:tree.height                          1266.956 6.449203 251.6727 1246.279 787.4112 1751.868 11826.42 1522.861 1242.742
Tree.t:tree.treeLength                      11345.70 42.79619 1645.928 11224.79 8311.416 14706.53 12175.92 1479.148 11228.45
mutationRate.s:pano-full                    1        0        0        1        1        1        NaN      NaN      1       
gammaShape.s:pano-full                      0.876914 0.002778 0.091801 0.87068  0.698427 1.059244 16490.56 1092.139 0.872207
frequencies.s:pano-full.1                   0.953122 0.000266 0.004824 0.953193 0.943593 0.962428 54620.80 329.7278 0.95311 
frequencies.s:pano-full.2                   0.046878 0.000266 0.004824 0.046807 0.037572 0.056407 54620.80 329.7278 0.046628
ORCsigma.c:clock                            0.32262  0.002045 0.072195 0.317337 0.187093 0.47383  14454.83 1245.949 0.314596
ORCRatesStat.c:clock.mean                   7.6E-5   4.82E-7  1.36E-5  7.5E-5   5.15E-5  0.000103 22462.22 801.7905 7.48E-5 
ORCRatesStat.c:clock.variance               6.38E-10 1.05E-11 3.42E-10 5.68E-10 1.48E-10 1.34E-9  16978.09 1060.778 5.58E-10
ORCRatesStat.c:clock.coefficientOfVariation 0.314163 0.00144  0.054983 0.315519 0.208639 0.426225 12351.98 1458.064 0.309095
BirthDeathSkyContemporaryBDSParam.t:tree    -172.618 0.093612 3.662489 -172.575 -179.690 -165.306 11765.93 1530.690 NaN     
birthRateBDS.t:tree                         0.003056 2.21E-5  0.000924 0.00291  0.001518 0.004838 10311.52 1746.589 0.00293 
deathRateBDS.t:tree                         0.001177 2.59E-5  0.001051 0.000913 3.79E-7  0.003288 10944.69 1645.545 0.000713
rhoBDS.t:tree                               0.856749 0.00153  0.062813 0.863376 0.735763 0.96066  10679.86 1686.350 0.854355
ORCucldMean.c:clock                         7.93E-5  5.12E-7  1.45E-5  7.78E-5  5.34E-5  0.000109 22442.52 802.4943 7.8E-5  
logP(mrca(chacobo))                         -5.99384 0.007248 0.307578 -5.86969 -6.62346 -5.78749 10000    1801     NaN     
mrca.age(chacobo)                           307.4677 1.542473 63.33909 297.7486 207.5931 429.0205 10680.83 1686.198 301.4464
logP(mrca(kashinawa1))                      -3.21692 0.023637 0.905382 -2.87391 -5.01657 -2.52837 12275.71 1467.123 NaN     
mrca.age(kashinawa1)                        83.317   0.120559 4.83994  83.34189 74.25024 92.92876 11174.53 1611.700 83.17559
logP(mrca(northern))                        -7.10482 0.011902 0.488967 -6.95726 -8.10988 -6.60517 10670.19 1687.879 NaN     
mrca.age(northern)                          420.2388 2.632137 98.91953 407.3055 253.3360 609.4053 12751.65 1412.365 409.4894
logP(mrca(chama))                           -6.45091 0.015403 0.610734 -6.29074 -7.70383 -5.78750 11455.54 1572.163 NaN     
mrca.age(chama)                             243.8031 0.803027 32.46807 236.0369 200.7515 306.2343 11016.94 1634.754 241.8555
