item                                     mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior                                -6902.23 0.135722 5.115464 -6901.78 -6911.93 -6892.71 12677.74 1420.600 NaN     
likelihood                               -6721.09 0.127936 4.586591 -6720.68 -6730.18 -6712.51 14012.63 1285.268 NaN     
prior                                    -181.138 0.066865 2.801102 -180.845 -186.373 -175.747 10262.57 1754.920 NaN     
treeLikelihood.pano-full                 -6721.09 0.127936 4.586591 -6720.68 -6730.18 -6712.51 14012.63 1285.268 NaN     
Tree.t:tree.height                       1015.719 2.689502 110.3011 1005.292 811.9195 1235.401 10707.72 1681.962 1009.825
Tree.t:tree.treeLength                   10352.70 22.49993 947.3886 10276.75 8632.122 12150.86 10158.26 1772.939 10310.07
mutationRate.s:pano-full                 1        0        0        1        1        1        NaN      NaN      1       
frequencies.s:pano-full.1                0.91471  0.000358 0.00678  0.914764 0.900858 0.927261 50123.04 359.3157 0.914685
frequencies.s:pano-full.2                0.08529  0.000358 0.00678  0.085236 0.072739 0.099142 50123.04 359.3157 0.08502 
clockRate.c:clock                        0.000113 4.29E-7  1.32E-5  0.000112 8.95E-5  0.000139 19054.17 945.1997 0.000112
BirthDeathSkyContemporaryBDSParam.t:tree -170.610 0.058794 2.480916 -170.491 -175.427 -166.022 10114.81 1780.556 NaN     
birthRateBDS.t:tree                      0.003211 2.25E-5  0.000856 0.00309  0.00177  0.004897 12452.05 1446.347 0.003105
deathRateBDS.t:tree                      0.001035 2.2E-5   0.000933 0.000787 8.91E-7  0.002975 10000    1801     0.000611
rhoBDS.t:tree                            0.852075 0.001676 0.068668 0.86417  0.720075 0.970284 10723.10 1679.550 0.849162
logP(mrca(chacobo))                      -6.08448 0.009171 0.3892   -5.94602 -6.84758 -5.78749 10000    1801     NaN     
mrca.age(chacobo)                        269.3007 0.870661 36.72633 264.7865 207.1361 338.4789 10121.77 1779.332 266.9050
logP(mrca(kashinawa1))                   -4.13693 0.035019 1.486125 -3.77133 -7.02437 -2.52837 10000    1801     NaN     
mrca.age(kashinawa1)                     87.72295 0.107425 4.558919 87.88339 78.72953 96.33749 10000    1801     87.60372
logP(mrca(northern))                     -7.13807 0.007396 0.306323 -7.08511 -7.72423 -6.63944 10497.66 1715.620 NaN     
mrca.age(northern)                       386.2807 1.214913 49.93788 382.8341 294.9306 482.6957 10659.67 1689.545 383.1255
logP(mrca(chama))                        -7.18932 0.017139 0.719299 -7.07666 -8.53944 -5.95609 10224.66 1761.427 NaN     
mrca.age(chama)                          216.2363 0.275648 11.44423 213.6242 200.1202 237.0521 10448.42 1723.705 215.9472
