ID	STRUCTURE	FREQUENCY	Amawaka	Arara	Chakobo	Chaninawa	Iskonawa	Kakataibo	Kanamari	Kapanawa	Kashinawa_B	Kashinawa_P	Katukina	Kaxarari	Marinawa	Marubo	Mastanawa	Matis	Matses	Nawa	Nukini	Pakawara	Poyanawa	Shanenawa	Sharanawa	Shipibo_Konibo	Yaminawa	Yawanawa	COGNATESETS	CONCEPTS
6-32	V	32	ɨ	ɨ	ɨ	ɨ	i	ɨ	Ø	ɨ	ɨ	ɨ	e	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	1390:0, 1390:2, 392:1, 392:3, 211:1, 211:3, 733:1, 733:3, 586:1, 586:3, 1486:1, 1486:3, 272:1, 1208:4, 76:1, 89:1, 92:3, 141:1, 252:1, 284:1, 368:1, 573:2, 638:1, 851:1, 1118:1, 1150:1, 1185:3, 1243:3, 1266:1, 1280:1, 1343:3, 1450:1	bird / bite / burn [tr. v.] / day [daytime] / dirty / drink [verb] / dry [adj./v.] / fear [verb] / fight / heavy / hit / kill / man [male] / pull / some / squeeze / stone / straight / swim / thick / thin / turn [intr. v.] / water / wide / wipe
7-8	V	8	ɨ	i	ɨ	ɨ	ɨ	ɨ	Ø	ɨ	i	ɨ	e	ɨ	ɨ	ɨ	ɨ	Ø	ɨ	ɨ	ɨ	i	ɨ	ɨ	ɨ	ɨ	a	ɨ	99:1, 99:3, 193:3, 588:1, 616:1, 696:2, 1000:1, 1043:1	black / cut [verb] / hit / hunt / live / seed / sing
10-7	V	7	ɨ	Ø	i	i	a	i	Ø	i	i	i	Ø	i	i	a	-	a	o	i	Ø	Ø	Ø	a	i	i	Ø	Ø	1:3, 1:5, 77:0, 128:1, 164:0, 465:1, 1200:3	all / bird / breathe / dog / fog / stone
50-7	V	7	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	e	ɨ	ɨ	ɨ	ɨ	u	u	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	156:3, 360:0, 673:1, 766:1, 812:1, 1014:1, 1404:1	child / father / leaf / mouth / new / sharp [knife] / wet
30-4	V	4	ɨ	ɨ	ɨ	ɨ	ɨ	u	o	ɨ	Ø	ɨ	i	a	ɨ	u	i	u	o	ɨ	ɨ	Ø	ɨ	ɨ	ɨ	ɨ	ɨ	i	30:1, 32:3, 234:1, 1206:1	back [of body] / dig / straight
65-4	V	4	ɨ	ɨ	i	ɨ	ɨ	ɨ	Ø	i	Ø	i	Ø	Ø	ɨ	ɨ	i	Ø	Ø	ɨ	Ø	Ø	Ø	u	ɨ	ɨ	i	Ø	296:1, 662:1, 1099:1, 1149:1	dull [knife] / laugh / smooth / squeeze
78-4	V	4	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	i	ɨ	ɨ	ɨ	ɨ	ɨ	o	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	330:1, 771:2, 1470:3, 1480:1	eye / name / wind [breeze] / wing
163-4	V	4	ɨ	Ø	a	ɨ	ɨ	ɨ	Ø	ɨ	ɨ	ɨ	e	Ø	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	Ø	Ø	Ø	a	ɨ	Ø	ɨ	i	833:1, 861:3, 883:1, 905:0	old [adj.] / play / push / river
83-3	V	3	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	e	i	ɨ	ɨ	i	ɨ	e	ɨ	Ø	u	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	358:1, 375:1, 1527:1	fat (grease) / feather [large] / year
82-2	V	2	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	Ø	ɨ	i	i	i	Ø	ɨ	ɨ	a	-	-	ɨ	Ø	Ø	Ø	ɨ	ɨ	-	ɨ	ɨ	334:3, 1198:1	fall [drop] / stone
86-2	V	2	ɨ	i	ɨ	ɨ	Ø	ɨ	Ø	ɨ	ɨ	ɨ	Ø	Ø	ɨ	ɨ	a	Ø	Ø	ɨ	ɨ	Ø	i	ɨ	ɨ	ɨ	ɨ	ɨ	366:3, 368:3	fear [verb]
149-2	V	2	ɨ	ɨ	i	ɨ	ɨ	Ø	Ø	Ø	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	Ø	Ø	ɨ	Ø	Ø	ɨ	ɨ	ɨ	Ø	ɨ	ɨ	749:0, 905:2	mother / river
183-2	V	2	ɨ	Ø	Ø	ɨ	ɨ	Ø	Ø	ɨ	Ø	i	Ø	Ø	ɨ	Ø	ɨ	Ø	Ø	a	Ø	Ø	Ø	Ø	ɨ	ɨ	ɨ	Ø	943:1, 1138:4	rub / split
102-1	V	1	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	Ø	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	483:2	foot
110-1	V	1	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ̃	ɨ	e	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	546:1	hand
112-1	V	1	ɨ	i	ɨ	ɨ	i	ɨ	i	ɨ	ɨ̃	i	i	ɨ	ɨ	i	i	ɨ	a	ɨ	i	ɨ	ɨ	i	i	ɨ	ɨ	i	546:3	hand
121-1	V	1	ɨ	a	ɨ	ɨ	i	ɨ	Ø	ɨ	Ø	ɨ	ɨ	Ø	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	Ø	Ø	i	ɨ	ɨ	ɨ	ɨ	ɨ	577:0	here
127-1	V	1	ɨ	Ø	ɨ	ɨ	ɨ	ɨ	Ø	ɨ	ɨ	ɨ	u	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	634:1	husband
129-1	V	1	ɨ	Ø	ɨ	ɨ	ɨ	ɨ	Ø	ɨ	ɨ	i	i	ɨ	i	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	634:3	husband
159-1	V	1	ɨ	ĩ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ̃	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	830:1	nose
168-1	V	1	ɨ	ɨ	ɨ	ɨ	i	ɨ	Ø	ɨ	Ø	ɨ	i	Ø	ɨ	ɨ	ɨ	ɨ	u	ɨ	Ø	Ø	Ø	Ø	ɨ	ɨ	ɨ	Ø	852:0	other
188-1	V	1	ɨ	ɨ	Ø	ɨ	ɨ	Ø	ɨ	Ø	ɨ	ɨ	e	Ø	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	Ø	ɨ	ɨ	ɨ	Ø	ɨ	ɨ	999:0	seed
190-1	V	1	ɨ	ɨ	Ø	i	ɨ	Ø	ɨ	Ø	ɨ	ɨ	e	Ø	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	u	Ø	ɨ	ɨ	ɨ	Ø	ɨ	ɨ	999:2	seed
