ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Partial_Cognacy,Alignment,Morphemes,Note
Matses-3_animal-1,,Matses,3_animal,nɨiʃ,nɨiʃ,n ɨ i ʃ,,fleck2005,20,,,,1543,n ɨ i ʃ,delicious,
Matis-3_animal-1,,Matis,3_animal,nɨiʃ,nɨiʃ,n ɨ i ʃ,,fleck2005,20,,,,1543,n ɨ i ʃ,delicious,
Marubo-3_animal-1,,Marubo,3_animal,juini,juini,j u + i n i,,fleck2005,24,,,,1544 1545,j u ( + - ) i n i ( - - ),_thing domesticated,
Shipibo_Konibo-3_animal-1,,Shipibo_Konibo,3_animal,yuina,yuina,j u + i n a,,fleck2005,24,,,,1544 1545,j u ( + - ) i n a ( - - ),_thing domesticated,
Kapanawa-3_animal-1,,Kapanawa,3_animal,yuina,yuina,j u + i n a,,loos1998,24,,,,1544 1545,j u ( + - ) i n a ( - - ),_thing domesticated,
Arara-3_animal-1,,Arara,3_animal,diwʃĩ,diuʃĩ,d i + u ʃ ĩ,,cunha1993,15,,,,1546,d i w ʃ ĩ,forest devil,
Shanenawa-3_animal-1,,Shanenawa,3_animal,juina,juina,j u + i n a,,lanes2005,24,,,,1544 1545,j u ( + - ) i n a ( - - ),_thing domesticated,
Yawanawa-3_animal-1,,Yawanawa,3_animal,juina,juina,j u + i n a,,paula1992,24,,,,1544 1545,j u ( + - ) i n a ( - - ),thing domesticated,
Nukini-3_animal-1,,Nukini,3_animal,inũ,inũ,i n ũ,,aguiar2004,21,,,,1545,- i n - - ũ,domesticated,
Poyanawa-3_animal-1,,Poyanawa,3_animal,iũĩda,iũĩda,j ũ + ĩ d a,,paula1992,24,,,,1544 1545,j ũ ( + - ) ĩ d a ( - - ),_thing domesticated,
Iskonawa-3_animal-1,,Iskonawa,3_animal,jujna,jujna,j u + j n a,,zariquiey2017,24,,,,1544 1545,j u ( + - ) j n a ( - - ),_thing domesticated,
Chakobo-3_animal-1,,Chakobo,3_animal,yu?ina,yuʔina,j u + ʔ i n a,,zingg1998,24,,,,1544 1545,j u ( + ʔ ) i n a ( - - ),_thing domesticated,
Kakataibo-3_animal-1,,Kakataibo,3_animal,ɲuina,ɲuina,ɲ u + i n a,,zariquiey2017,24,,,,1544 1545,ɲ u ( + - ) i n a ( - - ),_thing domesticated,
Kaxarari-3_animal-1,,Kaxarari,3_animal,ʂui,ʂui,ʂ u i,,couto2005,17,,,,1547,ʂ u i,grill,
Mastanawa-3_animal-1,,Mastanawa,3_animal,jujna,jujna,j u + j n a,,zariquiey2017,24,,,,1544 1545,j u ( + - ) j n a ( - - ),_thing domesticated,
Chaninawa-3_animal-1,,Chaninawa,3_animal,juida,juida,j u + i d a,,zariquiey2017,24,,,,1544 1545,j u ( + - ) i d a ( - - ),_thing domesticated,
Sharanawa-3_animal-1,,Sharanawa,3_animal,juida,juida,j u + i d a,,zariquiey2017,24,,,,1544 1545,j u ( + - ) i d a ( - - ),_thing domesticated,
Amawaka-3_animal-1,,Amawaka,3_animal,juʔina,juʔina,j u + ʔ i n a,,zariquiey2017,24,,,,1544 1545,j u ( + ʔ ) i n a ( - - ),thing domesticated,
Nawa-3_animal-1,,Nawa,3_animal,di bɨɾaɸɨhjati,di bɨɾa,d i + b ɨ ɾ a,,zariquiey2017,22,,,,22,d i + b ɨ ɾ a,forest find,
Marinawa-3_animal-1,,Marinawa,3_animal,juinda,juinda,j u + i n a,,zariquiey2017,24,,,,1544 1545,j u ( + - ) i n a ( - - ),_thing domesticated,
Yaminawa-3_animal-1,,Yaminawa,3_animal,isu,isu,i s u,,zariquiey2017,19,,,,1548,i s u,monkey.sp,
Kashinawa_P-3_animal-1,,Kashinawa_P,3_animal,jujnaka,jujnaka,j u + i n a k a,,zariquiey2017,24,,,,1544 1545,j u ( + - ) i n a ( k a ),_thing domesticated,
Kashinawa_B-3_animal-1,,Kashinawa_B,3_animal,yuinaka,yuinaka,j u + i n a k a,,camargo1995,24,,,,1544 1545,j u ( + - ) i n a ( k a ),_thing domesticated,
Matses-28_dog-1,,Matses,28_dog,opa,opa,o p a,,fleck2005,164,,,,0,- o p a,dog,
Matis-28_dog-1,,Matis,28_dog,wapa,wapa,w a p a,,fleck2005,164,,,,0,w a p a,dog,
Marubo-28_dog-1,,Marubo,28_dog,wapa,wapa,w a p a,,fleck2005,164,,,,0,w a p a,owl.sp,
Katukina-28_dog-1,,Katukina,28_dog,kaman,kaman,k a m a n,,aguiar1994,261,,,,0,k a m a n,wild_dog,
Shipibo_Konibo-28_dog-1,,Shipibo_Konibo,28_dog,utʃiti,utʃiti,u tʃ i t i,,fleck2005,270,,,,0,u tʃ i t i,dog,
Kapanawa-28_dog-1,,Kapanawa,28_dog,utʃiti,utʃiti,u tʃ i t i,,loos1998,270,,,,0,u tʃ i t i,dog,
Arara-28_dog-1,,Arara,28_dog,kamã,kamã,k a m ã,,cunha1993,261,,,,0,k a m ã -,wild_dog,
Shanenawa-28_dog-1,,Shanenawa,28_dog,kaman,kaman,k a m a n,,lanes2005,261,,,,0,k a m a n,wild_dog,
Yawanawa-28_dog-1,,Yawanawa,28_dog,kaman,kaman,k a m a n,,paula1992,261,,,,0,k a m a n,wild_dog,
Nukini-28_dog-1,,Nukini,28_dog,tapainu,tapainu,t a p a + i n u,,aguiar2004,262,,,,4 11,t a - p a + i n u,house jaguar,
Poyanawa-28_dog-1,,Poyanawa,28_dog,utʃiti,utʃiti,u tʃ i t i,,paula1992,270,,,,0,u tʃ i t i,dog,
Iskonawa-28_dog-1,,Iskonawa,28_dog,piɾu,piɾu,p i ɾ u,,zariquiey2017,269,,,,0,p i ɾ u,*dog,
Chakobo-28_dog-1,,Chakobo,28_dog,inaka,inaka,i n a k a,,zingg1998,268,,,,0,i n a k a,domestic_animal,
