ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,SubGroup,Note,SourceDate,Source
Amawaka,Amawaka,amah1246,,,,,,Pano,,,2017,Zariquiey2017
Araona,Araona,arao1248,,,,,,Pano,,,,
Arara,Arara,,,,,,,Pano,,"Not clear: either Arara-Shawana (arar1265, most likely), or Ararapina (arar1263), or Ararawa (arar1264)",1993,
Cavinena,Cavineña,cavi1250,,,,,,Pano,,,,
Chakobo,Chakobo,chac1251,,,,,,Pano,,,2000,
Chaninawa,Chaninawa,shan1283,,,,,,Pano,,,2017,Zariquiey2017
Ese_ejja,Ese ejja,esee1248,,,,,,Pano,,,,
Iskonawa,Iskonawa,isco1239,,,,,,Pano,,,2017,
Kakataibo,Kakataibo,cash1251,,,,,,Pano,,,2006,
Kanamari,Kanamari,kana1261,,,,,,Pano,,Confirm,1965,
Kapanawa,Kapanawa,capa1241,,,,,,Pano,,,2006,
Kashinawa_B,Kashinawa_B,cash1254,,,,,,Pano,,,2000,
Kashinawa_P,Kashinawa_P,cash1254,,,,,,Pano,,,2017,Zariquiey2017
Katukina,Katukina,pano1254,,,,,,Pano,,,1994,
Kaxarari,Kaxarari,kaxa1239,,,,,,Pano,,,2000,
Marinawa,Marinawa,mari1443,,,,,,Pano,,,2017,Zariquiey2017
Marubo,Marubo,maru1252,,,,,,Pano,,,2005,
Mastanawa,Mastanawa,mast1238,,,,,,Pano,,,2017,Zariquiey2017
Matis,Matis,mati1255,,,,,,Pano,,,2005,
Matses,Matses,mats1244,,,,,,Pano,,,2005,
Nawa,Nawa,nawa1239,,,,,,Pano,,,2017,Zariquiey2017
Nukini,Nukini,nuku1263,,,,,,Pano,,,2004,
Pakawara,Pakawara,paca1246,,,,,,Pano,,,2000,
Poyanawa,Poyanawa,poya1241,,,,,,Pano,,,1992,
Shanenawa,Shanenawa,arar1265,,,,,,Pano,,,2004,
Sharanawa,Sharanawa,shar1245,,,,,,Pano,,,2017,Zariquiey2017
Shipibo_Konibo,Shipibo-Konibo,ship1254,,,,,,Pano,,,2005,
Tacana,Tacana,taca1256,,,,,,Pano,,,,
Yaminawa,Yaminawa,yami1256,,,,,,Pano,,,2017,Zariquiey2017
Yawanawa,Yawanawa,yawa1260,,,,,,Pano,,,2004,
