ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	AUTOCOGID	AUTOSCAID
1902	Matses	I	u	u	u		4	2
1903	Matis	I	ɨ	ɨ	ɨ		2	2
1904	Marubo	I	ɨa	ɨa	ɨ a		2	2
1905	Katukina	I	ea	ea	e a		2	2
1906	Shipibo_Konibo	I	ɨ	ɨ	ɨ		2	2
1907	Kapanawa	I	ɨ	ɨ	ɨ		2	2
1908	Arara	I	ɨ	ɨ	ɨ		2	2
1909	Shanenawa	I	ɨ	ɨ	ɨ		2	2
1910	Yawanawa	I	ɨ	ɨ	ɨ		2	2
1911	Nukini	I	ɨ	ɨ	ɨ		2	2
1912	Poyanawa	I	ɨ	ɨ	ɨ		2	2
1913	Iskonawa	I	ɨ	ɨ	ɨ		2	2
1914	Chakobo	I	ɨ	ɨ	ɨ		2	2
1915	Pakawara	I	ɨ	ɨ	ɨ		2	2
1916	Kakataibo	I	ɨ	ɨ	ɨ		2	2
1917	Kaxarari	I	ɨhɨ	ɨhɨ	ɨ h ɨ		3	3
1918	Mastanawa	I	ɨ	ɨ	ɨ		2	2
1919	Chaninawa	I	ɨ	ɨ	ɨ		2	2
1920	Sharanawa	I	ɨ	ɨ	ɨ		2	2
1921	Amawaka	I	ija	ija	i j a		1	1
1922	Nawa	I	ɨ	ɨ	ɨ		2	2
1923	Marinawa	I	ɨ	ɨ	ɨ		2	2
1924	Yaminawa	I	ɨn	ɨn	ɨ n		5	4
1925	Kashinawa_P	I	ɨ	ɨ	ɨ		2	2
1926	Kashinawa_B	I	ɨ	ɨ	ɨ		2	2
4147	Matses	all	aβitedi	aβitedi	a β i t e d i		14	5
4148	Matis	all	atʂɨwɨʂ	atʂɨwɨʂ	a ʈʂ ɨ w ɨ ʂ		13	5
4149	Marubo	all	aʂkansɨ	aʂkansɨ	a ʂ k a n s ɨ		12	8
4150	Shipibo_Konibo	all	hatiβi	hatiβi	h a t i β i		8	5
4151	Kapanawa	all	hatiβi	hatiβi	h a t i β i		8	5
4152	Arara	all	βiʃtimba	βiʃtimba	β i ʃ t i m b a		7	6
4153	Shanenawa	all	narama	narama	n a r a m a		15	9
4154	Iskonawa	all	hɨtʃuma	hɨtʃuma	h ɨ tʃ u m a		9	5
4155	Chakobo	all	hatita	hatita	h a t i t a		6	5
4156	Chakobo	all	tɨkɨta	tɨkɨta	t ɨ k ɨ t a		6	5
4157	Kakataibo	all	kamaβi	kamaβi	k a m a β i		10	7
4158	Kaxarari	all	haʂkana	haʂkana	h a ʂ k a n a		12	8
4159	Mastanawa	all	iʧapaw	iʧapaw	i tʃ a p a w		6	5
4160	Chaninawa	all	natiβi	natiβi	n a t i β i		8	5
4161	Sharanawa	all	natiɸi	natiɸi	n a t i ɸ i		8	5
4162	Amawaka	all	it͡ʃa	it͡ʃa	i tʃ a		6	5
4163	Nawa	all	natiɸi	natiɸi	n a t i ɸ i		8	5
4164	Marinawa	all	natiɸi	natiɸi	n a t i ɸ i		8	5
4165	Yaminawa	all	kɨju	kɨju	k ɨ j u		16	10
4166	Kashinawa_P	all	dasiβi	dasiβi	d a s i β i		11	5
4167	Kashinawa_B	all	daʂiβi	daʂiβi	d a ʂ i β i		11	5
1	Matses	animal	nɨiʃ	nɨiʃ	n ɨ i ʃ		19	13
2	Matis	animal	nɨiʃ	nɨiʃ	n ɨ i ʃ		19	13
3	Marubo	animal	juini	juini	j u i n i		17	11
4	Shipibo_Konibo	animal	yuina	yuina	j u i n a		17	11
5	Kapanawa	animal	yuina	yuina	j u i n a		17	11
6	Arara	animal	diwʃĩ	diwʃĩ	d i w ʃ ĩ		18	12
7	Shanenawa	animal	juina	juina	j u i n a		17	11
8	Yawanawa	animal	juina	juina	j u i n a		17	11
9	Nukini	animal	inũ	inũ	i n ũ		21	11
10	Poyanawa	animal	iũĩda	iũĩda	i/j ũ ĩ d a		17	11
11	Iskonawa	animal	jujna	jujna	j u j n a		17	11
12	Chakobo	animal	yu?ina	yuʔina	j u ʔ i n a		17	11
13	Kakataibo	animal	ɲuina	ɲuina	ɲ u i n a		17	11
14	Kaxarari	animal	ʂui	ʂui	ʂ u i		18	12
15	Mastanawa	animal	jujna	jujna	j u j n a		17	11
16	Chaninawa	animal	juida	juida	j u i d a		17	11
17	Sharanawa	animal	juida	juida	j u i d a		17	11
18	Amawaka	animal	juʔina	juʔina	j u ʔ i n a		17	11
19	Nawa	animal	di bɨɾaɸɨhjati	di bɨɾaɸɨhjati	d i b ɨ ɾ a		20	14
20	Marinawa	animal	juinda	juinda	j u i ⁿd a		17	11
21	Yaminawa	animal	isu	isu	i s u		18	12
22	Kashinawa_P	animal	jujnaka	jujnaka	j u j/i n a k a		17	11
23	Kashinawa_B	animal	yuinaka	yuinaka	j u i n a k a		17	11
1258	Matses	ashes	isisapuk	isisapuk	i s i s a p u k		23	16
1259	Matis	ashes	tsismapuk	tsismapuk	ts i s m a p u k		23	16
1260	Marubo	ashes	miʃpu	miʃpu	m i ʃ p u		23	16
1261	Shipibo_Konibo	ashes	tʃi mapu	tʃi mapu	tʃ i m a p u		23	16
1262	Kapanawa	ashes	tʃi mapu	tʃi mapu	tʃ i m a p u		23	16
1263	Arara	ashes	bapu	bapu	b a p u		23	16
1264	Shanenawa	ashes	mapu	mapu	m a p u		23	16
1265	Iskonawa	ashes	hɨna mapu	hɨna mapu	h ɨ n a m a p u		23	16
1266	Chakobo	ashes	tʃi?imiʃpu	tʃiʔimiʃpu	tʃ i ʔ i m i ʃ p u		23	16
1267	Pakawara	ashes	miʃpu	miʃpu	m i ʃ p u		23	16
1268	Kakataibo	ashes	tʃimapo	tʃimapo	tʃ i m a p o		23	16
1269	Kaxarari	ashes	mapuu	mapuu	m a p uː		23	16
1270	Mastanawa	ashes	bapu	bapu	b a p u		23	16
1271	Chaninawa	ashes	βapu	βapu	β a p u		23	16
1272	Sharanawa	ashes	t͡ʃibapu	t͡ʃibapu	tʃ i b a p u		23	16
1273	Amawaka	ashes	kuɾu	kuɾu	k u ɾ u		22	15
1274	Nawa	ashes	bapu	bapu	b a p u		23	16
1275	Marinawa	ashes	bapu	bapu	b a p u		23	16
1276	Yaminawa	ashes	bapu	bapu	b a p u		23	16
1277	Kashinawa_P	ashes	mapu	mapu	m a p u		23	16
1278	Kashinawa_B	ashes	tʃimapu	tʃimapu	tʃ i m a p u		23	16
717	Matses	back [of body]	katʂo	katʂo	k a ʈʂ o		24	17
718	Matis	back [of body]	kaʂuku	kaʂuku	k a ʂ u k u		26	17
719	Marubo	back [of body]	kaʂu	kaʂu	k a ʂ u		26	17
720	Katukina	back [of body]	pimana	pimana	p i m a n a		25	17
721	Kanamari	back [of body]	kaʃo	kaʃo	k a ʃ o		26	17
722	Shipibo_Konibo	back [of body]	pɨka	pɨka	p ɨ k a		25	17
723	Kapanawa	back [of body]	pɨka	pɨka	p ɨ k a		25	17
724	Arara	back [of body]	pitʃi	pitʃi	p ɨ tʃ i		25	17
725	Shanenawa	back [of body]	pustʃi	pɨstʃi	p ɨ ↓stʃ/tʃ i		25	17
726	Nukini	back [of body]	puʃi	pɨʃi	p ɨ tʃ i		25	17
727	Poyanawa	back [of body]	pɨti	pɨti	p ɨ t i		25	17
728	Iskonawa	back [of body]	pɨʧi	pɨʧi	p ɨ tʃ i		25	17
729	Iskonawa	back [of body]	katɨ	katɨ	k a t ɨ		24	17
730	Chakobo	back [of body]	katɨ	katɨ	k a t ɨ		24	17
