ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	MORPHEMES	COGS	COGID	BODY	BODYID	BODYTID
717	Matses	back [of body]	katʂo	katʂo	k a + ʈʂ o		back _tso	203 213	32	back [of body]-back--_tso	60	90
718	Matis	back [of body]	kaʂuku	kaʂuku	k a + ʂ u + k u		back _So /ku	203 211 204	32	back [of body]-back--_So--/ku	61	91
719	Marubo	back [of body]	kaʂu	kaʂu	k a + ʂ u		back _So	203 211	32	back [of body]-back--_So	62	92
720	Katukina	back [of body]	pimana	pimana	p i + m a n a		shoulder _above	200 202	30	back [of body]-shoulder--_above	63	93
721	Kanamari	back [of body]	kaʃo	kaʃo	k a + ʃ o		back _So	203 211	32	back [of body]-back--_So	62	94
722	Shipibo_Konibo	back [of body]	pɨka	pɨka	p ɨ + k a		shoulder _ka	200 205	30	back [of body]-shoulder--_ka	64	95
723	Kapanawa	back [of body]	pɨka	pɨka	p ɨ + k a		shoulder _ka	200 205	30	back [of body]-shoulder--_ka	64	95
724	Arara	back [of body]	pitʃi	pitʃi	p ɨ + tʃ i		shoulder _tʃi	200 207	30	back [of body]-shoulder--_tʃi	65	96
725	Shanenawa	back [of body]	pustʃi	pɨstʃi	p ɨ + ↓stʃ/tʃ i		shoulder _tʃi	200 207	30	back [of body]-shoulder--_tʃi	65	96
726	Nukini	back [of body]	puʃi	pɨʃi	p ɨ + tʃ i		shoulder _ʧi	200 207	30	back [of body]-shoulder--_ʧi	66	96
727	Poyanawa	back [of body]	pɨti	pɨti	p ɨ + t i		shoulder _tɨ	200 206	30	back [of body]-shoulder--_tɨ	67	96
728	Iskonawa	back [of body]	pɨʧi	pɨʧi	p ɨ + tʃ i		shoulder _ʧi	200 207	30	back [of body]-shoulder--_ʧi	66	96
729	Iskonawa	back [of body]	katɨ	katɨ	k a + t ɨ		back _tɨ	203 206	32	back [of body]-back--_tɨ	68	97
730	Chakobo	back [of body]	katɨ	katɨ	k a + t ɨ		back _tɨ	203 206	32	back [of body]-back--_tɨ	68	97
731	Kakataibo	back [of body]	kaʂo	kaʂo	k a + ʂ o		back _So	203 211	32	back [of body]-back--_So	62	94
