ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	MORPHEMES	COGID	BODY	BODYID
1921	Matses	I	u	u	u			1544	[]	1
1922	Matis	I	ɨ	ɨ	ɨ			1544	[]	1
1923	Marubo	I	ɨa	ɨa	ɨ a			1544	[]	1
1924	Katukina	I	ea	ea	e a			1544	[]	1
1925	Shipibo_Konibo	I	ɨ	ɨ	ɨ			1544	[]	1
1926	Kapanawa	I	ɨ	ɨ	ɨ			1544	[]	1
1927	Shanenawa	I	ɨ	ɨ	ɨ			1544	[]	1
1928	Yawanawa	I	ɨ	ɨ	ɨ			1544	[]	1
1929	Nukini	I	ɨ	ɨ	ɨ			1544	[]	1
1930	Poyanawa	I	ɨ	ɨ	ɨ			1544	[]	1
1931	Iskonawa	I	ɨ	ɨ	ɨ			1544	[]	1
1932	Chakobo	I	ɨ	ɨ	ɨ			1544	[]	1
1933	Pakawara	I	ɨ	ɨ	ɨ			1544	[]	1
1934	Kakataibo	I	ɨ	ɨ	ɨ			1544	[]	1
1935	Kaxarari	I	ɨhɨ	ɨhɨ	ɨ h ɨ			1544	[]	1
1936	Mastanawa	I	ɨ	ɨ	ɨ			1544	[]	1
1937	Chaninawa	I	ɨ	ɨ	ɨ			1544	[]	1
1938	Sharanawa	I	ɨ	ɨ	ɨ			1544	[]	1
1939	Amawaka	I	ija	ija	i j a			1544	[]	1
1940	Nawa	I	ɨ	ɨ	ɨ			1544	[]	1
1941	Marinawa	I	ɨ	ɨ	ɨ			1544	[]	1
1942	Yaminawa	I	ɨn	ɨn	ɨ n			1544	[]	1
1943	Kashinawa_P	I	ɨ	ɨ	ɨ			1544	[]	1
1944	Kashinawa_B	I	ɨ	ɨ	ɨ			1544	[]	1
1945	Araona	I	ema	ema	e m a			1544	[]	1
1946	Araona	I	yama	yama	j a m a			1544	[]	1
4255	Matses	all	aβitedi	aβitedi	a + β i + t e + d i			11	[]	1
4256	Matis	all	atʂɨwɨʂ	atʂɨwɨʂ	a ʈʂ ɨ w ɨ ʂ			12	[]	1
4257	Marubo	all	aʂkansɨ	aʂkansɨ	a ʂ k a n s ɨ			3	[]	1
4258	Shipibo_Konibo	all	hatiβi	hatiβi	h a t i + β i			6	[]	1
4259	Kapanawa	all	hatiβi	hatiβi	h a t i β i			6	[]	1
4260	Shanenawa	all	narama	narama	n a r a m a			1	[]	1
4261	Iskonawa	all	hɨtʃuma	hɨtʃuma	h ɨ tʃ u + m a			13	[]	1
4262	Chakobo	all	hatita	hatita	h a t i t a			6	[]	1
4263	Chakobo	all	tɨkɨta	tɨkɨta	t ɨ k ɨ t a			10	[]	1
4264	Kakataibo	all	kamaβi	kamaβi	k a m a β i			4	[]	1
4265	Kaxarari	all	haʂkana	haʂkana	h a ʂ k a n a			3	[]	1
4266	Mastanawa	all	iʧapaw	iʧapaw	i tʃ a p a w			2	[]	1
4267	Chaninawa	all	natiβi	natiβi	n a t i β i			1	[]	1
4268	Sharanawa	all	natiɸi	natiɸi	n a t i ɸ i			1	[]	1
4269	Amawaka	all	it͡ʃa	it͡ʃa	i tʃ a			2	[]	1
4270	Nawa	all	natiɸi	natiɸi	n a t i ɸ i			1	[]	1
4271	Marinawa	all	natiɸi	natiɸi	n a t i ɸ i			1	[]	1
4272	Yaminawa	all	kɨju	kɨju	k ɨ j u			9	[]	1
4273	Kashinawa_P	all	dasiβi	dasiβi	d a s i β i			1	[]	1
4274	Kashinawa_B	all	daʂiβi	daʂiβi	d a ʂ i β i			1	[]	1
4275	Araona	all	babaowe	babaowe	b a b a o w e			8	[]	1
4276	Araona	all	daokua	daokua	d a o + k u a			802	[]	1
1	Matses	animal	nɨiʃ	nɨiʃ	n ɨ i ʃ			20	[]	1
2	Matis	animal	nɨiʃ	nɨiʃ	n ɨ i ʃ			20	[]	1
3	Marubo	animal	juini	juini	j u + i n i			24	[]	1
4	Shipibo_Konibo	animal	yuina	yuina	j u + i n a			24	[]	1
5	Kapanawa	animal	yuina	yuina	j u + i n a			24	[]	1
6	Shanenawa	animal	juina	juina	j u + i n a			24	[]	1
7	Yawanawa	animal	juina	juina	j u + i n a			24	[]	1
8	Nukini	animal	inũ	inũ	i n ũ			21	[]	1
9	Poyanawa	animal	iũĩda	iũĩda	i/j ũ + ĩ d a			24	[]	1
10	Iskonawa	animal	jujna	jujna	j u + j n a			24	[]	1
11	Chakobo	animal	yu?ina	yuʔina	j u + ʔ i n a			24	[]	1
12	Kakataibo	animal	ɲuina	ɲuina	ɲ u + i n a			24	[]	1
13	Kaxarari	animal	ʂui	ʂui	ʂ u i			17	[]	1
14	Mastanawa	animal	jujna	jujna	j u + j n a			24	[]	1
15	Chaninawa	animal	juida	juida	j u + i d a			24	[]	1
16	Sharanawa	animal	juida	juida	j u + i d a			24	[]	1
17	Amawaka	animal	juʔina	juʔina	j u + ʔ i n a			24	[]	1
18	Nawa	animal	di bɨɾaɸɨhjati	di bɨɾaɸɨhjati	d i + b ɨ ɾ a			22	[]	1
19	Marinawa	animal	juinda	juinda	j u + i ⁿd a			24	[]	1
20	Yaminawa	animal	isu	isu	i s u			19	[]	1
21	Kashinawa_P	animal	jujnaka	jujnaka	j u + j/i n a + k a			24	[]	1
22	Kashinawa_B	animal	yuinaka	yuinaka	j u + i n a + k a			24	[]	1
23	Araona	animal	tsajakata	tsajakata	ts a j a + k a t a			25	[]	1
24	Araona	animal	sichaikana	sichaikana	s i tʃ a i + k a n a			18	[]	1
25	Araona	animal	tenaikana	tenaikana	t e n a i + k a n a			18	[]	1
26	Araona	animal	waenikana	waenikana	w a e n i k a n a			18	[]	1
1274	Matses	ashes	isisapuk	isisapuk	i s i s + a + p u k			26	[]	1
1275	Matis	ashes	tsismapuk	tsismapuk	ts i s + m a + p u k			26	[]	1
1276	Marubo	ashes	miʃpu	miʃpu	m i ʃ + p u			26	[]	1
1277	Shipibo_Konibo	ashes	tʃi mapu	tʃi mapu	tʃ i + m a + p u			26	[]	1
1278	Kapanawa	ashes	tʃi mapu	tʃi mapu	tʃ i + m a + p u			26	[]	1
1279	Shanenawa	ashes	mapu	mapu	m a + p u			26	[]	1
1280	Iskonawa	ashes	hɨna mapu	hɨna mapu	h ɨ n a + m a + p u			26	[]	1
1281	Chakobo	ashes	tʃi?imiʃpu	tʃiʔimiʃpu	tʃ i ʔ i + m i ʃ + p u			26	[]	1
1282	Pakawara	ashes	miʃpu	miʃpu	m i ʃ + p u			26	[]	1
1283	Kakataibo	ashes	tʃimapo	tʃimapo	tʃ i + m a + p o			26	[]	1
1284	Kaxarari	ashes	mapuu	mapuu	m a + p uː			26	[]	1
1285	Mastanawa	ashes	bapu	bapu	b a + p u			26	[]	1
1286	Chaninawa	ashes	βapu	βapu	β a + p u			26	[]	1
1287	Sharanawa	ashes	t͡ʃibapu	t͡ʃibapu	tʃ i + b a + p u			26	[]	1
1288	Amawaka	ashes	kuɾu	kuɾu	k u + ɾ u			28	[]	1
1289	Nawa	ashes	bapu	bapu	b a + p u			26	[]	1
1290	Marinawa	ashes	bapu	bapu	b a + p u			26	[]	1
1291	Yaminawa	ashes	bapu	bapu	b a + p u			26	[]	1
1292	Kashinawa_P	ashes	mapu	mapu	m a + p u			26	[]	1
1293	Kashinawa_B	ashes	tʃimapu	tʃimapu	tʃ i + m a + p u			26	[]	1
1294	Araona	ashes	timo	timo	t i + m o			27	[]	1
729	Matses	back [of body]	katʂo	katʂo	k a + ʈʂ o			32	[]	1
730	Matis	back [of body]	kaʂuku	kaʂuku	k a + ʂ u k u			32	[]	1
731	Marubo	back [of body]	kaʂu	kaʂu	k a + ʂ u			32	[]	1
732	Katukina	back [of body]	pimana	pimana	p i + m a n a			30	[]	1
733	Kanamari	back [of body]	kaʃo	kaʃo	k a + ʃ o			32	[]	1
734	Shipibo_Konibo	back [of body]	pɨka	pɨka	p ɨ + k a			30	[]	1
735	Kapanawa	back [of body]	pɨka	pɨka	p ɨ + k a			30	[]	1
736	Shanenawa	back [of body]	pustʃi	pɨstʃi	p ɨ + s tʃ i			30	[]	1
737	Nukini	back [of body]	puʃi	pɨʃi	p ɨ + tʃ i			30	[]	1
738	Poyanawa	back [of body]	pɨti	pɨti	p ɨ + t i			30	[]	1
739	Iskonawa	back [of body]	pɨʧi	pɨʧi	p ɨ + tʃ i			30	[]	1
740	Iskonawa	back [of body]	katɨ	katɨ	k a + t ɨ			32	[]	1
741	Chakobo	back [of body]	katɨ	katɨ	k a + t ɨ			32	[]	1
742	Kakataibo	back [of body]	kaʂo	kaʂo	k a + ʂ o			32	[]	1
743	Kaxarari	back [of body]	katapu	katapu	k a + t a p u			32	[]	1
744	Mastanawa	back [of body]	piʧi	piʧi	p i + tʃ i			30	[]	1
745	Chaninawa	back [of body]	pɨʂaβati	pɨʂaβati	p ɨ + ʂ a β a t i			30	[]	1
746	Sharanawa	back [of body]	pɨmiti	pɨmiti	p ɨ + m i t i			30	[]	1
747	Amawaka	back [of body]	katɨ	katɨ	k a + t ɨ			32	[]	1
748	Nawa	back [of body]	pɨʧi	pɨʧi	p ɨ + tʃ i			30	[]	1
749	Marinawa	back [of body]	pɨʧi	pɨʧi	p ɨ + tʃ i			30	[]	1
750	Yaminawa	back [of body]	piʧi	pɨʧi	p ɨ + tʃ i			30	[]	1
751	Kashinawa_P	back [of body]	pɨʧi	pɨʧi	p ɨ + tʃ i			30	[]	1
752	Araona	back [of body]	bebakʷa	bebakʷa	b e b a kʷ a			31	[]	1
753	Araona	back [of body]	besese	besese	b e s e s e			31	[]	1
3803	Matses	bad	iksa	iksa	i k s a			1550	[]	1
3804	Matis	bad	iksama	iksama	i k s a + m a			1550	[]	1
3805	Marubo	bad	iʃna	iʃna	i ʃ n a			46	[]	1
3806	Shipibo_Konibo	bad	hakun-ma	hakunma	h a k u n + m a			41	[]	1
3807	Kapanawa	bad	tiruma	iruma	i r u + m a			33	[]	1
3808	Kapanawa	bad	hakunma	hakunma	h a k u n + m a			41	[]	1
3809	Shanenawa	bad	ʂarama	ʃarama	ʃ a r a + m a			37	[]	1
3810	Yawanawa	bad	tʃaka	tʃaka	tʃ a k a			38	[]	1
3811	Nukini	bad	iruma	iruma	i r u + m a			33	[]	1
3812	Poyanawa	bad	irumba	irumba	i r u + ⁿb a			33	[]	1
3813	Iskonawa	bad	miʧa	miʧa	m i tʃ a			1551	[]	1
3814	Iskonawa	bad	iruma	iruma	i r u + m a			33	[]	1
3815	Chakobo	bad	kaʂaʂɨni	kaʂaʂɨni	k a ʂ a ʂ ɨ n i			43	[]	1
3816	Kakataibo	bad	aisama	aisama	a i + s a + m a			39	[]	1
3817	Kaxarari	bad	tsɨwɨma	tsɨwɨma	ts ɨ w ɨ + m a			35	[]	1
3818	Mastanawa	bad	ʧaʔa	ʧaʔa	tʃ a ʔ a			38	[]	1
3819	Chaninawa	bad	t͡ʃaka	t͡ʃaka	tʃ a k a			38	[]	1
3820	Sharanawa	bad	t͡ʃaka	t͡ʃaka	tʃ a k a			38	[]	1
