ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID
1921	Matses	I	u	u	u		1544
1922	Matis	I	ɨ	ɨ	ɨ		1544
1923	Marubo	I	ɨa	ɨa	ɨ a		1544
1924	Katukina	I	ea	ea	e a		1544
1925	Shipibo_Konibo	I	ɨ	ɨ	ɨ		1544
1926	Kapanawa	I	ɨ	ɨ	ɨ		1544
1927	Shanenawa	I	ɨ	ɨ	ɨ		1544
1928	Yawanawa	I	ɨ	ɨ	ɨ		1544
1929	Nukini	I	ɨ	ɨ	ɨ		1544
1930	Poyanawa	I	ɨ	ɨ	ɨ		1544
1931	Iskonawa	I	ɨ	ɨ	ɨ		1544
1932	Chakobo	I	ɨ	ɨ	ɨ		1544
1933	Pakawara	I	ɨ	ɨ	ɨ		1544
1934	Kakataibo	I	ɨ	ɨ	ɨ		1544
1935	Kaxarari	I	ɨhɨ	ɨhɨ	ɨ h ɨ		1544
1936	Mastanawa	I	ɨ	ɨ	ɨ		1544
1937	Chaninawa	I	ɨ	ɨ	ɨ		1544
1938	Sharanawa	I	ɨ	ɨ	ɨ		1544
1939	Amawaka	I	ija	ija	i j a		1544
1940	Nawa	I	ɨ	ɨ	ɨ		1544
1941	Marinawa	I	ɨ	ɨ	ɨ		1544
1942	Yaminawa	I	ɨn	ɨn	ɨ n		1544
1943	Kashinawa_P	I	ɨ	ɨ	ɨ		1544
1944	Kashinawa_B	I	ɨ	ɨ	ɨ		1544
1945	Araona	I	ema	ema	e m a		1544
1946	Araona	I	yama	yama	j a m a		1544
4255	Matses	all	aβitedi	aβitedi	a + β i + t e + d i		11
4256	Matis	all	atʂɨwɨʂ	atʂɨwɨʂ	a ʈʂ ɨ w ɨ ʂ		12
4257	Marubo	all	aʂkansɨ	aʂkansɨ	a ʂ k a n s ɨ		3
4258	Shipibo_Konibo	all	hatiβi	hatiβi	h a t i + β i		6
4259	Kapanawa	all	hatiβi	hatiβi	h a t i β i		6
4260	Shanenawa	all	narama	narama	n a r a m a		1
4261	Iskonawa	all	hɨtʃuma	hɨtʃuma	h ɨ tʃ u + m a		13
4262	Chakobo	all	hatita	hatita	h a t i t a		6
4263	Chakobo	all	tɨkɨta	tɨkɨta	t ɨ k ɨ t a		10
4264	Kakataibo	all	kamaβi	kamaβi	k a m a β i		4
4265	Kaxarari	all	haʂkana	haʂkana	h a ʂ k a n a		3
4266	Mastanawa	all	iʧapaw	iʧapaw	i tʃ a p a w		2
4267	Chaninawa	all	natiβi	natiβi	n a t i β i		1
4268	Sharanawa	all	natiɸi	natiɸi	n a t i ɸ i		1
4269	Amawaka	all	it͡ʃa	it͡ʃa	i tʃ a		2
4270	Nawa	all	natiɸi	natiɸi	n a t i ɸ i		1
4271	Marinawa	all	natiɸi	natiɸi	n a t i ɸ i		1
4272	Yaminawa	all	kɨju	kɨju	k ɨ j u		9
4273	Kashinawa_P	all	dasiβi	dasiβi	d a s i β i		1
4274	Kashinawa_B	all	daʂiβi	daʂiβi	d a ʂ i β i		1
4275	Araona	all	babaowe	babaowe	b a b a o w e		8
4276	Araona	all	daokua	daokua	d a o + k u a		802
1	Matses	animal	nɨiʃ	nɨiʃ	n ɨ i ʃ		20
2	Matis	animal	nɨiʃ	nɨiʃ	n ɨ i ʃ		20
3	Marubo	animal	juini	juini	j u + i n i		24
4	Shipibo_Konibo	animal	yuina	yuina	j u + i n a		24
5	Kapanawa	animal	yuina	yuina	j u + i n a		24
6	Shanenawa	animal	juina	juina	j u + i n a		24
7	Yawanawa	animal	juina	juina	j u + i n a		24
8	Nukini	animal	inũ	inũ	i n ũ		21
9	Poyanawa	animal	iũĩda	iũĩda	i/j ũ + ĩ d a		24
10	Iskonawa	animal	jujna	jujna	j u + j n a		24
11	Chakobo	animal	yu?ina	yuʔina	j u + ʔ i n a		24
12	Kakataibo	animal	ɲuina	ɲuina	ɲ u + i n a		24
13	Kaxarari	animal	ʂui	ʂui	ʂ u i		17
14	Mastanawa	animal	jujna	jujna	j u + j n a		24
15	Chaninawa	animal	juida	juida	j u + i d a		24
16	Sharanawa	animal	juida	juida	j u + i d a		24
17	Amawaka	animal	juʔina	juʔina	j u + ʔ i n a		24
18	Nawa	animal	di bɨɾaɸɨhjati	di bɨɾaɸɨhjati	d i + b ɨ ɾ a		22
19	Marinawa	animal	juinda	juinda	j u + i ⁿd a		24
20	Yaminawa	animal	isu	isu	i s u		19
21	Kashinawa_P	animal	jujnaka	jujnaka	j u + j/i n a + k a		24
22	Kashinawa_B	animal	yuinaka	yuinaka	j u + i n a + k a		24
