ID	Name	Glottocode	SubGroup	SourceDate	Source	Latitude	Longitude
Nukini	Nukini	nuku1263	Central-Southern	2004	aguiar2004	-7.34	-73.5
Kaxarari	Kaxarari	kaxa1239	South-Eastern	2005	couto2005	-9.47	-66.33
Kashinawa_B	Kashinawa_B	cash1254	Central-Southern	1995	camargo1995	-9.72	-71.17
Cavinena	Cavineña	cavi1250	TAKANA	1989	camp1989	-13.35	-66.63
Ese_ejja	Ese ejja	esee1248	TAKANA	1980	mendoza1980	-11.73	-67.52
Arara	Arara Shawa	arar1265	Central-Southern	1993	cunha1993	-9.88	-71.60
Kanamari	Kanamari	pano1254	Central-Southern	1994	aguiar1994	-7.97	-71.56
Katukina	Katukina	pano1254	Central-Southern	1994	aguiar1994	-7.97	-71.56
Tacana	Tacana	taca1256	TAKANA	1989	ottaviano1989	-13.39	-68.04
Araona	Araona	arao1248	TAKANA	1981	pitman1981	-12.42	-67.73
Marubo	Marubo	maru1252	Northern	2005	fleck2005	-6.61	-72.4
Matis	Matis	mati1255	Northern	2005	fleck2005	-5.74	-72.63
Matses	Matses	mats1244	Northern	2005	fleck2005	-5.74	-72.63
Shipibo_Konibo	Shipibo-Konibo	ship1254	Central-Southern	2005	fleck2005	-7.17	-74.83
Pakawara	Pakawara	paca1246	Central-Southern	2000	key2000	-12	-65.56
Shanenawa	Shanenawa	arar1265	Central-Southern	2004	lanes2005	-9.88	-71.60
Kapanawa	Kapanawa	capa1241	Central-Southern	1998	loos1998	-6.63	-74.38
Poyanawa	Poyanawa	poya1241	Central-Southern	1992	paula1992	-7.47	-73.08
Yawanawa	Yawanawa	yawa1260	Central-Southern	2004	paula1992	-9.88	-71.60
Amawaka	Amawaka	amah1246	Central-Southern	2017	zariquiey2017	-10.20	-72.32
Chaninawa	Chaninawa	shan1283	Central-Southern	2017	zariquiey2017	-8.01	-73.33
Iskonawa	Iskonawa	isco1239	Central-Southern	2017	zariquiey2017	-7.75	-74.52
Kakataibo	Kakataibo	cash1251	Western	2017	zariquiey2017	-8.70	-75.42
Kashinawa_P	Kashinawa_P	cash1254	Central-Southern	2017	zariquiey2017	-9.72	-71.17
Marinawa	Marinawa	mari1443	Central-Southern	2017	zariquiey2017	-9.86	-71.12
Mastanawa	Mastanawa	mast1238	Central-Southern	2017	zariquiey2017	-9.86	-71.12
Nawa	Nawa	nawa1239	Central-Southern	2017	zariquiey2017	-7.68	-72.00
Sharanawa	Sharanawa	shar1245	Central-Southern	2017	zariquiey2017	-9.86	-71.12
Yaminawa	Yaminawa	yami1256	Central-Southern	2017	zariquiey2017	-9.88	-71.60
Chakobo	Chakobo	chac1251	Central-Southern	1998	zingg1998	-12.13	-66.72
