ID	DOCULECT	CONCEPT	SPANISH	VALUE	FORM	TOKENS	MORPHEMES	COGID	COGIDS	NOTES
1	Matses	animal	animal	nɨiʃ	nɨiʃ	n ɨ i ʃ	delicious	20	1543	
2	Matis	animal	animal	nɨiʃ	nɨiʃ	n ɨ i ʃ	delicious	20	1543	
3	Marubo	animal	animal	juini	juini	j u + i n i	_thing domesticated	24	1544 1545	
4	Shipibo_Konibo	animal	animal	yuina	yuina	j u + i n a	_thing domesticated	24	1544 1545	
5	Kapanawa	animal	animal	yuina	yuina	j u + i n a	_thing domesticated	24	1544 1545	
6	Arara	animal	animal	diwʃĩ	diwʃĩ	d i w ʃ ĩ		15	1546	
7	Shanenawa	animal	animal	juina	juina	j u + i n a	_thing domesticated	24	1544 1545	
8	Yawanawa	animal	animal	juina	juina	j u + i n a	_thing domesticated	24	1544 1545	
9	Nukini	animal	animal	inũ	inũ	i n ũ	domesticated	21	1545	
10	Poyanawa	animal	animal	iũĩda	iũĩda	i ũ + ĩ d a	_thing domesticated	24	1544 1545	
11	Iskonawa	animal	animal	jujna	jujna	j u + j n a	_thing domesticated	24	1544 1545	
12	Chakobo	animal	animal	yu?ina	yuʔina	j u + ʔ i n a	_thing domesticated	24	1544 1545	
13	Kakataibo	animal	animal	ɲuina	ɲuina	ɲ u + i n a	_thing domesticated	24	1544 1545	
14	Kaxarari	animal	animal	ʂui	ʂui	ʂ u i		17	1547	
15	Mastanawa	animal	animal	jujna	jujna	j u + j n a	_thing domesticated	24	1544 1545	
16	Chaninawa	animal	animal	juida	juida	j u + i d a	_thing domesticated	24	1544 1545	
17	Sharanawa	animal	animal	juida	juida	j u + i d a	_thing domesticated	24	1544 1545	
18	Amawaka	animal	animal	juʔina	juʔina	j u + ʔ i n a	_thing domesticated	24	1544 1545	
19	Nawa	animal	animal	di bɨɾaɸɨhjati	di bɨɾaɸɨhjati	d i + b ɨ ɾ a ɸ ɨ h j a t i		22	22 0	
20	Marinawa	animal	animal	juinda	juinda	j u + i ⁿd a	_thing domesticated	24	1544 1545	
21	Yaminawa	animal	animal	isu	isu	i s u		19	1548	
22	Kashinawa_P	animal	animal	jujnaka	jujnaka	j u + j n a k a	_thing domesticated	24	1544 1545	
