ID	CONCEPT	DOCULECT	FORM	VALUE	TOKENS	COGID	COGIDS	ALIGNMENT	MORPHEMES	NOTE
1	animal	Matses	nɨiʃ	nɨiʃ	n ɨ i ʃ	20	1543	n ɨ i ʃ		None
2	animal	Matis	nɨiʃ	nɨiʃ	n ɨ i ʃ	20	1543	n ɨ i ʃ		None
3	animal	Marubo	juini	juini	j u + i n i	24	1544 1545	j u ( + - ) i n i ( - - )		None
4	animal	Shipibo_Konibo	yuina	yuina	j u + i n a	24	1544 1545	j u ( + - ) i n a ( - - )		None
5	animal	Kapanawa	yuina	yuina	j u + i n a	24	1544 1545	j u ( + - ) i n a ( - - )		None
6	animal	Arara	diuʃĩ	diwʃĩ	d i + u ʃ ĩ	15	1546	d i w ʃ ĩ		None
7	animal	Shanenawa	juina	juina	j u + i n a	24	1544 1545	j u ( + - ) i n a ( - - )		None
8	animal	Yawanawa	juina	juina	j u + i n a	24	1544 1545	j u ( + - ) i n a ( - - )		None
9	animal	Nukini	inũ	inũ	i n ũ	21	1545	- i n - - ũ		None
10	animal	Poyanawa	iũĩda	iũĩda	j ũ + ĩ d a	24	1544 1545	j ũ ( + - ) ĩ d a ( - - )		None
11	animal	Iskonawa	jujna	jujna	j u + j n a	24	1544 1545	j u ( + - ) j n a ( - - )		None
12	animal	Chakobo	yuʔina	yu?ina	j u + ʔ i n a	24	1544 1545	j u ( + ʔ ) i n a ( - - )		None
13	animal	Kakataibo	ɲuina	ɲuina	ɲ u + i n a	24	1544 1545	ɲ u ( + - ) i n a ( - - )		None
14	animal	Kaxarari	ʂui	ʂui	ʂ u i	17	1547	ʂ u i		None
15	animal	Mastanawa	jujna	jujna	j u + j n a	24	1544 1545	j u ( + - ) j n a ( - - )		None
16	animal	Chaninawa	juida	juida	j u + i d a	24	1544 1545	j u ( + - ) i d a ( - - )		None
17	animal	Sharanawa	juida	juida	j u + i d a	24	1544 1545	j u ( + - ) i d a ( - - )		None
18	animal	Amawaka	juʔina	juʔina	j u + ʔ i n a	24	1544 1545	j u ( + ʔ ) i n a ( - - )		None
19	animal	Nawa	di bɨɾa	di bɨɾaɸɨhjati	d i + b ɨ ɾ a	22	22	d i + b ɨ ɾ a		None
20	animal	Marinawa	juinda	juinda	j u + i n a	24	1544 1545	j u ( + - ) i n a ( - - )		None
21	animal	Yaminawa	isu	isu	i s u	19	1548	i s u		None
22	animal	Kashinawa_P	jujnaka	jujnaka	j u + i n a k a	24	1544 1545	j u ( + - ) i n a ( k a )		None
23	animal	Kashinawa_B	yuinaka	yuinaka	j u + i n a k a	24	1544 1545	j u ( + - ) i n a ( k a )		None
24	dog	Matses	opa	opa	o p a	164	0	- o p a		None
25	dog	Matis	wapa	wapa	w a p a	164	0	w a p a		None
26	dog	Marubo	wapa	wapa	w a p a	164	0	w a p a		None
27	dog	Katukina	kaman	kaman	k a m a n	261	0	k a m a n		None
28	dog	Shipibo_Konibo	utʃiti	utʃiti	u tʃ i t i	270	0	u tʃ i t i		None
29	dog	Kapanawa	utʃiti	utʃiti	u tʃ i t i	270	0	u tʃ i t i		None
30	dog	Arara	kamã	kamã	k a m ã	261	0	k a m ã -		None
31	dog	Shanenawa	kaman	kaman	k a m a n	261	0	k a m a n		None
32	dog	Yawanawa	kaman	kaman	k a m a n	261	0	k a m a n		None
33	dog	Nukini	tapainu	tapainu	t a p a + i n u	262	4 11	t a - p a + i n u		None
34	dog	Poyanawa	utʃiti	utʃiti	u tʃ i t i	270	0	u tʃ i t i		None
35	dog	Iskonawa	piɾu	piɾu	p i ɾ u	269	0	p i ɾ u		None
36	dog	Chakobo	inaka	inaka	i n a k a	268	0	i n a k a		None
37	dog	Kakataibo	kamon	kamon	k a m o n	261	0	k a m o n		None
38	dog	Kaxarari	tʃaʂpa	tʃaʂpa	tʃ a ʂ p a	8	0	tʃ a ʂ p a - - - -		None
39	dog	Mastanawa	paʂda	paʂda	p a ʂ d a	263	0	p a ʂ d a		None
40	dog	Chaninawa	kama	kama	k a m a n	261	0	k a m a n		None
41	dog	Sharanawa	paʂda	paʂda	p a ʂ d a	263	0	p a ʂ d a		None
42	dog	Amawaka	indu	indu	i nd u	265	13	i nd u		None
43	dog	Nawa	paʂda	paʂda	p a ʂ d a	263	0	p a ʂ d a		None
44	dog	Marinawa	ka:ma	ka:ma	k aː m a	261	0	k aː m a -		None
45	dog	Yaminawa	paʂta	paʂta	p a ʂ d a	263	0	p a ʂ d a		None
46	dog	Kashinawa_P	kama	kama	k a m a	261	0	k a m a -		None
47	dog	Kashinawa_B	kamã	kamã	k a m ã	261	0	k a m ã -		None
48	bird	Matses	wiktʂu	wiktʂu	w i k ʈʂ u n	84	0	w i k ʈʂ u n		None
49	bird	Matis	tʃididiʃ	tʃididiʃ	tʃ i d i d i ʃ	85	0	tʃ i d i d i ʃ		None
50	bird	Marubo	ʃai	ʃai	ʃ a i	16	0	ʃ a i		None
51	bird	Shipibo_Konibo	isa	isa	i s a	77	0	- i s a - -		None
52	bird	Kapanawa	isa	isa	i s a	77	0	- i s a - -		None
53	bird	Arara	duĩda	duĩda	d u + i nd a	78	0	d u + i nd a		None
54	bird	Shanenawa	juina	juina	j u + i n a	78	0	j u + i n a		None
55	bird	Yawanawa	juina	juina	j u + i n a	78	0	j u + i n a		None
56	bird	Nukini	pãri	pãri	p ã r i	83	0	p ã r i		None
57	bird	Poyanawa	puya	puya	p ɨ n + j a	76	0	p ɨ n ( + ) j a		None
58	bird	Iskonawa	piɾiʃika	piɾiʃika	p i ɾ i ʃ i k a	1557	0	p i ɾ i ʃ i k a		None
59	bird	Chakobo	isaka	isaka	i s a k a	77	0	- i s a k a		None
60	bird	Pakawara	isku	isku	i s k u	82	0	i s k u		None
61	bird	Kakataibo	ʔisa	?isa	ʔ i s a	77	0	ʔ i s a - -		None
62	bird	Kaxarari	ʂuipiatu	ʂuipiatu	ʂ u i p i a t u	86	0	ʂ u i p i a t u		None
63	bird	Mastanawa	pɨja	pɨja	p ɨ n + j a	76	0	p ɨ n ( + ) j a		None
64	bird	Chaninawa	pɨija	pɨija	p ɨ n + j a	76	0	p ɨ n ( + ) j a		None
65	bird	Sharanawa	pɨija	pɨija	p ɨ n + j a	76	0	p ɨ n ( + ) j a		None
